{'短评内容': '一般吧，只能说凑合，还算干净', '短评打分': 5}
{'短评内容': '                                                     交通便利', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大，楼层高看的远，有停车券，不好的地方是床头没有开关费事，洗漱环境比较差，花洒挂不住。不过住一天就走，将就过了', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间挺大的', '短评打分': 5}
{'短评内容': '差差差', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '到店交通 方便 ', '短评打分': 4}
{'短评内容': '环境衛生OK!', '短评打分': 4}
{'短评内容': '还算可以', '短评打分': 4}
{'短评内容': '代朋友预定，性价比不错', '短评打分': 5}
{'短评内容': '房间大', '短评打分': 1}
{'短评内容': '離兆豐路地鐵站二號口特別近，周邊歺飯方便。房間很大，設施齊全，性價比高。', '短评打分': 5}
