{'短评内容': '酒店位置还可以，才', '短评打分': 5}
{'短评内容': '酒店不错，新装修的，很干净', '短评打分': 5}
{'短评内容': '酒店环境好 设施好  属于心怡的酒店 ', '短评打分': 5}
{'短评内容': '很干净，附近比较了很多家，对这里满意', '短评打分': 5}
{'短评内容': '建议增加早饭', '短评打分': 5}
{'短评内容': '总体还不错，值得入住', '短评打分': 4}
{'短评内容': '房间的味道太大，潮气很重。', '短评打分': 3}
{'短评内容': '房间不错，就是价格偏高', '短评打分': 5}
{'短评内容': '不错 挺满意的不错 挺满意的不错 挺满意的不错 挺满意的不错 挺满意的不错 挺满意的不错 挺满意的不错 挺满意的', '短评打分': 5}
{'短评内容': '离动车很近，有声音，', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，刚开始没说开发票.后来携程网客服积极协调，点个赞', '短评打分': 3}
{'短评内容': '环境、服务很好！', '短评打分': 5}
{'短评内容': '提前一天预订并已确认的酒店房间，居然前台会告知电脑线路故障无法查询。总算进了房间，居然又没有一次性拖鞋。酒店不提供免费类早餐，点餐又非常难吃。', '短评打分': 2}
{'短评内容': '还不错的酒店 周边也很方便 服务也及时', '短评打分': 5}
{'短评内容': '还不错的酒店 周边也很方便 服务也及时', '短评打分': 5}
