{'descr': '房间电话太小', 'star': 5}
{'descr': '位置一般', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '感觉还不错', 'star': 5}
{'descr': '。。。。', 'star': 5}
{'descr': '酒店一般，房间和床有点小，价格有点贵', 'star': 4}
{'descr': '可以', 'star': 5}
{'descr': '一般吧！', 'star': 4}
{'descr': '一分钱一分货', 'star': 4}
{'descr': '性价比还行', 'star': 4}
{'descr': '酒店位于泗泾镇，此次入住的房间靠近旁边的KTV，略微有点吵闹！', 'star': 5}
{'descr': '环境好价格值服务周到很满意。。。。。', 'star': 5}
{'descr': '离我很近坏境还可以，服务好。。。', 'star': 5}
{'descr': '随便住住，不错！', 'star': 5}
{'descr': '还行吧 还行吧 还行吧。还行吧', 'star': 4}
{'descr': '整个泗泾只有这一个经济连锁酒店，价格比较贵，但是确实干净，另外住客有些乱，晚上不够安静。', 'star': 5}
{'descr': '继续保持，前台办事效率就是快，节约了时间，非常满意，下次还会再来', 'star': 5}
{'descr': '酒店距离办事处相对来说比较近，就是打车不太方便！', 'star': 5}
{'descr': '地方比较偏，但服务态度好，特别是前台。那天正好是情人节，还要到一朵玫瑰！', 'star': 5}
{'descr': '环境很好，房间很大，服务态度也是蛮好的。上电梯要凭房卡才能乘坐，挺安全', 'star': 5}
{'descr': '酒店的服务还是hi可以，性价比i可以，但早餐少了点。', 'star': 5}
{'descr': '这个酒店的性价比不错，服务还可以，但早餐有单单调。', 'star': 5}
{'descr': '还不错啦，蛮新的', 'star': 3}
{'descr': '早餐不是很理想，台单一。要是每天有花样就好了。', 'star': 5}
{'descr': '酒店价格还可以，但有点偏，出行交通不是很方便。', 'star': 5}
{'descr': '新装修环境很好停车位也很充足。\n对面就是泗泾镇商业街吃饭娱乐都很方便，只是离泗泾地铁站稍微有一段距离。\n晚上也很安静，靠近欢乐谷如果有车住在这里还是很方便。', 'star': 5}
{'descr': '网络不能连接，登记时不告知，电视遥控是坏的，，，屋里有一瓶矿泉水被人喝过，没有换。。。总体来讲太差了。。。', 'star': 1}
