{'descr': '交通可以，火车站坐1号线就到！', 'star': 5}
{'descr': '酒店位置不错，就是房间有点小，但对于商务出差是足够拉。交通很方便，在太湖大道，离火车站也不是很远，离太湖几公里。适', 'star': 5}
{'descr': '酒店位置很好，周边家乐福超市，肯德基、麦当劳附近也有，还有很多小的便利店。茂业天地离的也很近，吃的玩的都比较方便。', 'star': 5}
{'descr': '中央空调无法使用，浴室及厕所是玻璃隔断的而且门竟然直对床！洗漱用品简单，电视机遥控器也无法使用，无窗房竟然换气扇和灯是同开关的，要换气必须睡觉开着灯。离地铁口倒是近，几步就到。', 'star': 3}
{'descr': '交通便利，出行方便，房间小了点，通风不好，有点味道，毕竟时间长了，一次性用品太简陋，快捷酒店的通病。但位置好，有朋友来玩经常住这里，去哪里都方便。', 'star': 3}
{'descr': '11111111', 'star': 5}
{'descr': '一般般，换气不佳', 'star': 3}
{'descr': '很宽敞，挺亮堂的', 'star': 5}
{'descr': '还不错，干净整洁。', 'star': 5}
{'descr': '附近很方便，吃的什么很多，地铁就在酒店门口，酒店本身比较老旧', 'star': 4}
{'descr': '很好，汉庭的服务很干脆，没有过多累赘。房间干净整洁。', 'star': 4}
{'descr': '中央空调，比较卫生，出行方便，不错的选择', 'star': 5}
{'descr': '酒店还是很好的 边上就是地铁口 非常方便 非常好 周围吃的东西挺多的 用饿了吗点餐送到房间 房间也挺大挺舒服的 穿很软很舒服 非常好 卫生间水也挺大的 希望进一步提高服务 下次再住', 'star': 5}
{'descr': '说实话非常不满意。酒店唯一的优点是就在地铁出口。下单的时候没留意，订了无窗房，这是我自己的问题，没什么可说的。但是酒店是中央空调，现在只能开热风，就让人是可忍孰不可忍了。本来就闷得半死，温度还高达30度！而且房间设施都很陈旧了，尤其是马桶，看起来又脏又黄。差点掉头就走，想想就三天，忍了。睡了一晚后无比后悔没有转头就走。后面的行程很紧张，根本没有时间换酒店。绝对不会再来了，以后汉庭的都要好好看清楚了', 'star': 3}
{'descr': '地铁站旁边，出行方便，不过打车不太好打，周围也挺多店的，总体不错，就是无窗房有点闷', 'star': 4}
{'descr': '还不错，环境挺好，经常住', 'star': 5}
{'descr': '蛮好的', 'star': 5}
{'descr': '房间整晚都有异味', 'star': 3}
{'descr': '位置很好，就在地铁口。周围吃东西超市都很方便', 'star': 4}
{'descr': '服务很好，前台小姐很漂亮，早餐是肯德基或者麦当劳的，比起一般酒店的自助餐要干净卫生', 'star': 5}
{'descr': '房间很干净，不输给星级酒店的那种干净，整体感觉很舒服，服务员态度很好，也是不输星级酒店的那种好，但是，注意啦，太湖广场不是太湖，和太湖半毛钱关系都没有，游太湖要近火车站，去的话比较方便。直接在火车站门口坐一路车，别听那些拉散客的小中巴车，半天也走不了。南禅寺那边可以去逛逛，晚上很漂亮，运河也能看到，但是没必要坐了，比不上扬州的。酒店住汉庭还算是性价比很高的的了。推荐。', 'star': 5}
{'descr': '挺不错的，离步行街也很近，酒店环境也很干净。', 'star': 5}
