{'短评内容': '有停车场，方便', '短评打分': 5}
{'短评内容': '房间偏小，床上用品不舒服，但是位置好！方便办事', '短评打分': 2}
{'短评内容': '楼下的餐厅好', '短评打分': 5}
{'短评内容': '房间较大', '短评打分': 5}
{'短评内容': '很方便的地方', '短评打分': 5}
{'短评内容': '房间凑合，位置很好，闹中取静，出门就是乐活城，去太平街 步行街 火宫殿也不远，就是酒店内部太老旧，洗手台放刷牙杯的纸垫都发霉了，墙纸开裂，洗漱用品和一次性拖鞋都要收费 ', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '性价比很高，值得入住', '短评打分': 5}
{'短评内容': '房间设施好，火车站1乘路公交车中山路站。离51广场近。', '短评打分': 5}
{'短评内容': '位置较好，价格实惠，最重要的是离各个商圈都蛮近的，特别是坡子街。', '短评打分': 4}
{'短评内容': '因装修需加强客服。', '短评打分': 4}
{'短评内容': '望酒店改进服务。', '短评打分': 4}
{'短评内容': '没有以前好。', '短评打分': 4}
{'短评内容': '一般望改进。', '短评打分': 4}
{'短评内容': '望酒店改进。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '啊啊啊啊啊啊啊啊啊啊', '短评打分': 3}
{'短评内容': '位置不错，出行很方便，有停车场', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '好位置环境都对的起价格', '短评打分': 5}
{'短评内容': '政府指定点的酒店，就在乐和城对面的小巷里，闹中取静，酒店一看就是有些年头了，设施略陈旧，不过卫生干净，住得也比较舒服。', '短评打分': 5}
{'短评内容': '安静，卫生，就是房间有点小。设施陈旧。', '短评打分': 3}
