{'短评内容': '酒店没有早餐，有停车场，附近吃的地方很多。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '了了了了了了了了了了了了了了', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不建议，酒店实际价格比团购价格还要便宜。', '短评打分': 2}
{'短评内容': '挺卫生的，服务很好，很满意', '短评打分': 5}
{'短评内容': '南站不远出差住还行', '短评打分': 5}
{'短评内容': '酒店离南站还有一段距离，但是坐公交三站很好找，设施太旧环境一般，周围没有商场，有些小店。用的东西质量太次，床单还破了洞，很久没人住了大概，电视遥控电池都没电了，关键是无线网有和没有一个效果，连上也没网，最后一天凑乎住的，这个价格算贵了', '短评打分': 3}
{'短评内容': '没有电梯，环境还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '交通很便利，下车就是。', '短评打分': 5}
{'短评内容': '不错还挺干净的。张家窝的宾馆', '短评打分': 5}
{'短评内容': '一般般 手撕发票 交通还算好', '短评打分': 3}
{'短评内容': '服务人性化，交通方便，卫生可以。设施老旧了', '短评打分': 5}
{'短评内容': '门口就是公车站，交通方便，旁边都是饭馆，不远处有较大的世纪华联超市。宾馆装修较为简单，性价比还可以。', '短评打分': 3}
{'短评内容': '我给朋友定的，朋友很满意。', '短评打分': 3}
{'短评内容': '房间还算干净，离天津火车南站不远，有公交车到。', '短评打分': 5}
