{'短评内容': '还可以，就是有点远。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '评的手快麻掉了', '短评打分': 5}
{'短评内容': '环境安静，离广化寺门前广场约3分钟步行，55路公交车直达山门，阿弥陀佛。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好，下次来还住', '短评打分': 5}
{'短评内容': '整体都不错，环境空气都好', '短评打分': 5}
{'短评内容': '整体硬件设施方面跟价位中规中矩，最不能接受的是前台的办入住的小姑娘，跟他她说句话，非常不耐烦，爱搭不理的感觉！', '短评打分': 3}
{'短评内容': '不错吧', '短评打分': 5}
{'短评内容': '装饰稍微有点老，没关系又不是住五星酒店，底蕴深厚，非常棒，以后来莆田，就定点在这了。', '短评打分': 5}
{'短评内容': '还可以啊 车位够多', '短评打分': 5}
{'短评内容': '地段不错，环境很好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
