{'短评内容': '酒店环境不错，服务热情，交通也方便。', '短评打分': 5}
{'短评内容': '早餐挺好 房间也干净', '短评打分': 5}
{'短评内容': '酒店Wi-Fi太懒 根本就和没有一样 现在是信息时代了 很久没有用过这么慢的网络啦', '短评打分': 3}
{'短评内容': '据说不错', '短评打分': 5}
{'短评内容': '性价比还算高吧。但周边环境配套还是很差，也有可能是这边环境都差不多吧。一分钱一分货', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '交通有点不方便', '短评打分': 5}
{'短评内容': '交通有点不方便', '短评打分': 5}
{'短评内容': '住习惯了，到乌鲁木齐基本都住这。', '短评打分': 4}
{'短评内容': '出行方便，环境好，房间卫生干净，服务好！', '短评打分': 3}
{'短评内容': '酒店环境非常不错！', '短评打分': 5}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
