{'descr': '似乎正在装修，比较乱和脏，环境差了点！', 'star': 3}
{'descr': '尽管交通和购物比较方便，但是，房间条件是在一般。', 'star': 3}
{'descr': '，房间布置还行，小了点！冲厕所的按钮坏了！', 'star': 3}
{'descr': '酒店   环境   差了  点。其他 还好。', 'star': 5}
{'descr': '酒店   环境   差了   点。其他 还好。', 'star': 5}
{'descr': '酒店   环境   差了   点。其他   还好。', 'star': 5}
{'descr': '酒店   环境   差了 点。其他   还好。', 'star': 5}
{'descr': '酒店   环境  差了 点。其他   还好。', 'star': 5}
{'descr': '酒店  环境  差了  点。其他   还好。', 'star': 5}
{'descr': '主要是方便 周边不管吃撒子 走那点儿 都方便', 'star': 5}
{'descr': '酒店位置不错，三峡广场上，交通便利，酒店的早餐也不错', 'star': 3}
{'descr': '虽然价格比较便宜，但是，条件实在不敢恭维，所送的早餐也非常差！', 'star': 3}
{'descr': '交通方便,在三峡广场中心地带,离地铁口很近,还好', 'star': 5}
{'descr': '主要是价格比较实惠,但是周末涨价不太合理', 'star': 5}
{'descr': '床有点坏了。 而且晚上居然还停电了，隔音效果一般  但是 价格便宜， 还是比较推荐的。将就下。', 'star': 5}
{'descr': '酒店环境越来越次了，住了几次，前几次还可以，后来越来越不行了，床垫是烂的，房间卫生极差。', 'star': 1}
{'descr': '酒店有些年头了吧？被子有点小薄哟。。。性价比还可以', 'star': 3}
{'descr': '环境较差，老式装修，吊灯装在头顶上，掉下来怎么办？', 'star': 1}
{'descr': '已入住，地点在三峡广场，商业中心，买火车票方便，就餐方便。', 'star': 5}
{'descr': '酒店位子和酒店里面的设施感觉真好。下次我还会推荐朋友住', 'star': 5}
{'descr': '感觉还好，不错，隔音效果有点差，总体不错，服务挺好，早餐挺丰盛的', 'star': 5}
{'descr': '很不错，设备齐全，有电脑有宽带，价格也比较合理，就是没吹风，而且洗发露和沐浴露只有一小袋，不够用', 'star': 3}
{'descr': '在这一带，性价比还是比较好的.......', 'star': 5}
{'descr': '这是我第二次入住这家酒店，和第一次相比，这次价格高，而且房间环境比上次要差很多，不过服务态度还能接受。', 'star': 5}
{'descr': '真的是我住过的最差的经济连锁酒店。除了被子睡着舒服！\n柜子是坏的，空调是旧的，像没杀菌过，有以为，房间的窗户的窗帘很薄，外面走廊的灯光都挡不住！！！', 'star': 1}
{'descr': '网上放的是一店的图片，二店实际情况要比图片差。入口很难找到，找了很久才找到入口。早饭质量一般。', 'star': 1}
{'descr': '房间不怎么样，表里不一呀', 'star': 3}
{'descr': ' 地理位置非常好,就在三峡广场中心地带,方便好找,房间够大价格合理,但是房间内部设施比较老久,服务员不够热情。', 'star': 3}
{'descr': '房间的布置该有的都有，但不知道为什么看着就觉得很朴素……隔音效果不好，浴室也感觉有点逼仄。所以期待豪华房间的人可以PASS。\n不过因为是在三峡广场，交通非常非常方便，可以剩下好多废在路上的时间。所以只求玩得愉快不求住得很好的朋友们可以来预订。', 'star': 5}
{'descr': '床单什么的也不干净，我还在床上发现好多小虫子。房间要不就是靠近正在建的地铁，好吵。要不然就是在走廊中间的，窗子都是内窗。唯一的好处是地理位置比较好，但是各种条件真的不行', 'star': 1}
{'descr': '性价比差不多，适宜钱不多但又想方便的人，确实有发小卡片的，不过没有影响休息，静悄悄的干了，房间隔音效果稍差。', 'star': 5}
{'descr': '地理位置还一般，服务态度也很好就是房间内部装修看起来不那么舒服', 'star': 5}
{'descr': '还不错  在同等价位的酒店中算性价比很高的了服务态度也很好  房间很整洁                                                  ', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '房间空气流通不是很好，其他的都还。。。。。。。。。。。。。。。。。。行.。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '已入住。过去也住过。各方面过得去。楼下就有火车票销售点（这点很重要）。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '服务可以，但是房间的环境不是很好\n希望改进服务可以，但是房间的环境不是很好\n希望改进\n服务可以，但是房间的环境不是很好\n希望改进', 'star': 1}
{'descr': '房间挺大的，还不错', 'star': 3}
{'descr': '还好，挺不错的。。。。。。。。。。。。。。。。此处省去一万字。。。。。。。。。。。。就是窗户是内床，，含早是真的哦。。。anyway，性价比没得说了。。就这样吧。。放心入住吧，亲', 'star': 5}
{'descr': '地理位置还行好，房间算是没有窗户，空气不太好，最后一天涨价40元。', 'star': 3}
{'descr': '一般啦一般啦一般啦一般啦一般啦一般啦一般啦一般啦一般啦一般啦一般啦一般啦一般啦', 'star': 5}
{'descr': '在沙坪坝商圈里，购物吃饭都很方便，如果把酒店环境再弄的好点就更好了', 'star': 5}
{'descr': '房间里有股味道，感觉挺脏的，没有解放碑的店好', 'star': 5}
{'descr': '坐车还算方便，离三峡广场也不远，早餐很丰盛，不过要12元一位，房间不大但是环境还可以，特别是那个门卫保安，很喜庆···', 'star': 5}
{'descr': '地点不错，就是刚开始房间有股味道，让人不是很放心', 'star': 1}
