{'短评内容': '酒店设施一般', '短评打分': 3}
{'短评内容': '非常好的地方', '短评打分': 5}
{'短评内容': '环境不错 离景点近', '短评打分': 5}
{'短评内容': '不错，周边环境很好！', '短评打分': 5}
{'短评内容': '位置方便 离天目山几分钟车程！早餐略差，想给小朋友要一个鸡蛋要了好几次我们都说要付钱了还很不情愿的给！', '短评打分': 5}
{'短评内容': '差！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '农家乐的设施，还算干净，出门在外对住宿条件不太讲究的还能接受。只是十一旺季的价格，大家都懂。', '短评打分': 4}
{'短评内容': '酒店环境很好，景区旁边，早上起床真心蛮冷的，但是空气清新', '短评打分': 5}
{'短评内容': '农家的纯朴风情，依旧。不过设施有些旧了。', '短评打分': 5}
{'短评内容': '菜烧的还不错的，卫生间光线太暗，没有镜前灯，有待改进。', '短评打分': 4}
{'短评内容': '酒店地理位置很好找，就是房间设施太一般，卫生条件也不是很好，早餐是掐着人头算的。感觉好抠门！', '短评打分': 4}
{'短评内容': '服务不错，山里的环境太潮湿！关键我的手机充电器遗忘宾馆里，被服务员搞丢了，无语吧', '短评打分': 4}
