{'短评内容': '电梯太费劲', '短评打分': 4}
{'短评内容': '不錯', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以还可以', '短评打分': 5}
{'短评内容': '说实话，酒店挺一般的，可能威海也就这个水平吧。有游泳池不错，但消毒水味道太大了，玩一会就熏得头疼。', '短评打分': 5}
{'短评内容': '建议装修一下，性价比还可以', '短评打分': 5}
{'短评内容': '设施陈旧，建议装修一下。地理位置不错，值得推荐，性价比高', '短评打分': 5}
{'短评内容': '酒店服务很好，设施较为陈旧，卫生间用的是热水器，地段也不错，步行到国际海水浴场15-20分钟，建议酒店能改进设施', '短评打分': 5}
{'短评内容': '不错，很好的酒店，出差一直住在这里。', '短评打分': 5}
{'短评内容': '多次入住，设施已经老旧了，早餐一般，随便住住。', '短评打分': 3}
{'短评内容': '周边环境还可以', '短评打分': 5}
{'短评内容': '不错吧', '短评打分': 3}
{'短评内容': '很不错哦~环境挺好的', '短评打分': 5}
{'短评内容': '酒店服务良好，房间也不错，周围交通也方便，就是房间的面盆位置安排不好，在门后面', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '下单之前专门打电话询问酒店前台酒店位置和距离海水浴场距离，入住后不免失望，步行到海滨浴场海水有些远，酒店的设施和服务也不到位。工作人员经常理直气壮的要求客人位其提供方便，不敢恭维。', '短评打分': 1}
{'短评内容': '很不错的酒店,房间很干净,还有厨具,服务业很好,自助餐花样很多,质量也不错.还会再来.', '短评打分': 5}
{'短评内容': '美丽的威海，海景房，地理位置好，景色优美，设施齐全。', '短评打分': 5}
{'短评内容': '热水的存储很小很快就凉了，住的20楼，房间隔音不是很好。其他都OK,房间宽敞，也蛮干净。 ', '短评打分': 5}
{'短评内容': '不错的酒店，安静，设施好，已经住了好几次了，下次还住这里，吃饭方便，又可以免费游泳桑拿，比较满意！价格也比较适中。', '短评打分': 5}
{'短评内容': '条件还不错，但是旺季的价格有点贵。景观没有描述的那么好。', '短评打分': 5}
{'短评内容': '环境还可以，只不过洗澡只能洗二十分钟…', '短评打分': 3}
{'短评内容': '酒店还算不错，价格也比较合适，早餐比较一般，还算满意。', '短评打分': 5}
{'短评内容': '房间不错，就是热水器有点不爽，只能洗20分钟，总体满意！', '短评打分': 3}
{'短评内容': '房间宽敞明亮，设施齐全，可以观赏到大海宏伟的景象。自助早餐，种类繁多，营养丰富，总体感觉不错。只是下水道排水不太通畅，有点遗憾。', '短评打分': 5}
