{'短评内容': '没有早餐，在一个小区里，还挺安静的，屋子里设施齐全，还算干净，价格比较划算，携程订还有电子发票，比直接去店里便宜', '短评打分': 4}
{'短评内容': '         啊                                          ', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没睡好觉，感觉床不干净', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '好评…万恶的十个字…', '短评打分': 3}
{'短评内容': '特别棒的入住体验，温馨舒适，性价比高！', '短评打分': 3}
{'短评内容': '首先无线网太烂，房间里没有椅子，价格和条件不符，没有停车位，没有电梯，卫生间卫生极差还能看见灰尘，备品上还有水印，没有蚊香同样的价位还是考虑一下别家吧', '短评打分': 2}
{'短评内容': '酒店整个环境一般，北方的服务可以想象，基本入住期间是不打扫房间，不给开发票，房间没有吹风机，反正就是很一般的旅馆！', '短评打分': 3}
{'短评内容': '地方很好找。。服务不错！环境不错', '短评打分': 5}
{'短评内容': '挺好的 大晚上的订不到房间  携程给推荐到这里的', '短评打分': 5}
