{'短评内容': '不错的体验…', '短评打分': 5}
{'短评内容': '很有情怀的一家饭店，服务超好，很棒的一次体验。', '短评打分': 5}
{'短评内容': '感觉比想象中的好！第一次入住！', '短评打分': 5}
{'短评内容': '枕头和被褥上有股香水味儿，亲戚住隔壁房间没有，以前来住也没有.....不愿意多想，反正用的自己床单稍微不那么怕脏些吧。', '短评打分': 5}
{'短评内容': '很地道的一家酒店', '短评打分': 5}
{'短评内容': '房间服务很不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常喜欢和平饭店的格调，百年经典，见证上海滩的十里洋场，酒店内还有小型博物馆，值得去看看，周边环境很好，上海滩三件套尽收眼里，送欢迎水果！', '短评打分': 4}
{'短评内容': '很好，很满意。无敌的地理位置，服务很好，老上海的贵族调调。推荐', '短评打分': 5}
{'短评内容': '传奇之旅，难忘....', '短评打分': 5}
{'短评内容': '好～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '最难忘的一次经历', '短评打分': 5}
{'短评内容': '很好，希望下次还可有机会再次入住。', '短评打分': 5}
{'短评内容': '其它都可以，服务达不到五星标准，前台入住登记只有一个工作人员，而且太慢。问其他人都不知道，爱理不理。', '短评打分': 4}
{'短评内容': '很棒，每次来都是住这里', '短评打分': 5}
{'短评内容': '专门来住一晚，酒店好大，调调满足对老上海的想象', '短评打分': 5}
{'短评内容': '非常好的酒店，床品很舒服。特别给大堂礼宾点赞，风度优雅，充分体现了酒店的风范。', '短评打分': 5}
{'短评内容': '服务不错，很满意。服务不错，很满意。服务不错，很满意。服务不错，很满意。服务不错，很满意。服务不错，很满意。', '短评打分': 5}
{'短评内容': '服务很满意，很干净。服务很满意，很干净。服务很满意，很干净。服务很满意，很干净。服务很满意，很干净。', '短评打分': 5}
{'短评内容': '很好很有就很宏伟的感觉', '短评打分': 5}
{'短评内容': '酒店各方面都不错，离外滩只有二分钟路程。早餐还不够丰盛。', '短评打分': 5}
{'短评内容': '做为婚房，很满意，服务迅速，干净！位置也很方便，只是市中心打车不是特别容易特别下雨天。等周年纪念的时候一定还要来一次。跟摩纳哥的蜜月酒店相比，还是家乡的充满上海味道的和平跟让我喜欢', '短评打分': 5}
{'短评内容': '老牌酒店，非常不错，慕名而来，很喜欢，老上海的感觉很浓郁，现代和当代的完美结合，不虚此行，价格也不菲哟！带父母到上海游玩住的，值得体验这历史悠久的酒店博物馆，唯一可惜的是升级了高规格，可以享受下午茶，可惜入住时间迟了，虽然升级也没享受到四点的下午茶，被告知已经过了时间，让五点钟再食餐前点，可惜也没吃到，晚上有饭局，唉，太可惜了，早知道还不如不升级加钱，浪费了', '短评打分': 5}
{'短评内容': '房间虽小，设施很好，周边外滩尽收眼底', '短评打分': 5}
{'短评内容': '确实不错，帮朋友订的，也去看了，不愧为老牌酒店，服务设施都一流，唯一一点是办完入住手续，没有人指引电梯的位置，如果改进，会更好。总体是值得推荐。', '短评打分': 5}
{'短评内容': '非常好的酒店，豪华的极致，仿若回到了旧上海滩。 稀饭……', '短评打分': 3}
{'短评内容': '非常好，每次都很满意，应该是上海最好的酒店之一……', '短评打分': 5}
{'短评内容': '这个酒店有点历史。', '短评打分': 3}
{'短评内容': 'Not bad but service Still need to improve.', '短评打分': 3}
{'短评内容': '酒店环境很好，很浪漫。就是电视的台少了点。服务也很周到。', '短评打分': 5}
{'短评内容': '酒店环境很好，海归文化浓郁，服务很是周到，值得一住。', '短评打分': 3}
{'短评内容': '几次住在和平饭店了，这次带两个儿子来上海玩，总体值得推荐，很好，价格也值。', '短评打分': 3}
{'短评内容': '地理位置、服务、条件都不错，下次去上海还选这里，推荐入住。', '短评打分': 5}
{'短评内容': '很有特色的老饭店，          不同的感受`', '短评打分': 5}
{'短评内容': '环境整洁\n服务周到\n体验到了曾经的老上海遗留下来的风貌', '短评打分': 5}
{'短评内容': '老上海的风格，感觉很不错，房间也非常特别，咖啡很香，喜欢。。。', '短评打分': 5}
{'短评内容': '该酒店的确很有大上海的味道！地理位置不错哦。', '短评打分': 5}
{'短评内容': '整體不錯~可惜不夠精緻...而且有點小氣的感覺！', '短评打分': 3}
{'短评内容': '和平饭店很舒适宜人!', '短评打分': 3}
{'短评内容': '毗邻外滩，位置极佳。舒适的住宿加上满意的服务，我以后有需要住在附近，都会选择和平饭店。', '短评打分': 5}
{'短评内容': '不愧为五星级酒店！房间豪华，装饰温馨，服务到位！提前订房价钱很合算，外滩附近性价比超高的五星酒店！推荐', '短评打分': 5}
{'短评内容': ' 建在外滩边的新酒店 设施都是新的 酒店的人也很好 如果住宿标准能达到的 建议去住', '短评打分': 5}
{'短评内容': '装修的蛮好  不错额  地点也不错出门就是外滩 和步行街！！！！', '短评打分': 5}
{'短评内容': '是我住过的最好的饭店之一！没有话说了！！！ok1！！！', '短评打分': 5}
{'短评内容': '很经典的老饭店，装修很不错，下次还来这里。', '短评打分': 5}
{'短评内容': '很漂亮的大堂,上海外滩的老建筑也是标志性建筑,不过房间就很小了.', '短评打分': 1}
{'短评内容': '很好的酒店。环境优雅，古朴现代，卫生间尤其好，前台小姐服务也很好。', '短评打分': 5}
{'短评内容': '一如既往的好，下次还会入住。另外，个人感觉西餐厅在外滩算最好。', '短评打分': 5}
{'短评内容': '还不错，很浓厚的老上海味道,加上后期的重新装修，给人“古典与现代”并存的感觉。不足的是也许因为是老建筑，房间的结构不像新酒店那样敞亮。', '短评打分': 5}
{'短评内容': '物超所值 干净卫生 交通便利 环境优雅', '短评打分': 3}
{'短评内容': '酒店没有提供早餐,对于商务出差来讲有些不太方便.不过室内硬件条件及软件服务也还是不错的.性价比还是蛮高的.位置好方便出行', '短评打分': 5}
{'短评内容': '和平饭店环境不错，古朴典雅，位置很优越，离外滩和南京路就一步之隔。很方便的，服务态度也不错。', '短评打分': 3}
{'短评内容': '底蕴是放在那边的，软装也没话说。洗浴用品也不错，服务也不会对内外宾别眼想看，之所以不会建议朋友过来，是因为丢失的东西没有找回来，当然戒指是很细小的东西，而且是隔天上午了，不过如果是house keeping未发现，那么是打扫不用心；若是被house keeping拿了，感觉就不舒服。因为粗心大意而落失物品不止一次，若是在如家落东西的话，基本不会去索取，但是对五星级和motel的要求理所当然不同。同', '短评打分': 1}
