{'descr': '离大庆西站很近，一嗨租车点，方便快捷。', 'star': 5}
{'descr': '宾馆什么都没有太垃圾了', 'star': 1}
{'descr': '周边修路不方便', 'star': 5}
{'descr': '环境不太好，不远处修路有噪音，服务态度不好！', 'star': 3}
{'descr': '价格实惠，周边有吃饭的,还有电脑可以', 'star': 4}
{'descr': '一般囖', 'star': 3}
{'descr': '还行吧  前台态度不错', 'star': 3}
{'descr': '原来入住过一次，还不觉得怎样，上次是当阳的房间。但是这次入住后有点后悔，房间不和前台要求打扫，就没人管，下水道的气味很大，一到房间就是那个味道。网速还是不错。', 'star': 3}
{'descr': '隔音效果一般，艺龙网上订的还不如门店便宜', 'star': 3}
{'descr': '住了10多天，主要是离出差单位近，不需要打车。位置比较好，很安静，但是隔音效果不好，有天天没亮，有个房客离开或进门，没锁好门，门一直报警，也没人管。房间卫生不好，服务员都不收拾的。拖鞋坏了，也没更换。但是因为离单位近，只好忍了。毕竟环境还好，安静，每天早晨不出门可以享受到阳光。', 'star': 3}
{'descr': '还可以有电脑就更好了', 'star': 3}
{'descr': '不能上网，而且屋内有异味，估计是装修造成的，很大。', 'star': 3}
{'descr': '卫生不错。房间不隔音，没早餐，吃饭不方便。服务态度尚可。', 'star': 1}
{'descr': '酒店不错，位置方便，价格合适，服务优质，设施齐全，干净卫生！', 'star': 5}
