{'短评内容': '乐昌最好德酒店了！还不错，早餐比较丰富', '短评打分': 5}
{'短评内容': '特别好，很好', '短评打分': 5}
{'短评内容': '在一起时光匆匆流', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好很热情', '短评打分': 5}
{'短评内容': 'OKOKOK', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '江景双床房房间很大，晚上夜景很漂亮，早上还可以看日出，景观很不错。服务挺好，有服务生见到我们回来马上过来帮忙按电梯。卫生间抽风有点差，常有一股异味。位置有点偏，朋友开车过来接送的。早餐另外买需要48元，不太值，跟房一起买20元一位还可以。', '短评打分': 5}
{'短评内容': '舒适干净大气', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '选该酒店的赏帽子峰银杏（包门票）套餐坑人，第一、赏帽子峰银杏不需要门票，第二、酒店离帽子峰银杏距离是150公里左右。太忽悠人了……', '短评打分': 3}
{'短评内容': '每次回来基本上都是入住该酒店，目前应该说是乐昌数一数二的酒店了，环境雅静，依山傍水，地理位置佳，离市区仅五分钟车程，高速路口十分钟可达，出行方便。', '短评打分': 4}
{'短评内容': '都还不错吧，自己家乡的酒店，环境很好，面积也很大，早餐也不错，回家的时候没有在家里住的话就去这里了。好评', '短评打分': 5}
{'短评内容': '环境好，设备设施新，服务周到，会推荐给朋友', '短评打分': 5}
{'短评内容': '啥都好，就是自助餐种类太少，虽然便宜，但不推荐。', '短评打分': 5}
{'短评内容': '环境不错，房间设施挺好的，干净，自助早餐一般。', '短评打分': 4}
