{'短评内容': '酒店位置还可以 出南宁火车站往左走大概6-7分钟的样子 房间还算干净 服务态度还好 就是双号的房间邻火车道有点声音 还行 推荐', '短评打分': 3}
{'短评内容': '这个酒店离火车站很近， 我步行才几分钟就到，一路上环境不错， 街道干净也不拥挤嘈杂， 和一般的火车站附近的混乱不一样的。我定的是单人间， 无电脑无网络，本来以为会很差， 到了才知道这个酒店是在一个军用供应站的院子里，房间很大， 差不多有30平米， 干净舒适， 有小阳台可以晒衣服， 阳台外面可以看见铁路， 但是我住在10楼， 不怎么听得到火车经过的声音， 我很满意， 以后去南宁会常住这里', '短评打分': 5}
{'短评内容': '酒店设施较陈旧，洗手间有异味且卫生状况较差，床一动就响，空调噪声很大，不建议选择此酒店！', '短评打分': 3}
{'短评内容': ' 干净,环境不错。', '短评打分': 3}
{'短评内容': '这家酒店环境一般 服务也一般 前台的电话怎么都打不通 不过还算安静 不推荐', '短评打分': 1}
{'短评内容': ' 已入住1116号房感觉服务态度很好，挺满意的', '短评打分': 3}
{'短评内容': '交通方便，最高兴的是酒店退房时间在下午两点，唯一不足是房间略显陈旧', '短评打分': 5}
{'短评内容': '很清静,条件还可以.', '短评打分': 3}
{'短评内容': '位置不错，价格适中，但是提前两天的预定居然被漏掉，工作还需要改进。', '短评打分': 5}
{'短评内容': '房间一般，定的豪标，有些异味，换了一间才好了些。好处是做火车方便，走路10分钟就到，即便是后面还跟着个5岁的奶瓶子。虽然前靠马路后靠火车，倒也还安静。', '短评打分': 5}
{'短评内容': '离火车站很近，交通也很方便，但也很安静。酒店设施很干净，差不多能达到3星级别。', '短评打分': 5}
{'短评内容': '交通便利，适合中转一晚住宿，价格也差不多', '短评打分': 5}
{'短评内容': '说实话4,5楼还挺好,但给安排的七楼很乱,对面就是洗头房,而且房间环境比4,5楼差不少,给调一次还不好,再三调才调好,感觉不爽!', '短评打分': 1}
{'短评内容': '单人间整体给我的感觉是住宿的还可以：卫生，安静，舒适。\n一楼前台工作人员的态度也很好。\n下次来南宁出差如果要住宿的话，我想会优先再选择它。', '短评打分': 5}
{'短评内容': '酒店还可以离火车站比较近', '短评打分': 3}
{'短评内容': '不错啊不错啊不错啊不错啊不错啊不错啊不错啊不错啊不错啊不错啊不错啊不错啊不错啊', '短评打分': 5}
{'短评内容': '以后继续来u以后继续来u以后继续来u以后继续来u以后继续来u以后继续来u以后继续来u', '短评打分': 5}
{'短评内容': '不错的，就是老是给我开双人间 郁闷啊啊啊嗷嗷嗷', '短评打分': 5}
{'短评内容': '非常好，地理位置好，离火车站很近，靠近市中心..服务也很好.', '短评打分': 5}
{'短评内容': '交通挺方便，连续住几天的话小阳台晾衣服很好。', '短评打分': 5}
{'短评内容': '住宿条件环境一般', '短评打分': 3}
{'短评内容': '＋地理位置挺方便。条件也还不错。', '短评打分': 3}
{'短评内容': '环境很不错，就是靠近铁路，有点吵。', '短评打分': 3}
{'短评内容': '12345678943465487978', '短评打分': 5}
{'短评内容': '酒店价格适中，亮点在于有独立的小阳台。不足的地方是隔音效果不是很理想', '短评打分': 5}
{'短评内容': '123333333333333333333333333333333333', '短评打分': 5}
{'短评内容': '12345678912457864243458798734', '短评打分': 5}
{'短评内容': '酒店不错，挺干净，谢谢了！', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '整体感觉不错的，离火车站很近，步行不到10分钟。', '短评打分': 5}
{'短评内容': '酒店不错，入住时三人间被订出去了，后来酒店给调整了个套间，非常守信用！', '短评打分': 5}
{'短评内容': '服务态度还好，办事效率有点慢，卫生方面挺不错，价格挺合理。 \n', '短评打分': 5}
{'短评内容': '酒店环境不错，装修有西式风格，服务态度也颇为专业……', '短评打分': 5}
{'短评内容': '洒店房间宽大交通便利，还可以,洒店房间宽大交通便利', '短评打分': 5}
{'短评内容': '服务态度还好，办事效率有点慢，卫生方面挺不错，价格挺合理。', '短评打分': 5}
{'短评内容': '价格不算贵，离火车站挺近，前台服务态度也挺好的。', '短评打分': 5}
{'短评内容': '房间装修挺好，灯光挺柔和，卫生也不错，隔音挺好，住的挺舒适。', '短评打分': 3}
{'短评内容': '酒店还不错，周边交通挺便利，房间布置挺温馨挺舒适。', '短评打分': 3}
{'短评内容': '离火车站挺近，步行20分钟就能到，赶火车还是挺方便的。', '短评打分': 3}
{'短评内容': '酒店规模不大，卫生方面挺好，房间挺干净挺舒适的。', '短评打分': 5}
