{'短评内容': '酒店挺宽敞 硬件一般', '短评打分': 3}
{'短评内容': '酒店房间比较大，也比安静，几点服务人员挺热情！', '短评打分': 5}
{'短评内容': '酒店挺干净，晚上也比较安静，就是房间少预定好定，如果再有早餐就更好了！', '短评打分': 5}
{'短评内容': '十分满意，环境优雅安静，酒店服务人员也比较满意，要是有早点就更好了！', '短评打分': 5}
{'短评内容': '十分满意，环境优雅安静，酒店服务人员也比较满意！', '短评打分': 5}
{'短评内容': '总体感觉挺满意，卫生也好，房间比较大，要是有早餐就更好了！', '短评打分': 5}
{'短评内容': '酒店挺安静，卫生也挺好，服务员热情，房间比较大！', '短评打分': 5}
{'短评内容': '房间干净，而且还大，晚上比较安静，酒店服务人员也挺热情！', '短评打分': 5}
{'短评内容': '酒店房间大卫生也挺好，而且环境较好，周围也安静！', '短评打分': 5}
{'短评内容': '酒店服务人员很热情，房间和大也比较干净，晚上也比较安静！', '短评打分': 5}
{'短评内容': '酒店服务比较好，由于出游玩到宾馆酒店给延时入住！酒店房间比较大，环境较好，物有所值！', '短评打分': 5}
{'短评内容': '酒店服务比较好，由于出游玩到宾馆酒店给延时入住！酒店房间比较大，环境较好，物有所值！', '短评打分': 5}
{'短评内容': '环境很好，房间也很大', '短评打分': 3}
{'短评内容': '住的房间挺大，交通较为方便，距离海南大学一近，出行办公十分方便', '短评打分': 5}
{'短评内容': '宾馆挺好，房间挺大的', '短评打分': 3}
{'短评内容': '很一般 价钱也贵了点，房子有点旧了 天花板都漏水了，设备也老了。', '短评打分': 1}
{'短评内容': '＋好', '短评打分': 3}
{'短评内容': '不错，非常大，房间不错，也很干净，就是有点远', '短评打分': 5}
{'短评内容': '酒店不错，性价比还是可以的，和图片上的一样，满意。', '短评打分': 5}
{'短评内容': '离我们这次出差对方公司很近，环境还是很幽静的，房间很干净，设备等也很不错~如果下次再去对方公司~这家酒店是首选！而且性价比很高~~！推荐~！', '短评打分': 5}
{'短评内容': '安静,方便', '短评打分': 3}
{'短评内容': '已经是第二次入住了，真的很好，以后朋友来了都会推荐的！', '短评打分': 3}
{'短评内容': '环境很乾净，服务也还行 就是距离市区比较远，适合海甸岛休假住宿\n性价比还不错，不过隔音设备不太好，没有电梯就是小小的旅店\n\n', '短评打分': 5}
{'短评内容': '首先不是酒店，最多算是个招待所。私人租了一个别墅，改造之后开的。4层楼，可是没有电梯。房间还比较干净。服务态度比较好。房间之间不隔音，隔壁电视声音非常清楚。没有提供早餐的地方。总体讲，性价比一般。', '短评打分': 1}
{'短评内容': '酒店是新的，服务很好，房间也干净，如果在海甸岛住的话十分推荐~~', '短评打分': 5}
{'短评内容': '一定是好评，超好评。房间干净整洁，环境温馨。很适合甜蜜情侣哦。老板和店员也都很和蔼。下次还会入住！', '短评打分': 3}
{'短评内容': '房间装修卫生还不错，酒店的位置也是挺好找的，服务也是比较周到吧。价格也比较合理。', '短评打分': 5}
{'短评内容': '房间干净交通方便', '短评打分': 3}
{'短评内容': '很人性的快捷酒店，小经理很热情，还介绍去机场的公共汽车。也很干净，挺喜欢的。', '短评打分': 5}
{'短评内容': '性价比很高,很干净、卫生,满意!!', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '环境还可以，价格也不贵！\n是公寓楼改造成的，所以有些设施不如酒店专业！', '短评打分': 5}
