{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间不错，又安静', '短评打分': 5}
{'短评内容': '房间设施旧、无早餐、价格高', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错哦，前台服务好，离地铁站近，去哪都方便', '短评打分': 5}
{'短评内容': '商务大方，干净整洁', '短评打分': 5}
{'短评内容': '高大上，混迹优美', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '出差住的，还可以！', '短评打分': 4}
{'短评内容': '方便。挺好。性价比高', '短评打分': 5}
{'短评内容': '环境不错，有待进步', '短评打分': 5}
{'短评内容': '第二次去了，环境还可以，性价比不错，而且如果你是去朝阳区法院办事很方便，周围没什么吃饭好地方，有个庆丰包子铺，离三里屯酒吧街比较近。最后，前台的小美女特别可爱，越看越顺眼的类型，哈哈', '短评打分': 4}
{'短评内容': '第二次去了，条件一般但性价比不错，而且如果你是去朝阳区法院办事很方便，周围没什么吃饭好地方，有个庆丰包子铺，离三里屯酒吧街比较近。最后，前台的小美女特别可爱，越看越顺眼的类型，哈哈', '短评打分': 4}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '味道很大', '短评打分': 4}
{'短评内容': '比7天如家好很多', '短评打分': 4}
