{'短评内容': '晚上特别大的声音，说是旁边的电房 但是声音会让人睡不着的', '短评打分': 1}
{'短评内容': '环境好，安静，就在古城中心位置，很方便。', '短评打分': 5}
{'短评内容': '环境不错，很安静。就在古城里边！', '短评打分': 5}
{'短评内容': '旅游', '短评打分': 3}
{'短评内容': '位置好，南门进去几分钟。就在酒吧街上，方便游玩，但有点闹，11点以后才好点。其他就一般般了，住的房间Wi-Fi信号也不好。', '短评打分': 4}
{'短评内容': '服务超级好，房间也舒服，到了南门停车站，出来接，还叫电瓶车送到客栈，买东西帮忙砍价，帮忙拿东西，服务一流。', '短评打分': 5}
{'短评内容': '确实很好，在古城里，服务态度很好，住得很舒服。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '房间闷热，外面环境吵闹。', '短评打分': 2}
{'短评内容': '房间闷热，外面环境吵第一次住客栈。还是喜欢住酒店。', '短评打分': 2}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '在古城内，算闹中取静了。', '短评打分': 5}
{'短评内容': '按照酒店给的地址导航不到，车被开到死胡同里了，酒店就在古城里边，逛街非常方便，虽然隔壁就是酒吧，，，', '短评打分': 4}
{'短评内容': '很方便，就在酒吧一条街旁边。', '短评打分': 3}
{'短评内容': '很不错、只是11点前稍微吵一些、挨近酒吧街嘛', '短评打分': 3}
{'短评内容': '因为开车，所以住在了石马井苑，房间干净整洁，就是面积偏小一些，但离红龙井也很近，价格如果能再优惠点就更好了，总的来说，在旅游旺季的大理也很不错了', '短评打分': 5}
{'短评内容': '红龙井的传统民居客栈，清白传家的白族遗风，大理之行，因为云上居，更加完美。', '短评打分': 5}
{'短评内容': '首先，大理的旅游业十分发达，更难得的是，民风依旧淳朴，接待的大姐比一般小姑娘更加细心，谢谢。', '短评打分': 5}
{'短评内容': '很好的酒店，离古镇很近,卫生也很好,网速还行', '短评打分': 5}
{'短评内容': ' 大理云上居石马井店家庭房不错，周边店铺少，吃早点不方便。', '短评打分': 3}
{'短评内容': '第一次入住，客栈的卫生还不错，逛古城很方便，很近，下次还住！！', '短评打分': 5}
{'短评内容': '豪华间不豪华但是很清爽，店员态度很好。', '短评打分': 3}
{'短评内容': '由于大理古城内修路，交通不是很方便，但有服务人员帮助拿行李，酒店环境很好，干净简洁！', '短评打分': 5}
{'短评内容': '酒店在古城分为两部分，石马井和红龙井在不同的地方，看上去红龙井比石马井要高级一些，不过感觉石马井更符合古城的感觉，虽然不是白族建筑。设施很新很实用，窗外能看见苍山雪景，美好的说', '短评打分': 5}
{'短评内容': '位置不错，进出游玩都很方便，闹中取静。值得推荐，只是春节有点贵了点。', '短评打分': 5}
{'短评内容': '入住红龙井苑,位置好,环境不错,比较满意。', '短评打分': 3}
{'短评内容': 'a new inn located in a good place', '短评打分': 5}
{'短评内容': '卫生条件不错，新装修。但是周边吃饭不是很方便', '短评打分': 5}
