{'短评内容': '赞美一下下', '短评打分': 5}
{'短评内容': '方便，实惠，开票太慢了', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '很好，交通方便，干净卫生，性价比很高！出差旅游都很合适的地方，每次出差都住在这个酒店，以后也一样的！', '短评打分': 5}
{'短评内容': '网速快 干净整洁', '短评打分': 5}
{'短评内容': '到这边来基本都住这里，还行吧。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还不错，价钱公道，房间也够大', '短评打分': 4}
{'短评内容': '早餐很丰富，牛奶和羊杂很好吃', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '环境高大上，卫生也不错，早餐很好，房间够大，挺好的，以后还来', '短评打分': 5}
{'短评内容': '挺干净的。值得住，旁边有条大河，可以看看', '短评打分': 5}
{'短评内容': '酒店很不错，算是旗上数一数二的，环境设施都很好', '短评打分': 5}
{'短评内容': '酒店这个价位还可以的，！服务也不错还会入住的', '短评打分': 4}
{'短评内容': '一直住着这里，早餐不错，服务热情，交通便利', '短评打分': 4}
{'短评内容': '干净安全卫生服务不错 特别是楼下放行李的小哥 就是觉得还是贵了点点 ', '短评打分': 5}
{'短评内容': '在县城酒店中是比较好的。服务尚可。', '短评打分': 3}
{'短评内容': '和前台价格一样，却提供单早，而前台提供双早', '短评打分': 1}
{'短评内容': '位于薛家湾镇的中心位置，酒店的软硬件条件都不错——房间够大，淋浴够冲，早餐够好。西餐厅的特价比萨和牛排物美价廉（和当地的消费水平比）。周末的价格性价比非常高，如果周末含双早，周中与周末价格一样就完美了。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，卫生，设施齐全，值得推荐。下次还住这里', '短评打分': 5}
{'短评内容': '服务不好，房间浴室的下水不通畅，告诉他们也不给修。', '短评打分': 1}
{'短评内容': '竟然不能用信用卡刷预授权，谁出门带那么多现金啊，有个女领班还一副不在乎的样子，“你住不住随便”，档次还算可以的酒店，领班的素质怎么那么低呢？？？', '短评打分': 1}
{'短评内容': '浴室的下水十分不通畅，价格没有优惠。', '短评打分': 3}
{'短评内容': '跟前台的价格是一样的，无任何折扣。', '短评打分': 3}
