{'短评内容': '房间还可以不过价钱有点贵', '短评打分': 5}
{'短评内容': '还行，有免费停车的地方', '短评打分': 5}
{'短评内容': '枕头有点矮', '短评打分': 5}
{'短评内容': '房间太小，设计不合理', '短评打分': 3}
{'短评内容': '不错性价比高', '短评打分': 5}
{'短评内容': '如家在快捷酒店中性价比还是不错的，总比私人旅馆不换床单的要好。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置可以，能免费停车，不足之处：室内地面不平整，隔音不好，隔壁说话听的很清楚。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '干净，交通方便', '短评打分': 5}
{'短评内容': '一家人出去似乎住这个不太合适，不推荐', '短评打分': 4}
{'短评内容': '之前提过意见，店家都改了，服务还是不错的', '短评打分': 3}
{'短评内容': '酒店位置还不错，房间卫生也可以，环境不错', '短评打分': 4}
{'短评内容': '还不错，住的10楼房间，一如即往的如家风格，希望浴帘改进一下，避免溅水。现送2张10元肯德基卷，很实用', '短评打分': 4}
{'短评内容': '还算可以。价格不贵  设施也可以。理想选择', '短评打分': 3}
{'短评内容': '还不错咯。价格很实惠哦。还不错咯。价格很实惠哦。', '短评打分': 5}
{'短评内容': '酒店很不错。非常的温馨', '短评打分': 3}
{'短评内容': '我的朋友都非常喜欢这边的酒店，不管是价格，还是质量都很放心。', '短评打分': 5}
{'短评内容': '地点不错！旁边就是必胜客和肯德基还有屈臣氏，走一点、路就是菜市场，早餐也很好解决！不过晚上有的房间稍微有点吵！', '短评打分': 5}
{'短评内容': '床比较硬，隔音真的不太好，环境还行，蛮干净的，地理位置不错', '短评打分': 5}
{'短评内容': '第一，地方不算难找；第二，停车略有不便，是立体车库，时间相对久一点；第三，入住手续挺快、离店手续就有点慢了；第四，我订的商务大床房，两大一小睡得挺舒适，房间很干净，很舒适，但5、6是KTV，我们住8楼，略有歌声传上来，影响不大；第五，我以为有无线WIFI，但是房间提供的是有线宽带，可惜没带电脑，只能看着这根线发傻了！', '短评打分': 5}
{'短评内容': '如家一直都不错', '短评打分': 3}
{'短评内容': '地埋位置不错，很干净。但是隔音效果有点差~', '短评打分': 5}
{'短评内容': '还行，下次还会来的。多点优惠就好。交通也算方便。', '短评打分': 5}
{'短评内容': '价格公道，环境也不错，地处闹市，买东西很方便，就是去西湖有点远', '短评打分': 5}
{'短评内容': '房间很干净。很满意', '短评打分': 3}
{'短评内容': ' 感觉很好', '短评打分': 3}
{'短评内容': '，还不错，要是有送早餐就好了', '短评打分': 3}
{'短评内容': '环境还可以的，地处老城区，周围是热闹的商业圈。', '短评打分': 5}
{'短评内容': '不错！挺好的环境，服务也不错，不过价格变得太快了！', '短评打分': 5}
{'短评内容': '总体不错 服务周到 五楼银乐迪对住宿影响不大 但是电梯需耐心等待', '短评打分': 5}
{'短评内容': '环境不错 服务也不错  附近逛的地方蛮多的', '短评打分': 5}
{'短评内容': '唯一的不满意就是明明定了这个酒店，又被安排在另一个如家。环境还好', '短评打分': 5}
{'短评内容': '环境比较吵，房间卫生不好，比较陈旧，蚊虫较多，', '短评打分': 1}
{'短评内容': '萧山如家市心南路店交通方便房间洁净  很舒适  下次还要去', '短评打分': 3}
{'短评内容': '附近设施不错，价格也实惠，服务不错，不过房间差异较大！', '短评打分': 5}
{'短评内容': '真的很不错无论坏境还是其他各方面！只是个别房间有些差异', '短评打分': 5}
{'短评内容': '环境好，卫生干净。不错，下次还会去。价格也便宜。相对于杭州市区来说是不错的', '短评打分': 5}
{'短评内容': '服务周到、性价比高、交通方便，情侣操作最佳场所之一。', '短评打分': 5}
{'短评内容': '住的房间布置温馨，卫生状况相对其他同档次的宾馆算是上乘了。', '短评打分': 5}
{'短评内容': '房间补丁太多 ，', '短评打分': 3}
{'短评内容': '地段好，价格实惠，房间也还行，就是电梯脏了些', '短评打分': 5}
{'短评内容': '酒店位置不错，交通便利！服务人员态度很好，下次还会选择入住！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通方便，服务人员态度很好，唯一缺点就是房间有点小！', '短评打分': 5}
{'短评内容': '订了大床房；市中心的，离市心广场很近，新华书店（市心桥）哪个站公交直达到湘湖或（杭州乐园）。\n房间比较紧凑，通风效果好，特别是酒店的消防通道平台，晚上风大，可以眺望被面萧山夜景。非常不错的。', '短评打分': 5}
{'短评内容': '这家连锁酒店，服务态度很好，客房很干净。下次还可以继续入住。', '短评打分': 5}
{'短评内容': '值得推荐，物美价优。空调很给力，热水一般。反正现在天热，没关系。', '短评打分': 5}
{'短评内容': '地理位置很方便，停车也有停车场。房间设施设备新，周围就餐方便。', '短评打分': 5}
{'短评内容': '还行吧  楼下是 KTV 但不吵的 价格也不错', '短评打分': 5}
{'短评内容': '坐车很方便，附近有个购物广场，不错，附近吃放也方便，就是下面是KTV，上下楼有点闹腾。', '短评打分': 5}
{'短评内容': '酒店比较满意 干净舒服 床要是再软点就更完美了', '短评打分': 3}
{'短评内容': '不错，房间的色调很喜欢，真的想家一样！下次还会去的！', '短评打分': 5}
{'短评内容': '这家店蛮实惠的，而且里面的不知也都很温馨，唯一不足的是卫生间没有吹风机，前台借借很快就没了的！', '短评打分': 5}
{'短评内容': '酒店卫生不错，服务员态度很好，虽说酒店在KTV之上，不过并不吵，挺安静的。', '短评打分': 5}
{'短评内容': '总体来说还不错吧，挺干净的。主要是价格便宜，附近吃喝玩乐全都有', '短评打分': 5}
{'短评内容': '酒店不错,服务挺好,性价比很高', '短评打分': 3}
{'短评内容': '很不错的酒店，干净，整齐，卫生，下次还会入住。', '短评打分': 5}
{'短评内容': '房间都还不错，下次还会住的，但沿马路，就是有点太吵了哦！', '短评打分': 3}
{'短评内容': '不错是选择！独立位置好，方便。价格实惠。', '短评打分': 5}
{'短评内容': '酒店服务还行，卫生很干净', '短评打分': 3}
{'短评内容': '价格比较理想，环境好，卫生干净，希望活动多多。', '短评打分': 5}
{'短评内容': '房间大，干净，隔音好', '短评打分': 3}
{'短评内容': '服务周到热情卫生好值得推荐', '短评打分': 3}
{'短评内容': '还不错，服务挺到位的，家人住的挺满意，到火车站距离也近比较方便', '短评打分': 5}
