{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '位置很优越', '短评打分': 5}
{'短评内容': '环境不错，近汽车站', '短评打分': 5}
{'短评内容': '酒店门头还可以，入住率不好。里面的防盗锁是坏的，感觉比较简陋。抽屉里还有用过的套子，感觉和炮房差不多', '短评打分': 4}
{'短评内容': '总体环境不锗', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '设施有点旧，热水很小', '短评打分': 4}
{'短评内容': '整体不错，位置较佳，交通方便，性价比不错！', '短评打分': 4}
{'短评内容': '所谓的公园标间就是临窗有树，倒也清净。只是电水壶……很脏?里面有疑似煮鸡蛋的残渣！！！只能这么单纯的猜，不想很恶心自己！', '短评打分': 4}
{'短评内容': '定给客户的，客户反馈还可以的！', '短评打分': 5}
{'短评内容': '交通很方便，周围有大型超市，KTV等，早餐要是再下点功夫就更好了。', '短评打分': 5}
{'短评内容': '有浴缸，还觉还行。值得推荐。', '短评打分': 3}
{'短评内容': '性价比较高，服务也可以，周边环境不错。离车站较近，交通方便。', '短评打分': 5}
{'短评内容': ' 一般，服务一般', '短评打分': 3}
{'短评内容': '除了名字挺好听的之外，其他都跟这个名字不搭调~除了宝龙广场在对面之外，其他木有任何优势可言了~', '短评打分': 1}
{'短评内容': '房间不错   服务差', '短评打分': 3}
{'短评内容': '    硬件条件挺不错的，服务也很好。推荐给大家！', '短评打分': 5}
{'短评内容': '宾馆设施不怎么样，电脑也没有，地毯也不干净，景观也是虚的', '短评打分': 1}
{'短评内容': '差的要命什么酒店。破旧不堪！！！！！！！！！', '短评打分': 1}
{'短评内容': '看点评后才选择的这家酒店，我认为下面说好的都是托吧！！ 我没有见过这么旧的星级饭店，脏乱差非常糟糕的酒店，如果你不后悔请入住吧！！！ 我是被下面说好的托给骗啦。', '短评打分': 1}
{'短评内容': '酒店位置不错，环境优美，装修较新，房间空间较大，早餐还行，值得推荐。', '短评打分': 3}
{'短评内容': ' 还不错', '短评打分': 3}
{'短评内容': '还好，服务有待提高。设施设备都还好！停车位不是很多。', '短评打分': 5}
{'短评内容': '该酒店位置比较的便利，服务比较的周到，酒店设施一般，房间还是比较的整洁赶紧，餐厅价格比较合理，味道还行，总体来说还是不错的。', '短评打分': 5}
{'短评内容': '环境可以。要是花园大点就更好了...................................................', '短评打分': 5}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间很不错，面积也够大，但是价格有点高，嘿嘿~后续希望能有所调整~', '短评打分': 5}
{'短评内容': '还不错,服务也不错，就是临街房有点吵，希望能有所改善！', '短评打分': 5}
{'短评内容': '环境和服务都不错，离市中心有点距离，离火车站到是比较近的。', '短评打分': 5}
{'短评内容': '酒店的豪华景观房推门只见大马路，不知景观在哪。酒店也有些山寨，马桶的位置旁边就是柱子...侧着方便... 强烈不推荐', '短评打分': 1}
{'短评内容': '非常喜欢房间的布置，早餐质量需要提高。\n浴缸要是可以按摩就更好了', '短评打分': 5}
