{'短评内容': '房间不错哟', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间老了些', '短评打分': 5}
{'短评内容': '房间设施陈旧了', '短评打分': 5}
{'短评内容': '蛮好的住了很多次了，基本上每次去都是住在那边的，早饭不错，其他的都还行。说是还差15个字，现在还差几个呀', '短评打分': 5}
{'短评内容': '京东平台预定的价格是最便宜的。前台问是通过哪个平台定的，我说京东，人家跟诧异。后来报了名字，人家说是艺龙上的?', '短评打分': 5}
{'短评内容': '不错，，', '短评打分': 5}
{'短评内容': '酒店环境还可以，离亲戚家很近，房间设施太陈旧', '短评打分': 4}
{'短评内容': '房间卫生一般，设施不新。。h', '短评打分': 3}
{'短评内容': '前台还不错 回安庆的必选', '短评打分': 4}
{'短评内容': '回老家 步行距离中最合适的酒店', '短评打分': 3}
{'短评内容': '很普通', '短评打分': 3}
{'短评内容': '酒店老了，比较破', '短评打分': 3}
{'短评内容': '卫生  环境  早餐都很好  就是房间的无线网不好用', '短评打分': 5}
{'短评内容': '很吵', '短评打分': 1}
{'短评内容': '房间味道好大，周边比较荒凉，一般吧', '短评打分': 4}
{'短评内容': '一般吧，性价比还行', '短评打分': 4}
{'短评内容': '酒店设施很好，卫生安静，下次还会再来。', '短评打分': 3}
{'短评内容': '酒店很好，房间干净，设施齐全，服务周全，周边环境不嘈杂。', '短评打分': 5}
{'短评内容': '哦空空空空空噢噢噢噢噢噢空空偶看  附近吃饭不方便', '短评打分': 5}
{'短评内容': '感觉挺陈旧的……其他还好……位置有点不景气……', '短评打分': 3}
{'短评内容': '宾馆性价比还可以， 服务很一般。\n早餐一般， 过了九点， 几乎没东西了', '短评打分': 1}
{'短评内容': '服务态度冷淡，早饭不好，离闹市有一点距离，房间一般', '短评打分': 5}
{'短评内容': '早饭不好，附近没有吃饭的地方，出行一般，房间一般，在安庆还算可以。', '短评打分': 5}
{'短评内容': '很好，本来准备只在这住一天，今天晚上到池州住的，但是又续住了一天，下午从池州开车回来。真的很不错的酒店。', '短评打分': 5}
{'短评内容': '很好，酒店很干净，装修也很有风格。房间也很大，周围环境也比较好！值得推荐！', '短评打分': 5}
{'短评内容': '环境很不错，就是离车站有些远了，房间也很舒服，值得推荐。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '还可以，房间挺宽敞，不过湖景房没有好的湖景，越过近处的楼房远远的能看到而已。餐厅服务员的衣服有点像保安服，有点诧异。总的来说还好。', '短评打分': 5}
{'短评内容': '位置稍偏，酒店设施还是不错的，对得起价格，就是停供的服务太少了，没有送餐，没有洗衣服，没有中餐和晚餐，没有饮料。。。。。。', '短评打分': 1}
{'短评内容': '非常满意。房间面积宽敞，内部设施齐全，强烈推荐大家', '短评打分': 5}
{'短评内容': '性价比非常高的酒店，房间很大，强烈推荐，很不错', '短评打分': 5}
{'短评内容': '非常满意。房间面积宽敞，同样价位的如家等连锁酒店面积可就小多了。内部设施齐全，冰箱，保险箱，浴袍等都有。大床软硬适中，床套被单也都很干净，睡得很舒服。卫生间，淋浴龙头出水很大，洗的非常舒服。酒店提供的免费早餐，作为连锁酒店还是很满意的。唯一缺点：电视机接收信号不好，很多电台很糊涂，只有个别几个卫视可以收看，希望能改进。以后出行，首选汉高。', '短评打分': 5}
{'短评内容': '服务很亲切，见客人都会主动打招呼，感觉很好！值得推荐！！！', '短评打分': 5}
{'短评内容': '上次是在携程预订的这个酒店，当时感觉还行，所以这次又过来了，这次感觉很好，前台热情了，早餐也不一样了，换了很多我喜欢吃的东西，尤其是煎鸡蛋我的最爱！总之都很满意，下次肯定还会选择这个酒店~~~~', '短评打分': 5}
{'短评内容': '很好哦 性价比相当的高 下次有机会还来', '短评打分': 3}
{'短评内容': '性价比很好，房价比较干净， 服务也不错。早餐一般， 希望能改进。', '短评打分': 5}
{'短评内容': '酒店卫生不错，环境各方面都很舒适！也比较安静！下次还会去住的！', '短评打分': 5}
{'短评内容': '酒店比较新。\n前台服务人员很负责，早餐也还行，炒饭不错。', '短评打分': 5}
{'短评内容': '下次所以汉高酒店我都不会住，服务态度太差，酒店居然停电接近2小时，有是早餐时间，酒店没有没任何解释，我从十楼走下去问服务员，可笑的是叫我去问供电局，后来问题出在跳闸，可笑', '短评打分': 1}
{'短评内容': '很好的酒店。装潢精致，价格非常低。但是，房间桌上的灰层有点大，可能与开窗户有关，希望酒店做好清洁。服务很好，以后还会住那里。', '短评打分': 5}
{'短评内容': '这次住的感觉没上次好，入住和退房居然花了差不对半小时，不知道搞什么', '短评打分': 5}
{'短评内容': '今后还会来入住，暂时没确定，就是早餐扯了点。网速快，设施新', '短评打分': 5}
{'短评内容': '这是一家新的酒店，5、6楼还在装修，但住在7楼的我感觉还很好，宽敞的房间既干净又能上网，价格经济实惠，交通方便。', '短评打分': 5}
{'短评内容': '酒店很新，环境不错，早餐特别好，值得推荐。', '短评打分': 5}
