{'短评内容': '挺好的，出门就是宽广的青澳湾海滩！', '短评打分': 5}
{'短评内容': '刚到还要等明天', '短评打分': 5}
{'短评内容': '首先是进门守门就要10元 说办好入住拿房卡来退钱 结果没得退 这算是潜规则吗？ 前台服务员态度差  网上订票收押金 到前台还得交押金  这都双份押金 能在坑点吗？房间一部分电灯开不起来  ', '短评打分': 2}
{'短评内容': '早餐差地方位置很好环境卫生差带小孩适合', '短评打分': 3}
{'短评内容': '早餐凑合不能加床可以加人床很软有停车场位置很好位置很好位置很好', '短评打分': 4}
{'短评内容': '房间很新，优其总台服务更好，就在海滨浴场，下水游泳方便，可惜卫生间放出的水是黄色，否则应该给5分。', '短评打分': 5}
{'短评内容': '很一般吧，感觉还好', '短评打分': 3}
{'短评内容': '周边配套完善', '短评打分': 5}
{'短评内容': '周边配套完善', '短评打分': 5}
{'短评内容': '只能说别贪便宜', '短评打分': 2}
{'短评内容': '不错的服务', '短评打分': 5}
{'短评内容': '环境恶劣，海景可以，半夜没电，图片和实物不一样，', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '没有想象中那么差，之前看了评价做了心理准备，但是还是可以的，味道比较重，但还是勉强可以接受了', '短评打分': 4}
{'短评内容': '卫生不行，房间差！', '短评打分': 2}
{'短评内容': '   环境差无双早服务一般', '短评打分': 3}
{'短评内容': '酒店内部设施较陈旧，但酒店地理位置优越，离沙滩距离仅十多米，适合带小孩游玩。', '短评打分': 5}
{'短评内容': '以后打死都不能来啊！880小木屋十几平方都没有整个房间就一张床两张椅子，连个活动的地方都没。！500的别墅也是不能住人的！又', '短评打分': 3}
{'短评内容': '同时定了两酒店，这个就差了，刚入住时卫生都没搞，套套都还在，房间又差又旧，还好给换了房，要不都没法住', '短评打分': 1}
{'短评内容': '位置很好，下楼就可以走到海滩，房间很旧，设备陈旧，感觉脏脏的。', '短评打分': 3}
{'短评内容': '首先酒店的环境很好，海滩就在酒店里面，很舒服，下楼就可以亲近大海了，晚上可以在海滩上吃烧烤，喝啤酒，看烧烟花，惬意呀；在酒店里面吃得不贵，这点很好，不用被坑；不过装修还是有点时间了，房子比较旧点，整个房间只有电热水器是新的；服务员的态度不错，我要的大床房没有了，后来主动换了一间给我，好家伙，足足有2、30平米，床前还有一套沙发可以坐着看电视，简直就是个套间。总体还好！', '短评打分': 5}
{'短评内容': '虽然和半岛假日一样在海滩边上，环境太差了，房间小，霉味很浓，卫生间很脏。', '短评打分': 3}
{'短评内容': '总体还是不错的， 都是平房，靠近海边~~小木屋的设计很漂亮~~', '短评打分': 5}
