{'短评内容': '房间不错，。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺不错的，离出差地点很近', '短评打分': 5}
{'短评内容': '房间床上用品破损严重还在用，设施设备陈旧', '短评打分': 2}
{'短评内容': '位置便利 ，服务好', '短评打分': 5}
{'短评内容': '酒店位置佳，设施老旧，早餐品种少，服务的态度和意识有待提高。例如，早餐推着餐车收碗筷声音非常吵，服务员都在聊天，服务少。', '短评打分': 4}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店一般，特别是在网上订的给的都是没有WiFi的房间，所以要订的朋友慎重。', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '虽然标了四星，还是那个老酒店，设施不新，没有自助早餐。周边环境还行，离地铁也不远。', '短评打分': 5}
{'短评内容': '不错。。。不错。。。不错。。。不错。。。', '短评打分': 5}
{'短评内容': '地理位置极佳，到南湖方便。早饭品种一般不过够吃了，对的起价钱。晚上很安静。设施旧了点不过卫生还行。', '短评打分': 4}
{'短评内容': '老牌的四星酒店 但是设施陈旧很久没更换过 卫生没什么可挑剔', '短评打分': 4}
{'短评内容': '第一次入住，第一次带同事入住，一如之前感觉，闹中取静，酒店干净、整洁，服务态度好，尤其是总台微笑服务。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '强烈不推荐和不建议，酒店服务太差，前台人员个个面无笑脸，好像欠谁的一样。\r\n1、订的是大床，含双人早餐，结果给一张票，理由是你只有一个人入住就一个票，这还搞笑啊，我团购3个套餐，一个人难道只上一个人的份吗，真觉得这种做法不可思议。\r\n2、不知道是有意还是无意，竟然给我入住双人床，咱先不说这个差价问题，大床房和双人床字面上长的不像把。\r\n', '短评打分': 1}
{'短评内容': '酒店住过几次了，办事方便，设施旧了些，这次的1523房间洗脸池下水器坏了', '短评打分': 4}
{'短评内容': '各方面都很好。', '短评打分': 5}
{'短评内容': '酒店位置好，出行方便，有二十四小时餐厅，吃饭很方便，下次还会住在这里。', '短评打分': 5}
{'短评内容': '酒店总体不错，四星的，各方面条件都可以，商旅肯定够用了。。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '地处南宁新区中心，交通便利，服务周到，酒店干净卫生', '短评打分': 5}
{'短评内容': '位置超好，距离五象广场很近，距离城市机场候机楼也很近，交通很方便！周围就是商业中心和地标建筑-云顶，推荐！', '短评打分': 5}
{'短评内容': '酒店比较老了，房间装修应该更新一下了\n位置比较好，附近是新区', '短评打分': 1}
{'短评内容': '房间很老旧 不舒适 门脸不好找 离五象广场较近', '短评打分': 1}
{'短评内容': '每次去南宁都是下榻该酒店，朋友去南宁也是推荐他们住该酒店，但现在的价格有些贵。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '喜欢这里，不错的，感觉很好，上面的几位朋友都是我们一起来住的，很开心', '短评打分': 5}
{'短评内容': '还可以了，交通很方便，在南宁比较繁华地带 ', '短评打分': 5}
{'短评内容': '房间还不错，挺好的，出行方便。有点文化气息', '短评打分': 5}
{'短评内容': '交通方便，酒店房间环境比较宽敞，床也很舒服。', '短评打分': 5}
{'短评内容': '位置很好、艺术感较强、房间干净、服务快捷。但：设施不够新，中央空调噪音大、细节不够好比如房间内没有汤匙，价格有点高。', '短评打分': 1}
{'短评内容': '这家酒店性价比高，地理位置不错，环境也比较满意，下面的餐饮最方便，营业时间长。下次还来。', '短评打分': 5}
{'短评内容': '跨世纪大酒店性价比高，地理位置不错，值得推荐。', '短评打分': 5}
{'短评内容': '豪华大床很大\r\n吹风筒有点旧了\r\n整体来说还不错\r\n推荐', '短评打分': 5}
{'短评内容': '推荐，尽管酒店设施陈旧了点，但舒适度还是不错，尤其是酒店内可以免费拨打任何国内电话，让我很满意~！', '短评打分': 5}
{'短评内容': '南宁这家酒店环境很好，房间干净舒适，位置也非常方便。服务热情有礼貌。', '短评打分': 5}
{'短评内容': '用餐很方便。', '短评打分': 3}
{'短评内容': '以前就住过，这次再入住，感觉还是很好。', '短评打分': 5}
{'短评内容': '以前就住过，感觉很好。这次再次入住，仍然感觉服务很好，就餐方便。', '短评打分': 5}
{'短评内容': '還可以', '短评打分': 1}
{'短评内容': '很好的酒店，非常舒服，性价比还高。', '短评打分': 5}
{'短评内容': '酒店舒适，服务较好，早餐出色。推荐。', '短评打分': 5}
{'短评内容': '酒店有免费的国内长途可以拨打，非常适合商务旅客', '短评打分': 5}
{'短评内容': '住过很多次了 用餐交通都方便，实在是忍受不了它的床垫了，那种海绵垫子，睡着实在是太热，不适合南宁的炎热气候！！！ 我这次住了2天，热得睡不好，都上火了，酒店方确实要更换一下', '短评打分': 1}
{'短评内容': '服务态度令我失望', '短评打分': 1}
{'短评内容': '准确的说是没有住成，尽管有订房不过因为它当头接待了会议就随意取消了我的，取消时连电话都没有一通很是郁闷，不过前台帮我转到其他酒店了，这个还凑活吧。', '短评打分': 5}
{'短评内容': '不符合四星标准！', '短评打分': 5}
