{'短评内容': '早餐太难吃。空调没有。', '短评打分': 1}
{'短评内容': '空调都没有，打电话到前台，前台说没有开，后来叫帮忙开下，前台又说坏了。带着一个小孩子。', '短评打分': 3}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '不错的一家酒店', '短评打分': 5}
{'短评内容': '是一家比较老的酒店了，服务很好，早餐也还行', '短评打分': 5}
{'短评内容': '服务和卫生很不错，期待下次入住依旧', '短评打分': 5}
{'短评内容': '总体是不错的，但说实话，可能原因是本地人住酒店比较少，所以餐厅都是以，包厢形式的，所以太不方便。', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '相对附近贵一点，但是比较规范，干净，比挂牌少80元，停车方便，有提供早餐，有网络，设备虽然不新，但是住的放心。很多民宿酒店没有这里干净。', '短评打分': 5}
{'短评内容': '环境很好。 和女朋友一起去的。 就是离古城有点远', '短评打分': 5}
{'短评内容': '在崇武镇上，交通方便，有停车场适合自驾的驴友。印象深刻:酒店餐厅凭房卡打8.8折（只对菜金超出200元的部分打折），我们3人消费197元，愧对了经理的的热情啊，呵呵。。。', '短评打分': 4}
{'短评内容': '可以吧，远远地可以看到海。唯一不足的就是早餐', '短评打分': 3}
{'短评内容': '服务很好 价格 还 实惠交通 还 便利 去 景点还有 优惠设施 很新 服务员 也 很 敬业早餐很好 不像别的 酒店 小孩 要 收费 .', '短评打分': 3}
{'短评内容': '环境很好，服务态度也好。住的很舒服！！下次去继续这家！感谢前台的大美女！', '短评打分': 5}
{'短评内容': '一般，离游玩区远了一点。如果自驾可以考虑，如果没有自驾，建议不要选择', '短评打分': 5}
