{'短评内容': '多次入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '都不错', '短评打分': 5}
{'短评内容': '交通很方便 很干净 服务很好', '短评打分': 5}
{'短评内容': '总体还好', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '服务还好 位置不错 但房间设施比较旧了', '短评打分': 3}
{'短评内容': '位置不错 就是设备太老了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '多次入住了，地点没的说，吃饭交通娱乐近在咫尺，设备有点旧了，维修不及时！', '短评打分': 5}
{'短评内容': '酒店设施、位置都很优越，在泰华B座上面，购物、乘车相当方便，周围景色也是不错，总之值得一住', '短评打分': 5}
{'短评内容': '一般，暖气不咋的', '短评打分': 5}
{'短评内容': '网速不错，床有点硬，其他还行吧', '短评打分': 5}
{'短评内容': '不错，宽敞明亮，就是稍微有些老，不过已经很不错了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '设备较为陈旧，唯独几个前台还算漂亮，晚上还有各种电话…\n', '短评打分': 5}
{'短评内容': '环境很不错，很干净，空间正好，服务也不错，值得推荐！', '短评打分': 5}
{'短评内容': '酒店位置很好  服务也还不错', '短评打分': 3}
{'短评内容': '在这里住了6年了，感觉还行吧，习惯比档次更主要', '短评打分': 5}
{'短评内容': '房间还好，主要是服务很贴心', '短评打分': 3}
{'短评内容': '订房时候是158实际收我160还有就是说有免费的洗漱用品实际都收费', '短评打分': 3}
{'短评内容': '非常不错，服务好。。停车方便  上网速度很快', '短评打分': 5}
{'短评内容': '＋环境、服务、设施均满意，来潍坊不错的选择！', '短评打分': 3}
{'短评内容': '高层，景色很不错，大厅很气派，房间面积大。设施很全，只是没有一次性牙刷牙膏，牙膏牙刷两元一只，央空调挺给力，卫生间也很干净，有机会还会去。', '短评打分': 5}
{'短评内容': '挺好的，环境不错又靠近繁华地带，不管是购物还是就餐，坐车都很方便，推荐。。', '短评打分': 5}
{'短评内容': '酒店设施不错。服务很周到，环境很好！交通很便利。', '短评打分': 5}
{'短评内容': '住的套房，很有家的感觉，挺不错的，下次来还会住着。', '短评打分': 5}
{'短评内容': '酒店服务态度都不错，就是房间有点老旧，希望可以装修一下', '短评打分': 5}
{'短评内容': '干净，服务好，每天都会送水果和报纸，而且在市中心，紧邻泰华，逛街很方便。非常满意', '短评打分': 5}
{'短评内容': '不错，经常来住，性价比比较高!多次入住。', '短评打分': 5}
{'短评内容': '住了2天，竟然没空调！说在维修，室温29度', '短评打分': 3}
{'短评内容': '酒店地理位置很好，家具很新，服务也好，每天送水果和报纸。以后如果有机会去潍坊出差还会选择你们', '短评打分': 5}
{'短评内容': '位置不错，周边环境不错。有很多小吃店。还有大型商场，超市，购物，就餐都比较方便。房间还不错。酒店15:00退房，比较人性化', '短评打分': 5}
{'短评内容': '房间干净，早餐挺实惠，推荐，，，，，，，', '短评打分': 5}
{'短评内容': '很好，毛巾、床品和一些配套换新的了，服务很到位', '短评打分': 3}
{'短评内容': '房间很宽敞，服务很好。', '短评打分': 3}
{'短评内容': '设施比较旧，隔音非常差，隔壁房间说话都能听到，还有放水声太吵了', '短评打分': 1}
{'短评内容': '很干净的一家商务酒店，交通便利 购物也方便 服务也挺好的！', '短评打分': 5}
{'短评内容': '经常住这家酒店，设施也在一步步更新中，位置极佳，价位也较合理', '短评打分': 5}
{'短评内容': '出差经常住这个酒店，不错。就是早餐没有以前好了。不过价格优惠很多，可以接受。', '短评打分': 5}
{'短评内容': '非常方便，停车也方便，吃饭也方便，周围什么都有', '短评打分': 5}
{'短评内容': '在住过的所有经济型酒店中，泰华是服务最好的，性价比最高的。\n潍坊首选酒店', '短评打分': 5}
{'短评内容': '不错就是空调貌似不太好用', '短评打分': 3}
{'短评内容': '房间很干净，服务态度很好，下次还会选住。\n', '短评打分': 5}
{'短评内容': '房间挺干净的，空调也挺暖和，隔音差点，宽带很给力！', '短评打分': 5}
{'短评内容': '入住的1201，隔音不好', '短评打分': 3}
{'短评内容': '酒店非常不错,下次希望可以再次入住,服务很贴心,但是唯一的是洗漱用品收费', '短评打分': 5}
{'短评内容': '火车没赶上，临时住了一下，还可以，快捷酒店', '短评打分': 5}
{'短评内容': '火车没赶上，临时住了一下，还可以，快捷酒店风格', '短评打分': 5}
{'短评内容': '挺好的，虽然设施有点旧但比较干净，服务也不错。', '短评打分': 5}
{'短评内容': '还不错，环境不错 周围商业区。就是交市中心通不太方便。还有电脑网速有点慢....总体还是不错 推荐入住。', '短评打分': 5}
{'短评内容': '虽然酒店设施较旧，但从服务的细节很好，服务人员的态度都很热情，很贴心，如果是自己入住，下次还是会的，但不一定会介绍给朋友入住，因为朋友不一定能适应设施陈旧！', '短评打分': 1}
{'短评内容': '内部装修比较旧，整体还算干净，打折的价格还可以接受，比较受不了淋浴蓬头一开，整个洗手间地面全是水，隔音不太好，有点吵', '短评打分': 5}
{'短评内容': '不错   可以免费停车   就是没有免费的牙具  ', '短评打分': 3}
{'短评内容': '房间空调不好用。虽然开了，但房间内还不如走廊暖和。', '短评打分': 3}
{'短评内容': '房间挺好的，就是中央空调有点热', '短评打分': 3}
{'短评内容': '出差住的酒店，设施一般吧，下次应该不会再住了', '短评打分': 1}
{'短评内容': '房间不错，位置很好。旁边就是银座，吃饭，购物很是方便。', '短评打分': 5}
{'短评内容': '酒店有些陈旧，但位置不错，比较方便，早餐不如从前。', '短评打分': 3}
{'短评内容': '毛巾有点旧，其他还好。', '短评打分': 3}
{'短评内容': '感觉不错，价格实惠，卫生也很好。', '短评打分': 3}
{'短评内容': '性价比比较高 房间设施也比较别出心裁 但是床不是很舒服 细节地方做得不错 配备了加湿器 晚上睡觉也很安静', '短评打分': 5}
{'短评内容': '网速太慢  空调不是很好  服务态度还行    总体还好了', '短评打分': 5}
{'短评内容': '环境很好，购物方便', '短评打分': 3}
{'短评内容': '不错不错~地理位置不错~服务也好~~赞一个', '短评打分': 5}
{'短评内容': '服务很好，环境也不错，就是房间的硬件设施太古老了，希望能够更新换代！', '短评打分': 5}
{'短评内容': '房间的水壶里还有上次宾客烧过的水，水壶和阅读的杂志上还有灰尘，最重要是的天气冷了，空调还是制冷的，问过前台答复15号才会供暖，我吹的空调，不是暖气片供暖啊！', '短评打分': 1}
{'短评内容': '酒店价位和服务较好，设施较陈旧，电视较小，洗浴热水够大，总体评价良好', '短评打分': 5}
{'短评内容': '服务什么没说的，就是设备有点陈旧了，期待更新设备。另外希望能够有电脑能用上', '短评打分': 5}
{'短评内容': '设施比较老旧了。不知道好一点的房间会不会好点。服务态度还行。就是住的屋里都落了灰了。', '短评打分': 1}
{'短评内容': '很不错，以后会经常入住很不错，以后会经常入住很不错，以后会经常入住', '短评打分': 5}
{'短评内容': '价格不高，周围商业活动丰富，但房间配置稍显低档，', '短评打分': 5}
{'短评内容': '我感觉整体来说还可以吧 价格满低的 但就是卫生间的毛巾也太旧了吧 该好及时换一下了', '短评打分': 3}
{'短评内容': '性价比很高，买东西也方便，我每次到潍坊，都来住。', '短评打分': 5}
{'短评内容': '这个价格不错', '短评打分': 3}
{'短评内容': '酒店外观环境不错，就在市中心逛街购物都很方便。美中不足就是房子比较老，设施有些陈旧。', '短评打分': 3}
{'短评内容': '设备比较简陋，服务态度也可以，正在市中心。对得起这个价格。\n不过浴巾毛巾都有很多洞。', '短评打分': 1}
{'短评内容': '潍坊世纪泰华商务酒店第二次入住，卫生很好、装修略显陈旧、服务也不错，出行、购物比较方便。', '短评打分': 5}
{'短评内容': '第一次入住，总体感觉还是挺不错的，就是装修是比较老了一点，其它都挺好的。', '短评打分': 5}
{'短评内容': '住的套间 装修简单 厕所门剥皮了 床挺大 但有点硬 酒店位置不错 出行比较方便 旁边有商场 买东西也便利', '短评打分': 5}
{'短评内容': '房间比较大，酒店位置不错，就是设施比较落后，应该更新了，床响声比较大，影响休息', '短评打分': 5}
{'短评内容': '房间小，装修旧，洗漱品收费，服务差，总体性价比差，有点上当的感觉，下次不可能住了。', '短评打分': 3}
{'短评内容': '世纪泰华的房间很大,很干净,虽然没怎么装修,但是根据房间价格,性价比很高,位置很好,紧靠世纪泰华商场,有停车场,停车买东西都方便,就是不赠早餐,好象不太合理.还会再来住.', '短评打分': 5}
{'短评内容': '总体感觉还是可以的，除了酒店有点旧，周边环境不错，停车不是很方便，主要是因为地处繁华地带的原因吧。推荐。。。', '短评打分': 5}
{'短评内容': '便宜、购物方便、房间超大，就是设施上了年纪啦', '短评打分': 5}
{'短评内容': '房间稍小但是价格合理，只不过房价低了，里面的浴巾、毛巾有点不太干净，颜色发黄！其他的还不错啦~', '短评打分': 5}
{'短评内容': '在潍坊性价比高的酒店很多，泰华也算是一个。卫生，位置，早餐都可以。对得起这个价位', '短评打分': 5}
{'短评内容': '房间挺大，虽然隔音效果差点，但是性价比比较高，买东西，吃饭都很方便。还会再住。', '短评打分': 5}
{'短评内容': '环境不错……设备齐全，就是晚上九点半空调就关了……热死了……还有床被太潮湿，连牙膏牙刷都是重新收费的……总体一般吧', '短评打分': 3}
{'短评内容': '条件不还不错，会再来', '短评打分': 3}
{'短评内容': '感觉一般，没有免费的矿泉水 也没有明显收费的标识', '短评打分': 1}
{'短评内容': '老商务酒店了，有点旧了，建议再更新一下，不过地段真没的说', '短评打分': 5}
{'短评内容': '服务很好，还不错，就是空调不够冷~', '短评打分': 3}
{'短评内容': '该酒店性价比很高，推荐入住！', '短评打分': 3}
{'短评内容': '此酒店位置极佳，7楼的餐馆也比较不错，所以来潍坊一般就是这里或泛海', '短评打分': 5}
{'短评内容': 'N次入住了，感觉还行mmmmmmmmmmmmmmmm\n', '短评打分': 5}
{'短评内容': '位置很好。不过，设施陈旧。希望能重新装修一下，环境对不起价格啊', '短评打分': 5}
{'短评内容': '酒店环境不错。', '短评打分': 3}
{'短评内容': '各方面都还可以吧，位置也非常不错，比较干净...就是床嘛....总是嘎吱嘎吱响...有点陈旧，每天都送水果和报纸。。还是不错的', '短评打分': 5}
{'短评内容': '比较贵，条件一般。牙刷啥的还要收费。好处是靠着繁华路段，比较方便，', '短评打分': 5}
{'短评内容': '在市中心，非常方便，性价比很高的一家酒店，很安静很干净，下次还会去', '短评打分': 5}
{'短评内容': '前台服务不咋地，房间还比较整洁，客房服务很好', '短评打分': 5}
{'短评内容': '条件挺好，但价格比网上贵十块钱，牙刷如果是一次性就好了，借环保收费不地道…', '短评打分': 3}
{'短评内容': '缺少一个吹风机', '短评打分': 3}
{'短评内容': '物超所值 房间比较干净，位置属于潍坊中心地带，吃饭购物都很方便。不错', '短评打分': 5}
{'短评内容': '整体看上去还行，装修陈旧，房间给人感觉不是太理想', '短评打分': 1}
{'短评内容': '很不错的！服务挺好 房间挺大 设施也很全 很干净 周边也很繁华 交通很方便 这个价位很不错了 推荐！', '短评打分': 5}
{'短评内容': '很好！就是早餐价格有点商，商务酒店一样是15元一位还是可以的。客房部的服务员服务很好！下次还入住此店。', '短评打分': 5}
{'短评内容': '111111111111111111111111111111111111', '短评打分': 5}
