{'短评内容': '不错很好下次还来光顾', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '除了吹风机是坏的，其他都好', '短评打分': 5}
{'短评内容': '不推荐', '短评打分': 2}
{'短评内容': '还可以，隔音挺好的。', '短评打分': 5}
{'短评内容': '每次都住，没有异味', '短评打分': 5}
{'短评内容': '适合商旅', '短评打分': 5}
{'短评内容': '酒店性价比很高，早餐很差，油条太硬了，靠马路的房间隔音效果不理想，马路车声大。', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '早餐没得选', '短评打分': 5}
{'短评内容': '房间都是味道，房间还和描述不一样，被罩被单子上面不是太白，看着显脏', '短评打分': 3}
{'短评内容': '位置在市中心，逛街吃饭方便。酒店自身没有停车场，要借用马路对面国购广场的地下停车场，凭酒店的条子免费停车。前台服务态度不错，就是业务不够细。比如定的标间一定要注明是两张床，否则很有可能给你大床房。早餐稀饭是8块，面条是12。假如你不知道价格差，就一律收你12，不够厚道', '短评打分': 4}
{'短评内容': '房间光线充足，设施新，位置商业街上，出行吃饭很方便，扣一分是因为被子上有个洞，希望检查仔细。', '短评打分': 5}
{'短评内容': '经常居住，在市中心，出行非常方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '太差了，绝对不值这个价。房间很阴暗，就像地下室，窗户紧挨马路，路边人说话夜里都听到。整个房价就两个插座，而且都在卫生间。桌子在床右边，而网线在床的左前方，上网就必须捧个电脑坐在床边。电视说是数字电视，老是跳，总是显示卡未插好。', '短评打分': 1}
{'短评内容': '推荐入住。缺点：1住的是地下一层房间，有点霉味。2隔音不好。', '短评打分': 5}
