{'短评内容': '有停车场，一至三楼水汇沐足', '短评打分': 5}
{'短评内容': '就是一个便捷酒店，离要办事儿的地方只有几米，所以住在这里。不要挑剔，就当是开了10年的汉庭？', '短评打分': 3}
{'短评内容': '性价比高，国庆期间房价疯涨，这里还可以接受。设施有点陈旧了，不过比去年有所改善，插座够用，有usb充电口。wifi顺畅。房间挺大，灯光也够用，有书桌和台灯。热水充足。门前是停车场，公交车站就在门口不远，出租车等等各种交通方便。附近的饭店很不错，从早茶直至宵夜都有，楼下有便利店。服务员态度好，很快帮忙解决问题。缺点：隔音差，走廊的声音听得很清楚，甚至有小孩捣乱按门铃，好在习惯了随身带着耳塞。', '短评打分': 4}
{'短评内容': '虽然相比较周边其他酒店来说，规模是比较小的，但房间还是很温馨的，值得一提的是沐浴用品是力士的哦，不像大部分酒店用的都是简易包装的。酒店对门就是著名的老外滩，旅游闲暇之余或晚上去逛逛，是很不错的。离天一广场等也是很近的，闲散的走着去也是很好的。是属于比较经济实惠的酒店。 ', '短评打分': 5}
{'短评内容': '酒店装修太久，设备陈旧，房间味道大。', '短评打分': 3}
{'短评内容': '8965486', '短评打分': 5}
{'短评内容': '第二次入住了，价钱实惠，还不错，就是洗手间的部分设施有点残旧', '短评打分': 5}
{'短评内容': '蛮好的，就是有点贵。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '前台的那人的态度非常不好！', '短评打分': 2}
{'短评内容': '因为离外公外婆家近订的，周边交通还算方便，附近饭店也挺多的，但设备很简陋，充电插头很少，希望可以改进。卫生也相对比较差。', '短评打分': 2}
{'短评内容': '价格适中，位置适中，周边方便。', '短评打分': 4}
{'短评内容': '价格适中，位置适中，周边方便。', '短评打分': 4}
{'短评内容': '价格适中，位置适中，周边方便。', '短评打分': 4}
{'短评内容': '价格适中，位置适中，周边方便。', '短评打分': 4}
{'短评内容': '价格适中，位置适中，周边方便。', '短评打分': 4}
