{'短评内容': '1、房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。 ', '短评打分': 5}
{'短评内容': '非常不错哦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店离火车站五分钟路程！坐车很方便！在一个商务楼内，有时候电梯比较难等！酒店一般出差还OK了！早餐一定要改善，住了好几晚，就第一天吃了早餐，后面都是出去吃的羊肉粉！', '短评打分': 4}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '遵义出差基本都住这里！', '短评打分': 5}
{'短评内容': '周围停车不方便，免费停车很划算', '短评打分': 3}
{'短评内容': '免费停车就很划算了', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '每次都是去三月酒店，住着挺舒服的，好评', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '干净，卫生', '短评打分': 5}
{'短评内容': '房间干净，大，床很软，值得一住', '短评打分': 4}
{'短评内容': '一般，在大厦里，电梯难等，比较嘈杂。', '短评打分': 3}
{'短评内容': ' 酒店不错， 到景点很方便，房间很干净。下次还住这里', '短评打分': 5}
{'短评内容': '总的来说还是不错，一分钱一分货嘛，主要是停车要注意沟通，不然的话可能要被收费。', '短评打分': 5}
{'短评内容': '酒店比较新，很干净，很安全，进每个楼层都有刷卡，下次还会选择。', '短评打分': 5}
{'短评内容': '入住后，感觉不错新装修', '短评打分': 3}
{'短评内容': '房间很干净，很好。新装修设施不错,值得一住\n\n--------------------------------------------------------------------------------\n\n\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间很干净，很好。', '短评打分': 3}
{'短评内容': '不错，值得一住', '短评打分': 3}
{'短评内容': '也就一般般，不过在火车站旁边还算干净.。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错，有家的感觉，下次还会选择，喜欢哦                              ', '短评打分': 5}
{'短评内容': '新装修设施不错', '短评打分': 3}
{'短评内容': '酒店在试营业中，不能刷卡，入住当晚竟然停水虽说意外但酒店没有及时通知各住客也没相应的补救措施，令人失望！！由于刚开也房间内还有家具散发出的味道哎~~~~~~~', '短评打分': 1}
