{'短评内容': '早餐品种多，好吃', '短评打分': 5}
{'短评内容': '居然房间里无线网络还没搞好', '短评打分': 5}
{'短评内容': '还可以，就是床有点小', '短评打分': 5}
{'短评内容': '不错', '短评打分': 1}
{'短评内容': '有停车场，附近是风情街，在这洗浴就有房住，我外地来的不知道，后悔了', '短评打分': 3}
{'短评内容': '房间大小适中，设施也较陈旧，床较大，房间物品收费的多，免费的少，无线网不稳，还有出门不方便，要走很远才出门走到马路，有点不方便，早餐还没吃，明天吃过后才补评。', '短评打分': 4}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '挺好的，价格也差不多。', '短评打分': 5}
{'短评内容': '没有跑到温泉，很难受，舒服', '短评打分': 5}
{'短评内容': '不错，很好', '短评打分': 5}
{'短评内容': '入住手续快，房间还可以，有早餐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间干净整洁，服务态度好！', '短评打分': 5}
{'短评内容': '环境舒适，很不错，下次再来！', '短评打分': 5}
{'短评内容': '离房管局很近，晚上也比较安静，可以泡澡', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店很不错，价格公道，环境交通都不错！', '短评打分': 5}
{'短评内容': '常驻，服务很好，水不暖，马桶容易漏水，还有早餐时间尽量调整到9：30，另酒店的电脑只提供给桑拿使用，难道客房就不是客人？特殊情况急用的话建议酒店能够提供这个便利！', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '还可以，床睡着蛮舒服', '短评打分': 3}
{'短评内容': '太一般了，就是一个洗浴中心的客房。', '短评打分': 3}
{'短评内容': '还是晚上十二点以后直接到店好', '短评打分': 5}
{'短评内容': '物有所值，各种条件都比较好。原来在机场附近，很方便，不过现在昆明机场改地方了。酒店条件来说，还是上档次的。', '短评打分': 5}
{'短评内容': '如果仅是过去洗桑拿还是可以的，但是住房那边服务员就真的不敢恭维！那个总台服务员，说明了带着小孩，让加床给妹妹，她就一直不停的让我开两个房间，如果小妹自己住一间可以的话，那我何必让加床？大床房和豪华大床房她说就相差十元，我说那选豪华的吧，各种办理好后，她说豪华大床房加不了床了，让我再开间房。我郁闷。后来也想着带着小孩和妹妹挤着睡，去到楼层，楼层服务员说可以加床，然后就去准备加床。结果等了一小时仍然没', '短评打分': 1}
{'短评内容': '非常不错的宾馆，卫生整洁，服务态度好，上网速度快，楼下的洗浴中心令人赏心悦目。下次到昆明依然是我的首选！', '短评打分': 3}
{'短评内容': '离机场近，卫生和设施条件都还不错，就是周边环境太吵，休息不好，适合赶早班飞机的就近选择一下。', '短评打分': 5}
{'短评内容': '还不错，离机场很近', '短评打分': 3}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '离机场比较近，但是设备有些老化了。但是地理位置对我来说是最大的诱惑了，餐厅不能免辣对于我们北方的有点痛苦', '短评打分': 5}
{'短评内容': '洒店热情，离机场近', '短评打分': 3}
{'短评内容': ' 不错  快捷 实惠  酒店早已经做好准备', '短评打分': 3}
{'短评内容': '酒店价格还可以，主要是去机场方便，设施有些陈旧，去吃早点最好穿拖鞋，不然的话还要穿鞋套，麻烦。', '短评打分': 5}
