{'短评内容': '还可以的酒店，经常住这里，还可以的酒店，住的人比较多，还可以的酒店，经常住这里，还不错的酒店。以后还来住。很好的酒店。', '短评打分': 4}
{'短评内容': '房间较干净，挺喜欢的', '短评打分': 5}
{'短评内容': '地理位置不错', '短评打分': 4}
{'短评内容': '还不错的一家酒店', '短评打分': 5}
{'短评内容': '环境不错，服务态度好，值得入住，很好…', '短评打分': 5}
{'短评内容': '下单后说满了。走过去开就有房', '短评打分': 5}
{'短评内容': '竟然没有房。', '短评打分': 5}
{'短评内容': '&hellip;&hellip;额酒店设施设备比较旧的了&hellip;&hellip;还可以&hellip;&hellip;', '短评打分': 4}
{'短评内容': '生活方便快捷适合入住', '短评打分': 4}
{'短评内容': '生活方便快捷适合入住', '短评打分': 4}
{'短评内容': '生活方便快捷适合入住', '短评打分': 4}
{'短评内容': '生活方便快捷适合入住', '短评打分': 4}
{'短评内容': '生活方便快捷适合入住', '短评打分': 4}
{'短评内容': '还可以，就是白天有开会的，有点吵', '短评打分': 4}
{'短评内容': '啊啊十大沙发啊沙发沙发杀', '短评打分': 5}
{'短评内容': '还可以 就是有点旧 交通还可以', '短评打分': 5}
{'短评内容': 'good position, sufficient facility, nice service and sanitation.', '短评打分': 5}
{'短评内容': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '前台的工作人员态度很好，非常耐心。  房间也很干净，位置还算可以，晚上睡觉不会太吵。  房间的WIFI也很给力，总体而言非常满意。', '短评打分': 5}
{'短评内容': '真的一般，早餐没有办法说了，这就是所谓的商务酒店吗?', '短评打分': 3}
{'短评内容': '吃饭很方便，卫生还行，但早餐是天下最差的早餐，以后不会在住了。同类区的可以选着香柏酒店.', '短评打分': 4}
{'短评内容': '进酒店大门很干净，很明亮，前台和清洁人员都是热清的。房间干净！整洁！大酒店门口有必需品的小店。方便，\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '交通比较方便，还行吧，早餐没地哦。。。。', '短评打分': 1}
{'短评内容': '港湾商务酒店有点吵，其他按价钱来说还可以。', '短评打分': 3}
{'短评内容': '卫生尚可，服务一般，早餐很差,位置很偏，打不到车', '短评打分': 1}
{'短评内容': '离黄埔客运站比较近，很安静，房间也还可以，对面的湾仔的肠粉不错', '短评打分': 5}
{'短评内容': '环境不错，早餐很丰富！附近美食很多！酒店价格还行！', '短评打分': 5}
{'短评内容': '还不错的一家当地酒店，不过不适合旅游推荐，因为离景点较远，而且淡季的话更推荐市区那家五星的，更具性价比。 \n', '短评打分': 5}
{'短评内容': '一家适合出差，或者在附近工作时住宿的酒店。以商务为主。', '短评打分': 5}
{'短评内容': '进门第一眼就感觉很干净整洁，只是我必须。整个房间给人高档舒适的感觉。卫生间十分干净，使人放心使用。总的来说，很不错 要是房价便宜点就更好了', '短评打分': 5}
{'短评内容': '办理手续后，上到房间的楼层，过道大概两人并行就有点狭窄了，进房间后，有一股霉味似的，问起来不太舒服，床上枕头很矮，睡着不太习惯，被子也非常单薄，两人睡上去，就就勉强两个人盖着。洗手间居然没有门，和房间就隔着一道薄薄的链子，洗手间里面什么声响房间都听得一清二楚的。也没有该有的风筒，好在打给客房服务后也送过来了。洗澡，貌似它的洗头液和沐浴露是综合的，就一个盒子挂在墙上，我是没用。洗澡过后，厕所积水积得', '短评打分': 1}
{'短评内容': '  总体还行                                   早餐太差', '短评打分': 5}
{'短评内容': '帮客人订的，他说不错,房间很宽敞。就是位置稍微有点难找。', '短评打分': 5}
{'短评内容': '酒店不错.挺舒适.', '短评打分': 3}
{'短评内容': '5506', '短评打分': 3}
