{'短评内容': '好！不错的风景', '短评打分': 5}
{'短评内容': '替朋友买的，涨价了还没早餐。', '短评打分': 4}
{'短评内容': 'check-in &amp; out 太慢了', '短评打分': 4}
{'短评内容': '酒店内设施非常好！温馨', '短评打分': 5}
{'短评内容': '酒店倍于北角，距地铁港岛线炮台山站直线200米，从地铁站步行至酒店3分钟，交通十分方便。从酒店到尖沙咀中港城码头坐地铁只需5个站大概30分钟；到铜锣湾巴士3个站、地铁只要2站就到，去红磡火车站也是30分钟路程，酒店为标准5星酒店，软硬件都好，重点是免费帮我从高级海景房升级成90平米尊贵海景套房，窗外便是维多利亚港，夜景迷人，没要早餐所以不知味道如何，不过酒店附近也有些便利店、茶餐厅，总体感觉满分 ', '短评打分': 5}
{'短评内容': '無法加床每個床只有1公尺。房間比較小無法睡三個成人。房間很乾淨服務不錯，可以要求大床但是大床只是兩個小床併在一起而已。', '短评打分': 5}
{'短评内容': 'Room to improve. We really are disappointed by the service at the hotel roof top bar. My client and I have drink after a tired day. At the beginning, we sit at the in door. After we have order our dri', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总是订购失败', '短评打分': 5}
{'短评内容': '超级棒，下次去香港还住这家酒店！', '短评打分': 5}
{'短评内容': '酒店很棒 前台态度也超好\n京东可以订也方便很多\n有问题京东客服也第一时间联系了\n满意哦', '短评打分': 5}
{'短评内容': '酒店很棒很欢喜 \n京东现在还可以订酒店发现了之后就马上订了\n超方便哦\n有问题客服也第一时间联系了\n棒棒哒', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店很不错，环境好，风景也好，价格也不错，相对于其他酒店性价比更高，离地铁也近，出行方便', '短评打分': 5}
{'短评内容': '非常好的酒店，十分满意！', '短评打分': 5}
{'短评内容': '酒店还可以，就是房间太小了，进了房就没了星级酒店的感觉', '短评打分': 5}
{'短评内容': '挺好的，还可以！！！！', '短评打分': 5}
{'短评内容': '挺好的酒店！不错', '短评打分': 5}
{'短评内容': '非常好！下次还定这边！', '短评打分': 5}
{'短评内容': '很漂亮的海景房。房间很大，里面设施齐全，比较干净，价格不贵。下了地铁走100米就到了酒店，很方便。', '短评打分': 5}
{'短评内容': '很棒的体验。京东，值得信赖！', '短评打分': 5}
{'短评内容': '能看到维多利亚港，旁边几幢大楼在施工影响观景', '短评打分': 5}
{'短评内容': '京东酒店做的还不错，但是推广不够，偶然才知道，希望多宣传，多做活动。', '短评打分': 5}
{'短评内容': '房间不错，但是开始安排的时候给我安排到了，正对工地的房间，我们起的会很晚，严重影响啊，不知道酒店是否这样安排外国人，很郁闷，在我强烈要求下更换了', '短评打分': 5}
{'短评内容': '大堂气派', '短评打分': 5}
{'短评内容': '乾淨且 方便 離地鐵近', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '超正', '短评打分': 5}
{'短评内容': '酒店就在炮台山A出口500米，很安静，旁边有早餐，超市非常方便', '短评打分': 5}
{'短评内容': '不错，好评', '短评打分': 5}
{'短评内容': '不错，好评', '短评打分': 5}
{'短评内容': '不错，每次都是住这家', '短评打分': 5}
{'短评内容': '不错，交通方便，住过多次了。很喜欢，西楼对着维港，高层风景好。', '短评打分': 5}
{'短评内容': '价格高点', '短评打分': 4}
{'短评内容': '还行，价格稍微高', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': 'good hotel!good hotel!good hotel!good hotel!good hotel!', '短评打分': 5}
{'短评内容': '酒店位置在香港来说不是太好，价格有点贵周围环境不是太好！交通还算方便！房间有点旧！', '短评打分': 5}
{'短评内容': '环境位置都很不错,服务也很好，下次还会选择。', '短评打分': 5}
{'短评内容': '非常好的酒店，环境和服务都是一流的，特别是西北侧海景房是无敌的维多利亚湾海景，非常超值。有机会还会入住。', '短评打分': 5}
{'短评内容': '环境很好！\n服务一般，楼顶的酒吧菜单没有中文，这点比较讨厌！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '服务好。位置方便，紧邻地铁站。旁边是商业区和居民区。房间不大', '短评打分': 5}
{'短评内容': '挨着地铁站，交通还算方便，房间不大，服务很贴心', '短评打分': 5}
{'短评内容': '房间不是很大，酒店服务很贴心。地方离地铁站很近', '短评打分': 5}
{'短评内容': '环境不错，交通便利，服务态度好，价格合理。', '短评打分': 5}
{'短评内容': '环境不错,价格适中,服务态度好,交通便利。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比较高', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '酒店位置很方便，服务也不错。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务也很好，性价比还不错，位置也很好距离地铁口很近，出行交通也很方便，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '酒店很不错，维多利亚的海景尽收眼底，服务也很好，下次会继续住。', '短评打分': 3}
{'短评内容': '很好的酒店，下次还订这个酒店', '短评打分': 5}
{'短评内容': '新开的五星级酒店，位置还可以，不过里面房间太多了，每间房间都很小，而且不隔音，半夜三更的老是能听到别人说话打电话。前台小姐说给我们免费升级豪华间，还挺美，结果一看蛮不是那么回事，这个豪华间除了大门还有个偏门跟别的房间连上的，我估计全打开就是豪华间了。可以看到海，早饭还不错。', '短评打分': 1}
{'短评内容': '总的来说，酒店的硬件设施还不错。但位置就差强人意了，尤其是对于购物的人来说。虽然旁边就是地铁站，但毕竟还是要走过几个街口。距离主要的购物区，虽然有地铁相连，但如果大袋小袋的话，真的不是很方便。所以入住了一个晚上，就换到了海港城的马可波罗，港威。虽然设施老了一点，但买东西真的是太方便了，随时可以把手里的袋子扔回酒店，然后轻装上阵。呵呵。另外尖沙咀吃东西也很方便，有各式的餐馆。不过还是推荐一下新港中心', '短评打分': 1}
{'短评内容': '在港很难找到的大房间,交通很方便,性价比很高,就是海景没有想像的美', '短评打分': 5}
{'短评内容': '酒店很好，环境好，位置好，条件好，交通方便，服务热情\r\n\r\n下次去准备还住那', '短评打分': 3}
{'短评内容': '位置很好，靠近地铁口，拥有无敌海景，卫生环境很好，床很舒适', '短评打分': 5}
{'短评内容': '酒店就是价格稍微高了一点，硬件条件，服务态度都是非常不错的，位置也很好，如果价格能在1000以内，我觉得是比较不错的。', '短评打分': 3}
