{'短评内容': '酒店服务不错', '短评打分': 5}
{'短评内容': '空调机太吵', '短评打分': 5}
{'短评内容': '刚刚进来有烟味，好算整洁', '短评打分': 4}
{'短评内容': '酒店性价比较高，环境也不错。服务员态度非常的好！出行吃饭都很方便，值得推荐，下次还会入住！感觉很满意！', '短评打分': 5}
{'短评内容': '性价比很高 位置离大公馆酒店很近 就这个价格来说 房间设施和卫生符合期待值 ', '短评打分': 4}
{'短评内容': '没停车位  路边较吵', '短评打分': 3}
{'短评内容': '酒店整体感觉都不错，值这么个价', '短评打分': 5}
{'短评内容': 'Was ok but need improvement ', '短评打分': 3}
{'短评内容': '酒店设施一般，无早餐。基本无服务。但价格便宜，地理位置较好，附近小饭店多', '短评打分': 2}
{'短评内容': '真是物超所值，房间非常大，非常宽敞。 酒店环境也不错！', '短评打分': 3}
{'短评内容': '还不错，性价比挺高的', '短评打分': 4}
{'短评内容': '环境还行，但我感觉还是有点小贵！', '短评打分': 5}
{'短评内容': '酒店总体值得再次入住：\n1、酒店设施简单明快，虽不豪华但给人感觉很好，尤其是标间非常宽敞；\n2、酒店周边环境非常安静；\n3、酒店老板非常朴素，忠厚；', '短评打分': 5}
{'短评内容': '酒店装修程度比较新，离西山公园一站路的距离，周边没什么吃饭的地方，商场也没有，需要坐车出去，但门口有公交车到市中心和火车站，晚上很安静，', '短评打分': 1}
