{'短评内容': '酒店位置不错，房间挺大，还有洗衣机，很方便！', '短评打分': 5}
{'短评内容': '网络不稳定', '短评打分': 3}
{'短评内容': '1. 隐蔽，真的狠隐蔽，楼下保安都不知道这家酒店；\n2. 跟民宅的设施差不多，可以自带锅做饭，适合常驻人员，这是我推荐的理由；\n3. 睡眠不好的不推荐，旁边是工地，很吵。', '短评打分': 5}
{'短评内容': '舒适，价格合理........................', '短评打分': 5}
{'短评内容': '实惠、方便！', '短评打分': 3}
{'短评内容': '家一样的感觉，坐在木地板上看电视很舒服，离会展中心又近，推荐！就是难找一点！', '短评打分': 5}
{'短评内容': '酒店很难找，而且信用卡担保，下定后还不能退！', '短评打分': 1}
{'短评内容': '就在深圳住宿而言，性价比还凑合，只是服务人员显得不太专业。', '短评打分': 5}
{'短评内容': '地点方便，房间还可以，可是服务只一般，卫生也就一般，没有什么值得推荐的。', '短评打分': 5}
{'短评内容': '公寓还不错，房间也够大，就是不好找，大楼外面没有招牌。', '短评打分': 5}
{'短评内容': '酒店实在是太差了，那床硬死人，以后再也不会来住了', '短评打分': 3}
