{'短评内容': '很舒适，很干净，很赞哦', '短评打分': 5}
{'短评内容': '很卫生整洁，位置靠近六号线民生路，比较安静。距离东方明珠和世纪公园都不远，骑自行车20分钟左右也就到了', '短评打分': 5}
{'短评内容': '酒店的位置还是很方便的，靠近6号线，，走400米，早餐简单营养，味道还行，比较干净卫生，服务员态度不错', '短评打分': 5}
{'短评内容': '位置很好出门办事很方便', '短评打分': 4}
{'短评内容': '早餐一般，餐厅位置少，希望加强！酒店位置倒还可以，离最近的地铁站也就七八分钟的路程，当然要打车的话，尽量提前约车，不然等好久~', '短评打分': 3}
{'短评内容': '还不错，空间大小孩可以', '短评打分': 5}
{'短评内容': '好，很好，非常好。。。。。。', '短评打分': 5}
{'短评内容': '整体不错，经常出游，最喜欢汉庭。', '短评打分': 4}
{'短评内容': '很fangbian', '短评打分': 5}
{'短评内容': '还可以。服务态度不错，地理位置好找。自驾，没有免费停车场', '短评打分': 4}
{'短评内容': '离地铁口300米远，周围有餐馆，小吃。', '短评打分': 4}
{'短评内容': '环境还不错 服务还算周到 卫生条件还算满意', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '老电视.....卫生还行，房间不是很大....总的来说还可以，位子不属于闹区', '短评打分': 4}
{'短评内容': '我订的是商务大床房，房间真的很大，简单干净，只是电视机还是老式的，有点欠缺，其他都很好！', '短评打分': 5}
{'短评内容': '环境不错，离东方明珠比较近', '短评打分': 5}
