{'短评内容': '房内整洁 卫生间干净 网速可\n交通便利 早餐一般 此价位酒店性价比可 推荐\n', '短评打分': 5}
{'短评内容': '酒店比较干净，虽然在路边，但是关起窗还是安静的。房间比较小，但五脏俱全，可惜没有wifi。', '短评打分': 5}
{'短评内容': '很棒~整体感觉不错，非常好很棒~整体感觉不错，非常好很棒~整体感觉不错，非常好', '短评打分': 5}
{'短评内容': '很舒适，已经住了好几次了，而且性价比很高。', '短评打分': 5}
{'短评内容': '不错的地段，环境还可以，价格优势！可以再次入住', '短评打分': 5}
{'短评内容': '位置不错，房间好像比图片小点，不过环境还好', '短评打分': 5}
{'短评内容': '终于睡的舒服了，， 床，被子很干净。\n酒店整体不错，睡的香呀 ，\n 下次来成都还住这里，（附近就是待开通的地铁，呵呵）', '短评打分': 5}
{'短评内容': '交通方便 就在医院对面 卫生干净 不足在于洗手间较大，占用了房间较大的空间', '短评打分': 5}
{'短评内容': '单人间很大，热水给力，交通便利，总体来说很不错。只是晚上经常会有骚扰电话，希望可以改善一下', '短评打分': 5}
{'短评内容': '还不错。几分钟就立即入住了。服务态度不错，让拿电吹风，很快就送过来了。交通挺方便。', '短评打分': 5}
{'短评内容': '房间虽小，但设施齐全，服务态度好。唯一不足夜间两次被其它房间开错门闹醒。', '短评打分': 3}
{'短评内容': '成都万里客酒店（青羊店），非常不错。房间虽然不大，但是干净整洁。周围虽临街，但噪音并不明显。定的单间大床房，住了5晚，很舒适。价格实惠。推荐！', '短评打分': 5}
{'短评内容': '房间比较干净，还不错。物有所值', '短评打分': 3}
{'短评内容': '酒店环境很干净，满意', '短评打分': 3}
{'短评内容': '整体还不错，比较安静，地理位置也很好，干净整洁，给个好评~~~~下次去附近还会选择住那里，离青羊宫之类的景点较近。价格到是值，就是希望房间角落下留个小射灯吧，晚上起来也方便点，早餐就不说了，反正免费早餐也没啥特别期待的~', '短评打分': 5}
{'短评内容': '地理位置不错，环境都很好，就是没有叫车服务，在大厅看见有这个服务，但是前台说没有，不过出门打车还是方便些，推荐', '短评打分': 5}
{'短评内容': '房间虽小，但是很整洁干净。下次去还会入住该酒店。', '短评打分': 5}
{'短评内容': '入住环境不错，周边景点很多也较为方便，只是附近好吃的不多，需乘公交去吃，总体还是很满意', '短评打分': 3}
{'短评内容': '酒店位置不错，房间很卫生 整洁，标间区域比较安静。', '短评打分': 5}
{'短评内容': '一般，就是中规中矩的酒店！房间有点小！临街有点吵！', '短评打分': 5}
{'短评内容': '还不错。只是有点吵lllllllllllllllllllllll', '短评打分': 5}
{'短评内容': '物美价廉，总体还满意，水也很大，就是洗澡水一会热一会泠。值得推荐。\n', '短评打分': 3}
{'短评内容': '房间不错，地理位置明显，交通方便。只是五楼客房门不够密封，可以感觉有风涌入。', '短评打分': 3}
{'短评内容': '环境不错，房间挺干净', '短评打分': 3}
{'短评内容': '酒店干净卫生~居住舒适~', '短评打分': 3}
{'短评内容': '酒店卫生，可以', '短评打分': 3}
{'短评内容': ' 价格还可以。。', '短评打分': 3}
{'短评内容': '很不错的一家酒店，房间比较小，价位适中，卫生条件很不错，服务业比较好。步行到青羊宫和宽窄巷子都不算远，可以来住哦。', '短评打分': 5}
{'短评内容': '开始卫生挺好，住的时间一长卫生就不太好了', '短评打分': 5}
{'短评内容': '我们已经入住酒店，房间很可以，干净，宽敞明亮，以后还来住。', '短评打分': 3}
{'短评内容': '感觉地理位置还行，但是酒店的服务差了点，床单什么的不是特别干净，不是很让我满意', '短评打分': 5}
{'短评内容': '交通挺方便的，就是网络不好！！！！！！！！！！！！！！！！！！！！！！！！1111111', '短评打分': 5}
{'短评内容': '总的说来不错  卫生  整洁 只是空间稍微有点狭窄', '短评打分': 5}
{'短评内容': '还好，交通便利，挺方便的，物超所值哦，以后还会来的 ', '短评打分': 5}
{'短评内容': '优点是:位置较方便,床很软,棉被较厚,很温暖.缺点是:太闹,不适应闹环境的人可能会睡不着觉.房间偏小,靠在床背上床会往前滑动,可能因为是地板砖所以很滑吧.总之,小小的,价格也合理吧..', '短评打分': 5}
{'短评内容': '距离宽窄巷子步行10分钟左右，公交车很多，出行很方便。店内卫生、服务俱佳，房间不大但功能充分，我们订5个房间，领导很满意。', '短评打分': 5}
{'短评内容': '很好，干净，整洁，价格不贵，在市中心很方便。早餐很一般，电视可选台不多。', '短评打分': 5}
{'短评内容': '超值的酒店, 酒店设施很新. 还有早餐,真的非常不错! 就是靠近十字路口, 晚上有点吵, 您可以让前台服务员安排靠里的位置! ', '短评打分': 5}
{'短评内容': '总体还不错的，给人的感觉是小家碧玉型，整洁有序。不过有点吵，早餐也很一般。', '短评打分': 3}
{'短评内容': '一般，就是中规中矩的酒店！房间有点小！临街有点吵！', '短评打分': 5}
{'短评内容': '不错 性价比高 不错 性价比高 不错 性价比高', '短评打分': 5}
{'短评内容': '住得还不错，就是早餐差了点，再就是离新南门还是有点距离的', '短评打分': 5}
{'短评内容': '比较方便。还可以。。。干净，设施较新~~~~~离青羊宫近，晚上门口的烧烤还可以哟', '短评打分': 5}
{'短评内容': '服务态度很好，房子大小也不错。唯一有个问题就是卫生间地面很滑，容易摔倒。希望以后能越来越好', '短评打分': 5}
{'短评内容': '网上订房间价格非常划算，地段好，环境好，很卫生，总之就是物超所值！', '短评打分': 5}
{'短评内容': '很好，很干净，性价比很高，离宽窄巷子只有10来分钟路程，下次去还会选择住那里！', '短评打分': 5}
{'短评内容': '交通方便，设施还不错。、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '交通位置十分便利，去各大景点都十分方便，房间比较干净，就是空间小了点，隔音效果一般，一般情况下不会影响休息……半夜有特别服务的电话准时响起……早餐质量很一般，种类相当少，不过是免费的夜就不说什么了，好在门口有很多小吃店，还算物美价廉吧……', '短评打分': 5}
{'短评内容': '态度很好！环境不错！离青羊宫、琴台路较近！推荐入住！', '短评打分': 5}
{'短评内容': '酒店不错，推荐，要是服务再好点就更完美了！', '短评打分': 5}
{'短评内容': '酒店位置还可以，新装修，24小时热水，就是有点吵！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境幽静，房间干净。很满意', '短评打分': 3}
