{'短评内容': '安静的房间通风稍微差，通风好的对街上，会比较吵，一般般吧，价位毕竟在这里。', '短评打分': 4}
{'短评内容': '出差短住比较舒适', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '经济实惠，性价比高，体验好，服务好，很周到，热情礼貌好，环境好，网络好，客房干净，楼道整洁，热水给力，洗澡水温度很好，地理位置优越，地段好，去哪都方便，房间地板干净明亮很好，住的非常舒服，很好的一次入住体验，希望下次还有机会入住，非常值得推荐，方便快捷，被套舒适，床单非常舒适，地板好，大堂明亮视觉好，各种好，什么都好，强烈推荐，非常好，为他们点赞，棒', '短评打分': 5}
{'短评内容': '真心不错，值得推荐，很良心的卖家。', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '遇上了一件无可奈何的事情', '短评打分': 3}
{'短评内容': 'Good！Have restarants besides.Easy to locate and price is fair.', '短评打分': 4}
{'短评内容': '比较一般，被子好薄，冻死了，空调不管用', '短评打分': 3}
{'短评内容': '入住2天，交通和饮食都比较方便，距离长沙火车南站比较近，房间卫生状况良好，电视为网络电视，节目较多，WiFi信号很好。', '短评打分': 5}
{'短评内容': '环境不错 白天由于临近马路有点吵 晚上还好 下面很多夜市摊 还有一家很好吃的湘菜馆', '短评打分': 5}
{'短评内容': '卫生条件不错 房间稍小 卫生间较大 出行方便', '短评打分': 5}
