{'短评内容': '一', '短评打分': 3}
{'短评内容': '好很好', '短评打分': 5}
{'短评内容': '很好非常好，', '短评打分': 5}
{'短评内容': '环境很好很安静，房间设施比较齐全，遗憾的是没有一次性拖鞋', '短评打分': 5}
{'短评内容': '都还不错，蛮好的', '短评打分': 5}
{'短评内容': '酒店位置不错，离地铁3号线常府街站很近，走路5分钟，周边吃饭方便，酒店房间较小，设施老了些，但到夫子庙、总统府和新街口商业圈都比较方便，走路即可。', '短评打分': 3}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '讲道理。。。不该贪小便宜。。价格是不贵。就是卫生啊环境啊都不是很好', '短评打分': 3}
{'短评内容': '一颗星也不想给 屋里的空调遥控器感觉放了上千年 房间感觉很脏 然后到店态度也不好 不会再去了', '短评打分': 1}
{'短评内容': '主要是为了去八一医院看病给父母订的，宾馆位置离医院很近，但就是房间没有窗户，且卫生间总是有股味道，环境一般！', '短评打分': 3}
{'短评内容': '地段好 服务态度不错 房间干净安静 价格实惠 来新街口都住这了。', '短评打分': 5}
{'短评内容': '房间干净，离新街口不远，只是没有一次性拖鞋', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '老样子，不错', '短评打分': 5}
{'短评内容': '适合朋友一起住，省钱价格适合，卫生状况可以接受，非常适合想出去穷游的朋友。。', '短评打分': 4}
