{'短评内容': '第一次住这么棒的这么便宜的酒店', '短评打分': 5}
{'短评内容': '很好，价格便宜', '短评打分': 5}
{'短评内容': '不错，早餐挺好！', '短评打分': 5}
{'短评内容': '我后来换了房间，加了29，感觉还可以吧', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '干净卫生，早饭不错', '短评打分': 5}
{'短评内容': '继续努力', '短评打分': 4}
{'短评内容': '周边比较混乱，停车很麻烦，酒店里面还好，比较干净，就是房屋再清扫不够干净。', '短评打分': 4}
{'短评内容': '体验很差的一次入住，不推荐。 首先，被名字给骗了，听到大酒店感觉至少也是三星以上的水平呀，去了发现酒店环境和服务跟招待所相当。其次，所谓的套房靠近马路，噪声很大，马路上汽车的声音听的一清二楚。再次，连起码的矿泉水也是收费的。最后，现场不出发票，折腾了半天邮寄还是到付！最可气的是退房之前我确认是否可以开发票，前台回答是可以，到退房时说没发票纸了。', '短评打分': 1}
{'短评内容': '性价比高，交通方便，房间够大，视野开阔，非常适合商务出差和休闲娱乐，下次如果去良渚，还会接着订那儿的房间', '短评打分': 4}
{'短评内容': '一般，早餐不错，但是离店的时候，一股装修的味道很臭，整个楼道都是。离良渚文化村比较远。酒店边上就有餐饮店，挺方便的', '短评打分': 3}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '不错，价廉物美', '短评打分': 5}
{'短评内容': '不错，价廉物美', '短评打分': 4}
{'短评内容': '比较传统的酒店，墙都是实体的，隔音效果还可以，良渚镇上已经算很不错了。', '短评打分': 3}
{'短评内容': '经济实惠，感觉比商务酒店干净，门口停车场方便', '短评打分': 5}
{'短评内容': '春节时候去的，没什么特色，只能说还可以把。', '短评打分': 1}
