{'短评内容': '不错的进择', '短评打分': 5}
{'短评内容': '早餐18元，较为简单，离几个政府部门不远办事方便。旁边就是饭店，吃饭方便。房间啥的也都行。', '短评打分': 5}
{'短评内容': '感觉酒店的毛巾和浴巾很脏，也可能是用的时间太长了。420的空调就是坏了，那个维修的人在房间里呆到十一点，最后说是因为房间的温度高于30℃所以空调暖风吹不起来，真的是很烦人，想换房维修的人还说没用都一样的，可是早上问别人的房间就没有。很无语', '短评打分': 5}
{'短评内容': '整体还是不错的', '短评打分': 4}
{'短评内容': '赶上了石家庄停水，电梯不能用，房间开始还给错了，换的房间在最顶头，味道难闻还有不明声响，住宿效果不佳，下次果断要换了。', '短评打分': 3}
{'短评内容': '房间特别小，设施陈旧，价格不便宜，服务员一直在抱怨网上订单，称没多少单子还特别麻烦。', '短评打分': 1}
{'短评内容': '收费太不透明乱定价宰客 服务员态度太差 房间太不卫生 ', '短评打分': 1}
{'短评内容': '住了很多次了，交通方便，价格合理，房间大小紧凑合适，原意再次入住。', '短评打分': 3}
{'短评内容': '很多次来石家庄都住本店，价格实惠，交通方便，服务周到。房间可选的类型很齐全，一如既往的好哇。早餐15元，很实在，喜欢吃这个店的早餐。', '短评打分': 3}
{'短评内容': '总体来说还是不错的 只是设备比较老化 房间不大 但是对于出差来说 入住这家酒店还算不错', '短评打分': 4}
{'短评内容': '地理位置好，距离办事的单位近。酒店价格比较合理，早餐好吃，交通方便。还有返现，不错。', '短评打分': 3}
{'短评内容': '厕所没有为什么纸没有饮用水其他还好', '短评打分': 3}
{'短评内容': '标准间还可以吧，交通也方便，餐厅还不错。下次会再入住的。', '短评打分': 5}
{'短评内容': '5层单间有点小，各位如果晚上回的晚，不上网，倒可以入住。', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '服务很好 房间也很整洁 算是物有所值的。', '短评打分': 5}
{'短评内容': '住宿条件还不错，交通比较方便。值得去住。。。推荐', '短评打分': 5}
{'短评内容': '设施陈旧、餐厅接待能力有限、没有停车的地方', '短评打分': 1}
{'短评内容': '酒店环境好！网速挺快！服务员态度蛮好！晚上还送小水果。可能是住的天数较多的原因吧！不过挺喜欢的，下次还来！', '短评打分': 5}
{'短评内容': '酒店环境不错，位置离北站近。吃饭倒是蛮方便的！', '短评打分': 5}
{'短评内容': '环境还好，就是卫生间有异味', '短评打分': 3}
{'短评内容': '挺好的，建议商务 住宿使用，早饭有时候不太好，东西少', '短评打分': 5}
{'短评内容': '整体环境 挺好的，适合出差居住。商务 性比较好。', '短评打分': 5}
{'短评内容': '酒店总体性价比较高，但是晚上经常有骚扰电话，入住请注意晚上讲电话线拔掉', '短评打分': 5}
{'短评内容': '酒店卫生太差  毛巾都成黑色的了  什么都没有下次打死也不住了', '短评打分': 3}
{'短评内容': '性价比可以，可以推荐                                                    。', '短评打分': 5}
{'短评内容': '价位便宜，交通方便', '短评打分': 3}
