{'短评内容': '还行，就是设施有点老', '短评打分': 4}
{'短评内容': '各方面都一般，对于旅游来说还不错，出行还是方便的。', '短评打分': 4}
{'短评内容': '网上购买只含早点。室内环境还好。', '短评打分': 4}
{'短评内容': '性价比好高，早餐相当赞，值得一住。', '短评打分': 5}
{'短评内容': '良', '短评打分': 4}
{'短评内容': '位置不错，无需排队，美味佳肴，服务恰好。', '短评打分': 3}
{'短评内容': '40元押金不退，我有意见！太黑了', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'h', '短评打分': 5}
{'短评内容': '酒店环境、设施一般、但服务还可以。', '短评打分': 3}
{'短评内容': '很好的一家酒店，环境不错，还提供两餐，外出有车送，方便。下次到昆明还是住这儿。', '短评打分': 5}
{'短评内容': '地点比较偏，但很幽静，市内办事可以请酒店的车送，收费20元。', '短评打分': 5}
{'短评内容': '酒店的餐饮十分有特色，菜色的味道很好，管早中晚三餐的饭，很好，很强大！', '短评打分': 5}
{'短评内容': '1、没有免费去机场接机服务，接机需要收费并且没有发票。\n2、服务人员态度太差。\n3、房间很差，连椅子都是坏的。\n4、酒店自助餐也相当不好', '短评打分': 1}
{'短评内容': '服务很好，房间还大，比较人性化，停车也方便，推！', '短评打分': 5}
{'短评内容': '很实惠的一家酒店，尤其是当你带着老人和孩子一起来，最好住这家有特出特色的酒店，他们的几个特色承诺是其他酒店无法比的……房间明亮，卫生间干净，床够大，服务95分，很勤快，但不爱打招呼……吃的一般，但方便，实惠，其实在外面人生地不熟的也吃不到什么顺口的，这里就可以了，（原三餐免费，现改成两餐了）……用车还是可以的，合理的价格，出行还是很方便的，回北京推荐给来昆明的朋友，在这里再说一句，谢谢了，海狮的各', '短评打分': 5}
{'短评内容': '总的来说还是不错的大堂装修餐厅装修什么的都不错，房间有点旧，床很舒服很软', '短评打分': 3}
{'短评内容': '该酒店的性价比较高，特别是一些附加值服务令人满意，例如：免费接机，每天可享受一次仅付20元的用车服务，每天赠送100元餐券（2人够吃两顿了）、24小时的供餐服务。其不足之处在于：地理位置不太好，周边没什么可逛的；房间的热水温度不高，洗澡不太方便；冬天房间还有蚊子，可能是从窗户的空调孔钻进来的；服务员有点凶，应继续加强培训。不过总体感觉还不错。', '短评打分': 5}
