{'短评内容': '总体感觉还可以！', '短评打分': 3}
{'短评内容': '性价比高！', '短评打分': 4}
{'短评内容': '第三次入住，位置便捷，房间干净', '短评打分': 5}
{'短评内容': '六点性价比很高，调到了地上四楼的房间，干净整洁，安静，客服热情，我落下了床单，帮我快递回来，感谢，下次还会入住', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店位置很不错，离簋街近，很方便的', '短评打分': 5}
{'短评内容': '酒店位置处于胡同内，矮层建筑，北京范十足。酒店内干净卫生舒适、装修风格也不错，很愉快的一次旅行', '短评打分': 5}
{'短评内容': '位置很好，交通方便，就是二楼双人间太小', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '在北京出差，然后在携程上看有没有离目的地比较近的近的酒店，然后就看评论及评价选择了这家。价格方面的话，比较适中。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店位置基本在2换以内地铁旁，吃饭和出去玩都很方便，也很安静，就是酒店房间有点小，其他的都很不错。', '短评打分': 5}
{'短评内容': '最喜欢住这里 出入方便 吃饭也很方便 有我喜欢吃的东西 干净 喜欢零压大床 不是因为太远 去北京这里肯定是首选住的地方', '短评打分': 5}
{'短评内容': '地下室的房间不好，其他楼层还好，周边都是老巷子，旅游的话可以住', '短评打分': 4}
{'短评内容': '各方面都不错，性价比很高，唯一一点：隔音效果不太好，旁边不知道哪个房间半夜嘿咻，传来不雅声音，影响了睡眠。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这个价格挺实惠的，出门交通也很方便，希望旺季时也是这个价格，好评', '短评打分': 5}
{'短评内容': '离地铁很近,如店家所述,设施及卫生都不错,位置也好找.隔壁就是一部队,挺有安全感!', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店很好，只是有下水道异味，这个需要解决', '短评打分': 5}
{'短评内容': '挺好的，位置不错，交通方便，下次还去住', '短评打分': 4}
{'短评内容': '酒店服务蛮好的', '短评打分': 5}
{'短评内容': '地点很方便  尤其是要去南锣鼓巷的朋友  \n缺点是 有点潮湿 ', '短评打分': 5}
{'短评内容': '位置离车站近位置离车站近位置离车站近位置离车站近', '短评打分': 5}
{'短评内容': '这地方真不太行', '短评打分': 3}
{'短评内容': '唐府酒店府学胡同店交通便捷，周边商铺较多，进餐购物方便，客服服务比较满意。', '短评打分': 3}
{'短评内容': '很一般，半地下室，空气潮湿的很厉害，还有一股味道', '短评打分': 1}
{'短评内容': '位置很好，旅游居住很适合，地铁很近去那里都方便，附近小吃店水果店都有，酒店服务也耐心周到，下次去还会住那里，只是不推荐住半地下室的房间，很潮~', '短评打分': 5}
{'短评内容': '环境和卫生都不错，服务员态度也不错，床和被子等还行的，呵呵，推荐', '短评打分': 5}
{'短评内容': '交通相当便利！！！就是潮，总的来说还是不错的。周围有军队，安全~', '短评打分': 5}
{'短评内容': '酒店前台服务态度非常差, 下午2点半到酒店还是没有房间,等了半个小时,说在修电视.在地下一楼的房间, 里面有虫,很潮湿. 网络也搜素不到.', '短评打分': 1}
{'短评内容': '半地下……，地板太破了，服务态度也一般；老板不会说话（男的那个小伙子）！', '短评打分': 1}
{'短评内容': '不错 经济划算  就是地下室实在是太潮了', '短评打分': 5}
{'短评内容': '房小、旧，吹风筒具酒店说只有一个。空调好脏，水壶多垢。无线网具说这两天坏了!', '短评打分': 3}
{'短评内容': '还挺好，靠近部队，绝对的安全！地点也好，靠近东直门内大街，美食啊！！！！卫生不错挺干净！\n就是卫生间/房间小了点，不知有没有大点的，问问吧！\n\n总之旅游可以，要是商务人士，直接北京饭店吧！', '短评打分': 5}
{'短评内容': '价格具有明显的优势，地理位置也很方便，服务一般。', '短评打分': 5}
{'短评内容': '房间小，厕所洗漱间更小，空调不好用，一会儿转一会儿不转的，也不提供早餐，交房时间12点，其他地方都2点，五分的话勉强3分吧', '短评打分': 3}
{'短评内容': '酒店位置很好,很方便,服务也不错', '短评打分': 3}
{'短评内容': '地理位置稍微有点偏僻，屋子空间有点小。性价比一般，基本满意。', '短评打分': 5}
{'短评内容': '位置不错，适合旅游时居住，地点非常好。位置不错，适合旅游时居住，地点非常好', '短评打分': 5}
{'短评内容': '挺好的，有无线网络，免费停车，离鬼街也近，周围都很方便，就在胡同口', '短评打分': 3}
{'短评内容': '位置不错，离地铁站很近，从张自忠站西北口出来，问府学胡同1号就很容易找到了。如果是去旅行的话，上哪儿都方便。。宾馆外超市和饭馆很多，买生活用品、水果和吃饭都不成问题。。。房间不大，干净整洁，木有某些宾馆所特有的下水道的味道。。我个人三晚都睡得很好。。。最贴心的服务是退房之后任能寄存包裹，这让赶晚班机的我们又能方便的玩上大半天。。实话实说，唯一美中不足的是热水，有时候很丰富，有时候很稀少，望改进。。', '短评打分': 5}
{'短评内容': '半地下房间还可以，没有异味', '短评打分': 3}
{'短评内容': ' 破旧', '短评打分': 3}
{'短评内容': '很不错的，很满意。离地特五号线很近。周边也不错，那家的烤鸭尤其不错。哈哈哈，玩的很开心', '短评打分': 5}
{'短评内容': '设施陈旧，床也不舒服，电视也没几个台，中间还找师傅来修过一次', '短评打分': 1}
{'短评内容': '不错，距鼓楼，后海都挺近，步行就可以到', '短评打分': 3}
{'短评内容': '前台服务态度很赞，很有耐心。可以先看房，不满意还可以再更换房间，不过地下的房间味道比较重', '短评打分': 5}
{'短评内容': '不少，靠地铁，方便，环境好。服务可以，就是热水不是恒压的，', '短评打分': 5}
{'短评内容': '一楼就是地下，卫生一般般，就是离地铁近点。', '短评打分': 3}
{'短评内容': '屋内设施较旧，有暖气，能上网，洗澡水好趟，隔张自忠地铁站较近，房个价特B为半地下室。酒店位置还可以。\n我定了4天房，刚住一天，在亿龙网上就显示我结账了。', '短评打分': 5}
{'短评内容': '酒店说没我的预定信息？另外，贵网站的消费券如何使用？怎么反现？', '短评打分': 3}
{'短评内容': '老宾馆，设备有些陈旧，住的标间。空间有些小了。', '短评打分': 3}
{'短评内容': '最大的优点是距离电铁站近，其余的缺点就只能客服了。确实厕所浴室在一起，将就。暖气早上会被冻醒，空调没用，我们是大年初4到初8入住四天。有个前台态度希望能改进下，大家是出钱进来入住的，不是要态度多么多么好，只是希望能像常人一样就行，别一副买牛肉的脸，人家又没欠你钱。', '短评打分': 5}
{'短评内容': '服务态度相当好，住房整体环境设施还不错，简单舒适！地理位置也还不错，交通便利，公交车站及地铁站附近都有，在北京旅游出行挺方便！', '短评打分': 5}
{'短评内容': '环境一般，严格说不算酒店，说是招待所比较贴切。不好找！', '短评打分': 1}
{'短评内容': '房间一般门是坏的', '短评打分': 3}
{'短评内容': '这个位置这个价格相当实惠，房间一般般吧，要求很高的人不推荐，住一晚第二天就走那种还是很适合的，离地铁站也很近', '短评打分': 5}
{'短评内容': ' 房间还可以 就是有点潮湿的味道', '短评打分': 3}
{'短评内容': '虽说是特价房 但是也太差劲了吧 我把房间图片上传了。大家看一看。房间里一股子霉味。脏、乱、差。如果把特价房的图片展示出来 。别说特价了。就是免费也没法住啊。', '短评打分': 1}
{'短评内容': '住的是三人间，地面不是很干净，热水器也不好用换了一个，不过前台和服务员态度还是不错的。', '短评打分': 5}
{'短评内容': '住了2晚半地下室房间，2晚标间，房间格局都差不错，只是半地下室只有半扇窗。房间放下2张床，1个电视机后非常狭小，浴室没有浴帘，整个厕所洗完澡后都湿湿的。冬天可以开空调、暖气，不冷。优点是交通非常便利，出门没几步就是地铁5号线，马路对面也有许多吃的。', '短评打分': 5}
{'短评内容': '酒店的硬件条件还是比较差的，就是离地铁站近点，要不然就不住这了。', '短评打分': 1}
{'短评内容': '该店位置不错，距离地铁口较近，附近小吃挺多，只是车辆进出不太方便；服务态度非常好，赞一个。房间内暖气好。\n硬件设施一般，需要提高。', '短评打分': 5}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '交通方便，环境还可以，服务态度较好！\n交通方便，环境还可以，服务态度较好！', '短评打分': 5}
{'短评内容': '嗯。非常满意。我一定推荐我的朋友住这里。干净价格合理。我已经推荐我的朋友了。', '短评打分': 5}
{'短评内容': '因为考试住了一晚，很不错的酒店，服务态度好，还让我免费多待了一个小时午休，所以赞一下！', '短评打分': 5}
{'短评内容': '酒店位置很好，离地铁站很近，附近有买护国寺小吃，在地铁站口还可以在鑫百万吃烤鸭，味道很好，推荐，就是房间有点小，一开门一股霉味，服务员态度一般，台灯坏得，提出换一个晚上说的，买第二天也没给换，望加强员工素质', '短评打分': 5}
{'短评内容': '酒店位置不错，交通很方便。附近吃的也很多。唯一美中不足的是房间的插座比较少。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '还可以吧，毕竟很便宜，离张自忠地铁站比较近，公交站点也很近，但是在胡同里边不一定谁都能找到，还是可以推荐大家去的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '地理位置绝对好，价格合理，我住的半地下室，单人间，环境不错，好评', '短评打分': 5}
{'短评内容': '屋里装饰不错。就是半地下好象有点潮刚一进去有潮味!', '短评打分': 3}
{'短评内容': '还行 就是味道大 隔音差 窗户被封闭 没亮光', '短评打分': 5}
{'短评内容': '感觉条件一般', '短评打分': 3}
{'短评内容': ' 还不错，去哪儿都很方便。。', '短评打分': 3}
{'短评内容': '这个旅店不错。热水和卫生都还好。服务态度也好。', '短评打分': 3}
{'短评内容': '交通很方便、服务很周到、价格很便宜、房间很干净', '短评打分': 5}
{'短评内容': '酒店是半地下.有些潮湿.没有放衣服的地.前台服还可以.', '短评打分': 3}
{'短评内容': '地段不错就是房间超小，住了两晚每天晚上要花半个多小时拍蚊子。服务态度很好。', '短评打分': 1}
{'短评内容': '服务态度不错、交通便利，下次还会入住的。', '短评打分': 5}
{'短评内容': '地点还行，服务待改善', '短评打分': 3}
{'短评内容': '酒店离地铁站挺近的，好找的\n房间也挺不错的，再背景有这种性价比不错了，值得推荐', '短评打分': 3}
{'短评内容': '酒店环境不错，交通比较便利，靠近地铁口', '短评打分': 3}
{'短评内容': '环境不错，不过今天入住的时候停电了，而且晚上因为停电热水也很慢，不过不影响居住环境和条件~~', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '地理位置好，但是特价房内的空气味道和环境不理想！', '短评打分': 5}
{'短评内容': '不错！只是，第一天住还是138，后面因为误会，害我10天定单只享受一天优惠，其他9天都是158的- -！不过房子还是很好住的，特别喜欢它是浴室！', '短评打分': 5}
{'短评内容': '还是可以的.附近小吃也不少.逛街的小店也挺好的.交通还不错.', '短评打分': 3}
{'短评内容': '，环境真的不咋地，空调也是坏的。', '短评打分': 3}
{'短评内容': '到店后没有房间了，前台不错帮我换了房间，价格也没涨，地理位置比较方便，环境也挺好。房间里设施不如经济型酒店，但也还算干净，但是没有灭蚊器', '短评打分': 5}
