{'descr': '房间干净', 'star': 5}
{'descr': '房间干净', 'star': 5}
{'descr': '还可以距离近', 'star': 5}
{'descr': '住宿环境好，有停车场', 'star': 5}
{'descr': '一般 bad', 'star': 3}
{'descr': '住惯快捷酒店了  觉得格林豪泰最干净舒适', 'star': 5}
{'descr': '在携程订的两天的大床房 有返现的 结果退房后提现时 这个酒店死活不承认我们住过 我们都提供发票了 还是查了一天居然查不到我们四天前的任何入住记录 简直不要脸到极限 携程只听信酒店的一面之词 凌晨五点给我发了一个短信 说我的订单未入住 返现不给我 还扣了我两百多的积分 一直跟携程协调 接打N个电话 最后据说是根据发票号挨张查找才确定我们确实入住过 但至今返现也没到帐 也不知道一个小破沧州的一个小快捷', 'star': 1}
{'descr': '位置不错 早餐也可以', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '环境很好，房间摆设不错，很舒服，下次还订购。', 'star': 5}
{'descr': '环境好，交通便捷，对面有商业广场购物也比较方便', 'star': 3}
{'descr': '环境不错，干净卫生，价格便宜，很好', 'star': 5}
{'descr': '环境一般 ，，，隔音效果不太吵！！！！！！', 'star': 3}
{'descr': '还可以', 'star': 4}
{'descr': '增加酒店的范围，给予客户更大的优惠', 'star': 5}
{'descr': '还可以吧，环境什么的', 'star': 3}
{'descr': '很好，价格实惠，早餐也不错，感觉是快捷酒店中最好的了。', 'star': 5}
{'descr': '干净舒适', 'star': 3}
{'descr': '隔音比较差 其他盖好 电视不知道是信号还是啥原因有时候黑的', 'star': 5}
{'descr': '很客观的说，性价比还是比较高的，服务人员态度很好', 'star': 5}
{'descr': '挺好，这是我第二次来沧州了，比起上家那家酒店这家还是非常好的，下次还会再来。', 'star': 5}
{'descr': '有点潮，没窗户的不好闻，整体还行吧！', 'star': 3}
{'descr': '价格优   条件好  交通便  服务好', 'star': 5}
{'descr': '挺干净的 还挺舒服 服务态度还行 比较满意。', 'star': 5}
{'descr': '不错的嘛，希望有机会再去。要是设有早餐提醒就更好了。', 'star': 5}
{'descr': '很安静 很好 交通便利 每次出差都住格林~~', 'star': 5}
{'descr': '不错，很安静，豪华大床房 ', 'star': 3}
{'descr': '空调没有，房间很冷。隔音极差，可以听见隔壁房间说悄悄话。', 'star': 1}
{'descr': '交通便利，价格还行，中间的隔音一般般，其他的不知道了', 'star': 5}
{'descr': '卫生还好吧，早餐一般，居住环境还算好，性价比合理', 'star': 5}
{'descr': '晚上回酒店晚了，车不能放停车场了，放马路上了。\n隔音不好。\n但很便宜，主推性价比', 'star': 5}
{'descr': '说实话，很失望。所谓的豪华房，没有地巾，洗完澡卫生间湿一地。天气较冷，没有暖气。服务差劲，所要一根长网线，说是没有。第一次住格林豪泰，不知其他地方如何，反正沧州这家很失望。', 'star': 1}
{'descr': '服҉务҉不҉错҉，离҉火҉车҉站҉也҉挺҉近҉的҉', 'star': 5}
{'descr': '这酒店很好呀 支持 哈哈 。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店卫生及环境都还可以，性价比较高。可推荐。', 'star': 5}
{'descr': '大床舒适，房间墙面不是很干净，收拾房间不仔细，竟然还有烟灰。', 'star': 3}
{'descr': '房间有异味吃饭不方便', 'star': 3}
{'descr': '性价比挺高，还不错。比其他城市格林豪泰装潢差一点，不过价格也优惠些。', 'star': 5}
{'descr': '酒店附近吃饭很是不方便，前台服务糊里糊涂的。', 'star': 5}
{'descr': '据说是刚开业，挺干净的，也比较安静，就是周围没什么吃饭的地方，比较头疼', 'star': 5}
{'descr': '环境还行.价位不是很高!', 'star': 3}
{'descr': '酒店很干净，安静，不错', 'star': 3}
{'descr': '很干净的酒店，位置也较好，出行方便，酒店内有一个较大的停车场。早餐也较丰富，服务员也很热情。还会入住。', 'star': 5}
{'descr': '服务态度很好', 'star': 3}
{'descr': '酒店还可以，挺干净的服务态度也很好，就是屋里被褥有点潮', 'star': 3}
{'descr': '离市中心很近。就是房间有点小。有点潮，其他还可以吧', 'star': 5}
{'descr': '环境很好，安静卫生，房间宽敞，商业中心，十分方便！', 'star': 5}
{'descr': '还是比较便宜，就是隔音效果不行，半夜被别人吵醒            ', 'star': 5}
{'descr': '还不错 离市区比较近 价格也还可以，。。。。。', 'star': 5}
{'descr': '很好的酒店，房间比较大，房间还是很干净的，值得推荐。', 'star': 5}
{'descr': '酒店位置还可以，在车站附近，出行还是很方便的，附近有沃尔玛超市，房间打扫的也挺干净，住着蛮舒服的', 'star': 5}
{'descr': '酒店在市区，打车和方便，房间的床很大，睡着很舒服，性价比蛮高的', 'star': 5}
{'descr': '房间装修的还可以，设施很齐全，住着蛮舒服的，环境很好，比较安静', 'star': 5}
{'descr': '虽然有点小插曲 但是总体不错~交通位置比较方便~', 'star': 5}
{'descr': '酒店的条件还可以,硬件和软件条件比较达标,而且房间住起来也蛮舒服的,服务人员很热情,我本人很看好这家酒店虽然是连锁酒店,但是很人性化.', 'star': 5}
{'descr': '地理位置很好，浴室大爱，住得很舒服。就是关门一定要大力，不然关不上。', 'star': 5}
{'descr': '洗手间的墙体有发霉脱落的情况.而且室内空间也不是很大,服务还不错.不过下次我可能不会去住啦.', 'star': 1}
{'descr': '冲着莫泰的招牌选择的.但实际质量真的很一般. 此家是加盟店,进到房间感觉有点敷衍的感觉,墙角都脱皮了,卫生间的墙更是恐怖,都是发霉的. 总之装修很粗糙.', 'star': 1}
{'descr': '总体上还是不错的，因为住的是特价房，没有窗户，但是和其他快捷酒店相比，性价比还是蛮好的。', 'star': 5}
{'descr': '总体来说不错的酒店，房间干净，设施完善，服务也还可以，下次如果在附近出行还会入住', 'star': 5}
{'descr': '宽带不好用的。。。一股很奇怪的油腻味。。。', 'star': 1}
{'descr': '这宾馆只是一幢楼的四至六楼，三楼是家火锅店。\r\n所以宾馆的电梯和过道上都是一股火锅味，很难闻。\r\n', 'star': 1}
