{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '口头教育土路', '短评打分': 5}
{'短评内容': '嗯，可以。不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '总体感觉还是不错的', '短评打分': 4}
{'短评内容': '嗯嗯', '短评打分': 4}
{'短评内容': '很不错的一家酒店，值得信赖入住。', '短评打分': 5}
{'短评内容': '很不错哦，性价比非常棒。完美推荐，', '短评打分': 5}
{'短评内容': '蛮干净', '短评打分': 5}
{'短评内容': '服务还行，硬件需提升', '短评打分': 4}
{'短评内容': '服务还可以，但是硬件还需要提升', '短评打分': 3}
{'短评内容': '前台服务恶劣、不推荐入住', '短评打分': 3}
{'短评内容': '不愿多说总之服务恶劣、投诉了三次才给解决问题、拉低河南人民素质！', '短评打分': 3}
{'短评内容': '房间大，很不错，商旅可以', '短评打分': 3}
