{'短评内容': '早餐管够，停车免费。', '短评打分': 5}
{'短评内容': '位置很好，好找，房间比较陈旧，性价比不高', '短评打分': 4}
{'短评内容': '     掉了个苹果充电器，前台王美女非常热情，十分感谢！国庆期间的价格也合适，环境挺不错的，毕竟在古城里面。', '短评打分': 5}
{'短评内容': '酒店有自己的停车场，还不错', '短评打分': 4}
{'短评内容': '酒店在古城内，还不错', '短评打分': 4}
{'短评内容': '酒店环境不错，房间也很好，就在古城内。', '短评打分': 5}
{'短评内容': '名不符实，垃圾。', '短评打分': 1}
{'短评内容': '比较安静', '短评打分': 4}
{'短评内容': '挺好的，环境不错，周围热闹。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '有院子，停车很方便。一楼房间潮，卫生间太差。', '短评打分': 3}
{'短评内容': '风风光光让哥哥头发办法呃呃呃人工费', '短评打分': 5}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '这酒店老旧，唯一的好处是出门方便', '短评打分': 3}
{'短评内容': '酒店根本不像星级酒店的，电视还放不出来的最后换了房间', '短评打分': 3}
{'短评内容': '舒适，安静，环境好', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧。特别是卫生间。其他都挺好。', '短评打分': 5}
{'短评内容': '不错的酒店，还不错', '短评打分': 5}
{'短评内容': '\u3000定的家庭房,房间还不错,不过总下雨,房间有些潮!酒店可以免费接机,可惜提前不知道!如果可以提前联系房客就好了!总体还可以,推荐!', '短评打分': 3}
{'短评内容': '环境很不错，早餐很好吃，离古城只有一街之隔，下次去大理还会住她们家。。。', '短评打分': 5}
{'短评内容': '在古城内超好找的一家客栈，地理位置不错，也很安静，就是早上没起来，没吃上早餐，不知道传说中的早餐怎样！呵呵', '短评打分': 5}
{'短评内容': '还可以,就是晚上睡觉的时候太响了,无法睡觉,酒店的服务态度不是太好,想要一床被子都不行,建议人性化一点,这个又花不了多少钱,给客户的感知会好一点!', '短评打分': 1}
{'短评内容': '主要是价廉，离步行街近。早餐不要在酒店吃极差，且不卫生！', '短评打分': 3}
{'短评内容': '入住这个酒店，就是考虑到它在古城内，游玩起来方便，并没有指望能有多好的服务。但是这个酒店的服务也太离谱了。尤其是早餐，糟糕的要命。尤其是在离开的那个早晨，厨师认为没有人来吃早餐，居然没有来上班。结果前台小姐打电话把她给叫来，她是老大的不高兴，眼睛恶狠狠地瞪着我们。郁闷之极！！!', '短评打分': 1}
{'短评内容': '比较干净，简单但还算清爽。最主要是位置和价格都合适。方便出行。适合旅游投宿。', '短评打分': 3}
{'短评内容': '价格还算实惠。位置也还不错靠近洋人街。\n可惜房间较旧，需要修缮更新，够不上三星，还不如普通经济型的酒店。可能是去住的人太少的缘故吧。\n早餐惨得可怜，谈不上服务。', '短评打分': 1}
{'短评内容': '酒店房间比较大，卫生条件可以，态度比较好，停车场较小，早餐单一', '短评打分': 5}
{'短评内容': '外面环境还好，就是房间洗澡的水太小了，不是一般的小', '短评打分': 3}
{'短评内容': '离古城很近，典型的白族房子，房型很多，我住的是白族民居型，很好住，以后会去住。', '短评打分': 5}
{'短评内容': '环境优雅,极具民族风情!朋友评价很好!推荐!', '短评打分': 5}
{'短评内容': '洗澡用的热水不方便！简直是水太小！况且早餐很差！条件差！', '短评打分': 1}
{'短评内容': 'KTV 改成的酒店，房间很大，但屋子里依旧可见KTV的痕迹。早餐只有米线和煮蛋。', '短评打分': 1}
{'短评内容': '该酒店在大理古城内位置比较理想，距离洋人街等均不远，晚上住宿安静，房间设施随有些陈旧，但在古城内也属于比较理想的！服务比较周到，但仍有提高空间。', '短评打分': 5}
{'短评内容': '大理古城艺苑大酒店得益于其较好的地理位置，就在古城边上，但是酒店设施陈旧，环境较差，房费性价比偏低。', '短评打分': 5}
{'短评内容': '院子里面有小桥，假山还有水车，装饰的很好。', '短评打分': 5}
{'短评内容': '酒店建筑风格，装饰配置很有当地特色。', '短评打分': 5}
{'短评内容': '很不错的一家小酒店，环境很舒适，休息的话也相当安静。', '短评打分': 5}
{'短评内容': '像是富贵人家的私人住宅。呵呵、环境还不错，很别致的院落。', '短评打分': 5}
{'短评内容': '位置和房间都不好。卫生间一股恶臭。早餐很差，只有一个服务员。退房时忘了要押金，服务员也没有什么提示。性价比太差！下次绝对不会住了。', '短评打分': 1}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，就是位置偏了些，其他都很好。', '短评打分': 5}
{'短评内容': '设施比较老', '短评打分': 5}
{'短评内容': '酒店是院落式的，有点私宅的感觉，很有特色。', '短评打分': 5}
{'短评内容': '酒店客房分为两层，客房围着院子一圈，风景不错。', '短评打分': 5}
{'短评内容': '酒店很有特色哦，好多名人都在这里住过，很不错。', '短评打分': 5}
{'短评内容': '酒店有个院子，院子里有水车、小桥，颇具特色。', '短评打分': 5}
{'短评内容': '酒店不错，位置也很好，租个单车就能去苍山和洱海了。', '短评打分': 5}
{'短评内容': '舞厅太吵，套房卫生一般，电视太差', '短评打分': 1}
