{'短评内容': '整体不错下次再来.', '短评打分': 5}
{'短评内容': '是的是的是的', '短评打分': 5}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '不值，值得入住', '短评打分': 5}
{'短评内容': '环境好，服务好', '短评打分': 5}
{'短评内容': '京东酒店服务还像以前一样的，京东酒店服务还像以前一样的好，', '短评打分': 5}
{'短评内容': '五星级？走的时候箱子都不拿。凭啥五星级啊？', '短评打分': 1}
{'短评内容': '朋友们满意！', '短评打分': 5}
{'短评内容': '位置优越，环境优美，房间面积大，虽然是旅游旺季，但价格合理，附近球场餐饮娱乐很近，出入活动方便，早餐丰富，满意！', '短评打分': 5}
{'短评内容': '酒店位置不错，很好', '短评打分': 5}
{'短评内容': '酒店位置很好，很不错', '短评打分': 5}
{'短评内容': '性价比高，出行方便，', '短评打分': 4}
{'短评内容': '非常好非常好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常不错，喜欢', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这家酒店的前台简直差得无法形容，入住三次，发票开错两次。态度还很恶劣，这种态度简直了。以后就算离办事方便也不要住了！', '短评打分': 3}
{'短评内容': '老旧了，餐饮价格略高，位置好是唯一的优势了', '短评打分': 4}
{'短评内容': '交通有些不方便，滨海大道车多，禁止左转，有些麻烦！房间重新装修 ，不错，只是电视没有信号，打电话20分钟半小时过来换了，想比人家知道有问题，只是需要更换新的……开水器看了半天才知道有个开关，wifi 需要密码……90年代是海口第一，以后应该不会选择文华了！', '短评打分': 3}
{'短评内容': '滨海大道上，交通方便。靠近万绿园', '短评打分': 4}
{'短评内容': '房间设施还好，服务也算周到。楼下的自助餐打折很赞，128就能吃的不错。周围算是海南比较繁华的区域吧，挺好的，去银行什么的都很方便，但是上下班高峰期太堵了，而且交通规则莫名其妙，开车想要拐个弯都要绕好久，海南的油还贵。。。押金预授权解除的也挺快的，总之，下次来还是会选择这里的。', '短评打分': 5}
{'短评内容': '装修稍旧，房型偏小，四星标准，', '短评打分': 3}
{'短评内容': '交通很方便离海边也比较近。吃东西也很方便。下次还会入住的。', '短评打分': 5}
{'短评内容': '环境挺不错。很安静。交通也方便。离海边也近。下次还会再来。', '短评打分': 5}
{'短评内容': '一家不错的洒店服务很好，每次入住象回家的感觉。', '短评打分': 5}
{'短评内容': '酒店不错但房间小了点附近吃的还不小私人沙滩沙很幼很好就是泳池水太浅整体不错可以再入住', '短评打分': 3}
{'短评内容': '老牌五星酒店以前来过保养不错还是很干净有气派泳池不错人员服务态度很好就是早餐太贵要一百四十多元还有我要投诉芸龙我刚订了六百多一天不包早餐的房不够二十小时酒店就推出五百八十八包两早餐的特惠房跟我订的房一样就气芸龙不通知我改为这优惠害我门多花了超过二千多元我门共订了八个房呀!', '短评打分': 3}
{'短评内容': '很好交通很方便，也很卫生。环境也很不错，下次来还住这里。', '短评打分': 5}
{'短评内容': '第二次入住，97年的酒店维到位，各类设施比较实用，位于二楼的音乐吧比较幽静，值得推荐！', '短评打分': 5}
{'短评内容': '口碑好，领导点名入住的酒店，入住环境和服务都还不错', '短评打分': 5}
{'短评内容': '老外喜欢住这里。处于市中心，位置比较好。酒店服务不错。', '短评打分': 5}
{'短评内容': '这个酒店差极了！', '短评打分': 3}
{'短评内容': '这家酒店环境不错、干净、卫生、服务也不错 \n', '短评打分': 5}
{'短评内容': '交通很方便，环境不错，只是吃饭有些贵，酒店装修很好，以后会向朋友推荐。', '短评打分': 5}
{'短评内容': '很好，很干净。交通也很方便。出门对面就是万绿园了。', '短评打分': 5}
{'短评内容': '老牌五星级酒店，装修一般，服务一般，房间小，床更小，被子潮湿，舒适度比较差', '短评打分': 1}
{'短评内容': '酒店环境舒适，服务特别的好，周围交通便利', '短评打分': 5}
{'短评内容': '网速太慢了，上载文件都困难，跟五星服务不匹配', '短评打分': 5}
{'短评内容': '感谢前台为我做了临时升级。适逢有会议，人多，价高', '短评打分': 5}
{'短评内容': '品牌酒店，说不出特别之处，倒是有一点令人失望：吃早餐时，拿杯子取牛奶，拧开龙头，居然从龙头嘴抛跑出了一只蟑螂！！！好恶心！跟服务经理讲了，也不见怎么处理，后面的住客喝的都是蟑螂的泡澡牛奶，这是30日早上的事', '短评打分': 5}
{'短评内容': '贵宾楼层挺好的，很安静。虽然酒店设施有点老了，但总体感觉似乎比喜来登要强一些，据说新埠岛新开一家酒店，改天去踩踩点去，看看有没文华好。', '短评打分': 5}
