{'短评内容': '房间设施很到位，环境也很好', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '很不错，价格特别实惠，离高速不是很远，交通方便，设施还算比较齐全，装修老了一点，主要便宜，下次还会再来！', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '改了好几次入住时间，都能帮忙留着房间，特别感谢，也感谢携程的工作人员', '短评打分': 5}
{'短评内容': '设施比较老了，周边设施很齐全。服务人员都比较热情，大厅里有各个景点的旅游功略小指条，很方便，节约不少打的费。还有，宾馆自助早餐也不错，相对较好。宾馆就在医药学校东门，探望医药学校的学生很方便。', '短评打分': 4}
{'短评内容': '老三星的标准，价位合适。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店环境还可以，比较卫生，但是设施有点老旧了。', '短评打分': 4}
{'短评内容': '整体一般，经济实惠型酒店。', '短评打分': 4}
{'短评内容': '还不错啊啊', '短评打分': 4}
{'短评内容': '环境不好', '短评打分': 2}
{'短评内容': '대체적으로 무난한 호텔입니다 사범대와 가깝습니다.', '短评打分': 3}
{'短评内容': '酒店设施、装修有些陈旧，价格还行。附近生活配套一般。', '短评打分': 4}
{'短评内容': '还不错，适合旅游住住，很便宜。干净。。。。。。。。。。', '短评打分': 5}
{'短评内容': '设施有点老，但是服务很好。', '短评打分': 3}
{'短评内容': '很不错 还含早餐，房间设施比较齐全，就是有点小，环境相对安静，很适合休息', '短评打分': 5}
{'短评内容': '酒店环境服务都不错 而且含早餐 \n如果有机会还会入住', '短评打分': 5}
{'短评内容': '不错，守信用', '短评打分': 3}
{'短评内容': '房间很大很干净，很好 ', '短评打分': 3}
{'短评内容': '还可以吧，就是没宽带！不过网上订购是100元，实际店家是80元。有些郁闷！', '短评打分': 5}
{'短评内容': '设施太旧~卫生不是很好~~~早餐种类太少~', '短评打分': 1}
{'短评内容': '里面还行，性价比较高', '短评打分': 3}
{'短评内容': '成功入住', '短评打分': 3}
