{'短评内容': '帮人多次预定这家 很好', '短评打分': 4}
{'短评内容': '早餐还可以，酒店位置不错，周围很方便，也很热闹，酒店有很大的免费停车场', '短评打分': 5}
{'短评内容': '天冷了，没有热空调', '短评打分': 5}
{'短评内容': '还可以，给领导出差订的', '短评打分': 5}
{'短评内容': '酒店位于东莞塘厦，交通便利，从深圳机场有巴士直接到塘厦天桥，然后再乘公交或打的到酒店就很近了。深圳罗湖直接有巴士到酒店门口。酒店房间干净，很安静。酒店附近饭店也很多。', '短评打分': 4}
{'短评内容': '酒店周边购物比较方便。', '短评打分': 3}
{'短评内容': '房间比较大，不过设施有点陈旧了，周边环境比较凌乱，但还算安静，早餐不知道怎么回事，没有人收拾桌子，好多东西吃完了也没人添加', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一分价钱一分货，从携程拿到好房价，然而相对的房间就不会给好位置的，我最近的入住都被放在后栋，离Lobby非常远，出门和退房时就要走一段路，美其名安静，但是我个人不认同。', '短评打分': 3}
{'短评内容': '出差住了两天，环境很好，出行方便。', '短评打分': 5}
{'短评内容': '出差首选', '短评打分': 4}
{'短评内容': '位置虽然不错，不过宾馆设施较旧，服务一般。', '短评打分': 4}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '酒店硬件服务还好，除了六百的房间外，其他房型都能听到卡拉OK声音。', '短评打分': 3}
{'短评内容': '房间一般价格偏高', '短评打分': 3}
{'短评内容': '房间干净，典雅，早餐也不错。，周围吃东西的地方很多。', '短评打分': 5}
{'短评内容': '服务不错，老牌五星，很安静 ，早餐很丰盛，附件吃东西的地方很多。', '短评打分': 5}
{'短评内容': '比上年底居住漂亮不少，應該重新裝修了吧。\n服務保持水準，值得一讚！\n\n美中不足的是不能保齡球館關了.....', '短评打分': 5}
{'短评内容': '东莞的酒店整体都不错，服务质量和价格成正比。', '短评打分': 5}
{'短评内容': '酒店一般，。可以接受。地方比较偏。性价比不是太高。', '短评打分': 5}
{'短评内容': '房间不大，不过总体感觉还行，可选的电视台也还比较多。', '短评打分': 5}
{'短评内容': '酒店整体还好，装修应该能达到4星标准，房间的内饰也还好。', '短评打分': 3}
{'短评内容': '基本设施服务都可以, 就是房间里空调太冷, 没办法调节.', '短评打分': 5}
{'短评内容': '酒店不错. 房间设施也不错.旁边就是商业区.很方便.', '短评打分': 3}
{'短评内容': '卫生设施都还不错，价格服务都还行。位置离我办事的地方还是比较近。', '短评打分': 5}
{'短评内容': '不错的酒店,房间大,舒适. 缺点是早餐品种不多,洗手间手纸质量太差.', '短评打分': 5}
{'短评内容': '酒店的环境还可以挺好的位置还可以，价格还好，房间还行。', '短评打分': 5}
{'短评内容': '前台和西餐厅的态度都很好，尤其是西餐厅的迎宾小姐。中餐厅的服务员态度非常不好，还在客户面前打闹，不像是五星级酒店做具备的素质。', '短评打分': 5}
{'短评内容': '酒店位置不错，周边环境和好，附近有超市，商场，住宅，不会太偏。交通较便利。', '短评打分': 5}
{'短评内容': '服务很到位，用餐时，服务员都很主动的倒茶，倒酒，餐厅的菜做的也是蛮可口的。', '短评打分': 5}
{'短评内容': '位置有些偏了，设施陈旧了些，服务不到位，有些细节的地做的不好，其他都还可以。', '短评打分': 1}
{'短评内容': '娱乐设施完善，按摩，桑拿，游泳都配备，房间里也提供上网服务。', '短评打分': 5}
{'短评内容': '房间布置的很温馨，都是吸顶灯，打出的光很柔和，住着很舒服，窗户是落地玻璃窗很时尚。', '短评打分': 5}
{'短评内容': '卫生条件特别的好，每天都会换新的毛巾，用起来很放心，房间也是随时打扫的。', '短评打分': 5}
