{'短评内容': '位置不错.房间性价比很高', '短评打分': 5}
{'短评内容': '空调基本不管用', '短评打分': 4}
{'短评内容': '房间环境干净卫生，床上用品也不错', '短评打分': 5}
{'短评内容': '环境很好，非常不错的体验。推荐……', '短评打分': 5}
{'短评内容': '很好。地理位置好，卫生好', '短评打分': 5}
{'短评内容': '酒店环境比较卫生', '短评打分': 5}
{'短评内容': '酒店房间布置的相当舒适', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '地理位置优越很好', '短评打分': 5}
{'短评内容': '酒店不错，环境好，地理位置优越', '短评打分': 5}
{'短评内容': '酒店第一地理位置不错，离武侯祠和锦里都不远，第二环境挺好的，房间挺大，总体来说还是不错的', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵或或或或花哈哈哈哈哈', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '真棒 真好 厉害6666', '短评打分': 5}
{'短评内容': '之前就住过 位置好 卫生间设施再丰富点就好了', '短评打分': 5}
{'短评内容': '常住的地方，很好了', '短评打分': 4}
{'短评内容': '交通方便，安静，房间卫生好，适合出差旅游。', '短评打分': 5}
{'短评内容': '交通方便，房间环境还好，比较安静，适合出差旅游。', '短评打分': 5}
{'短评内容': '很喜欢这家酒店！推荐！', '短评打分': 5}
{'短评内容': '非常好的酒店，安静干净', '短评打分': 5}
{'短评内容': '位置和环境都还不错。。', '短评打分': 5}
{'短评内容': '房间舒适，卫生！推荐哦！', '短评打分': 5}
{'短评内容': '酒店经常住，如果价格再实惠一点更佳。', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便。', '短评打分': 5}
{'短评内容': '房间有异味需要一直通风，更可气的是清洁服务员把我扔垃圾桶的厕纸扔在马桶里也不用水冲走，晚上回房间真是开盖有惊喜，电视节目看一段时间就有酒店的弹窗流氓软件吗。早餐煎蛋台的老大爷服务员一直在打电话餐厅就他声音大，餐厅老大妈服务员在面前活动筋骨锻炼身体，感觉实在是在小区路边摊吃早饭。前台结账信用卡预售权竟然让你等银行自动解锁这得多久时间，一再要求下才做了授权取消。', '短评打分': 3}
{'短评内容': '早上前台都忙酒店自己结账, 不管客人结账,有些不妥', '短评打分': 4}
{'短评内容': '周围好象有些吵', '短评打分': 5}
{'短评内容': '房间很喜欢', '短评打分': 5}
{'短评内容': '很不错的酒店，很干净，风格也不错。前台妹子很漂亮??', '短评打分': 5}
{'短评内容': '很不错的酒店，有机会还住这家。不好的就是酒店外面很多发黄色名片的，很讨厌。', '短评打分': 5}
{'短评内容': ' 楼下开了会所,晚上歌声很大,持续到很晚,房间吵,网速慢,非常相当慢', '短评打分': 3}
{'短评内容': '服务不错，房间干净，装修有特色。对面就是王府井，购物休闲很方便。航空路上也有很多吃的东西。', '短评打分': 5}
{'短评内容': '酒店的服务很好，环境舒适，卫生打扫的也很及时，总体令人满意。', '短评打分': 5}
{'短评内容': '我个人很喜欢的一家以莲花为主题的浪漫酒店，颇为遗憾的是卫生间毛巾有点陈旧，面对街道的房间由于下面车辆的影响会吵点，早餐不错，床亦舒服，值得推荐！', '短评打分': 5}
{'短评内容': ':请帮忙确认抵用券是否可用？', '短评打分': 3}
{'短评内容': '房间设施不错，周边餐饮也比较多，很方便！', '短评打分': 5}
{'短评内容': '位置很好房间及服务也很不错 不过房间信号不好有点吵 下次还住', '短评打分': 3}
{'短评内容': '酒店经理挺好的，很爽快就答应晚点退房。交通位置很好，吃饭很方便，房间感觉也有些旧了，毛巾太差，注意清洁。六楼比较吵，建议9楼。', '短评打分': 5}
{'短评内容': '房间设施还行，就是租用的写字楼，大堂在四楼，早餐不错。', '短评打分': 5}
{'短评内容': '酒店位置不错！ 房间不错。毛巾太差！注意清洁！', '短评打分': 5}
{'短评内容': '房间还不错', '短评打分': 3}
{'短评内容': '干净 舒适 服务态度好 就是7楼的空调有点问题 交通便利 对面就是王府井 很方便 下次还会入住', '短评打分': 5}
{'短评内容': '酒店在一写字楼的中间几层，大堂也不在一楼，房间感觉也有些旧了。', '短评打分': 3}
{'短评内容': ' 酒店不错，床很舒适，旁边就是购物中心', '短评打分': 3}
{'短评内容': '性价比还行,要求不高,基本都还可以,quzhuba ', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '酒店房间很大，床也很舒服，离机场很近，性价比很高', '短评打分': 3}
{'短评内容': '从开业至今,只要是自费,我只选瑞熙城市酒店!', '短评打分': 5}
{'短评内容': '随便住住的酒店，不好不坏，如果你的客户要来酒店见你，那就不要来这里住了。居然跟写字楼是同一个地方进出。', '短评打分': 5}
{'短评内容': '差差差，连个袋子都没有，以后再也不来了！', '短评打分': 3}
{'短评内容': '几次出差都选择了这里，环境尚可，交通还算方便', '短评打分': 5}
{'短评内容': '很好的酒店，房间很舒适，就是在成都打车太难了', '短评打分': 3}
{'短评内容': '不错 不错 不错 不错 不错 不错 不错 不错', '短评打分': 5}
{'短评内容': '帮朋友订的，还算满意吧。为什么点评一定要满20个字呢？', '短评打分': 5}
{'短评内容': '这家酒店太古老，家具、门都是破的，网速介于拨号和512之间，床还舒服，其它没什么可说的', '短评打分': 1}
{'短评内容': '酒店很不错，靠近人民南路，干净，推荐！对了，去谭鱼头吃火锅很方便！', '短评打分': 5}
{'短评内容': '设施齐全、整洁、交通便利不错的酒店，向大家推荐。', '短评打分': 5}
