{'descr': '感谢前台接待员赵女士，刘先生，安排南门行标，停车方便', 'star': 5}
{'descr': '前天台免费升级，感谢赵女士，刘先生，停车方便', 'star': 5}
{'descr': '没有方向感的我二号楼没找到却进了一号楼，然后大晚上的前台王慧敏，杨燕菇二位姑娘很好，帮我免费升级了房间，直接入住一号楼，非常感谢！', 'star': 5}
{'descr': '早餐很丰富，房间大，还有阳台，可以晒衣服，到金鹰奥莱城3公里左右，公交快车都很方便。在学校里面停车很方便', 'star': 5}
{'descr': '前台王慧敏，热情服务好', 'star': 5}
{'descr': '还行吧，只是订单显示二楼，最后给的是五楼还行吧，只是订单显示二楼，最后给的是五楼', 'star': 4}
{'descr': '挺干净的，还有阳台，离栖霞山也挺近的', 'star': 4}
{'descr': '环境不好，还贵', 'star': 1}
{'descr': '环境好，服务佳。特别前台的小许很热心，推荐入住！', 'star': 5}
{'descr': '前台小许好评！态度很好', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', 'star': 5}
{'descr': '一般，如果学生家属比较方便，否则不推荐', 'star': 3}
{'descr': '还可以吧，在学校校园，比较安静。', 'star': 4}
{'descr': '被子和枕头太脏，厕所有异味。12点以后无论多久都收半天房费，没有钟点房，挺坑的', 'star': 4}
{'descr': '为了国考才住的，之前心里有了准备，所以也没觉得那么差，确实空调不热，水不热，没吹风机，被子脏东西，勉强住住，随便啦', 'star': 3}
{'descr': '条件还行 也挺安静 就是价格有点贵  别的都很好  很干净的感觉', 'star': 5}
{'descr': ' 行政标准间不错', 'star': 3}
{'descr': '交通极不方便，前台离住的楼很远。第二天拿发票又要走很远去前台拿。', 'star': 1}
{'descr': '还行吧', 'star': 3}
{'descr': '文澜酒店总体来说，还不错，干净卫生，简约而整齐。就是可能是新装修的关系，有点灰尘脏污和装修的味道。希望酒店改进一下空气循环。当天宽带没弄好，打前台立刻解决，鼓励一下！另外，这个档次的房间，依据锦江和莫泰的档次比较，觉得有点寒酸，价格应该在150-180之间比较合适！', 'star': 5}
{'descr': '学校的招待所，没有洗澡热水，服务员未经过培训，装修垃圾到处都是。快捷酒店的设施，但管理和服务远不如快捷酒店。', 'star': 1}
{'descr': '由于地点太偏，所有宾馆几乎都在校园里。这个宾馆挺整洁、干净的，应该是大学宿舍改造的。装修很新，还有装修味在', 'star': 5}
{'descr': '服务态度不错,没有按点入住,酒店电话来询问,很温馨,就是有些不好找,其他差不多就是一般经济型酒店的设施状况', 'star': 5}
{'descr': ',比较偏僻但交通还算方便,条件还可以,就是新建刚装修的 ,,', 'star': 3}
{'descr': '环境还不错。', 'star': 3}
{'descr': '服务水平一般，硬件设施不全，餐饮一般。', 'star': 3}
{'descr': '环境还可以  就是有点偏 ', 'star': 3}
{'descr': '房间很干净，服务态度好！比想象中的好！提个小建议：房间中应多放一个废纸篓！', 'star': 3}
{'descr': '非常好，环境优美、安全，还有阳台，空间大，下次还会住，而且门口就是大路，路太好走了。\n非常满意！非常满意！', 'star': 5}
