{'descr': '舒服，干净', 'star': 5}
{'descr': '快捷酒店基本配置，周边配套设施完善，交通便利，吃饭方便，对面就是个商场超市，离市中心近', 'star': 5}
{'descr': '以后不会再去了', 'star': 3}
{'descr': '在携程预订好、酒店已确认，去到那里的时候说国庆需加钱，而且和携程预订根本无关，预订的房间没有保留、去的及时还好有最后一间，不然连住的地方都没有，酒店前台服务态度非常差，入住连身份证都没有登记，厕所没有门，电视看不了，房间灯光不足。毛巾好黄，厕所还有味道', 'star': 3}
{'descr': '环境越来越差了啊，要不是旺季这个价应该没人会去住吧', 'star': 2}
{'descr': '一般，', 'star': 3}
{'descr': '性价比高。', 'star': 5}
{'descr': '有点脏', 'star': 2}
{'descr': '服务态度不好、网络无信号、进去之后先打蚊子打了半小时。一夜都没网。', 'star': 3}
{'descr': '很不错', 'star': 5}
{'descr': '很好的酒店！退房的时候我的电纸书掉在房间里，服务员捡到交给了我。', 'star': 5}
{'descr': '浴室的毛巾上有黄渍，感觉不干净，墙体也有脱落，服务员态度欠佳。不过总体内饰还行，打车方便。', 'star': 1}
{'descr': '酒店前台很大，房间也挺大，挺干净的，地理位置不错，去瘦西湖、个园、国庆路商业街都比较近，前边的路口就有沃尔玛超市，路边很多小商店，吃饭很方便，郁闷的是一周前预定是优惠眷返31，现在变成了51', 'star': 5}
{'descr': '进入房间之后，一、空间太小，二房间有闷味，空气不是太好，第三、卫生间洗浴的拉手坏掉，第四、在床头上方，墙面有一大块裂痕，属装修问题，墙皮坏掉，之前只是在网上订好，进入酒店没有到房间实地查看，就在吧台办理入住手续，发现问题后想调换房间，服务台告知已经开好房间不好调换。', 'star': 1}
{'descr': '前台MM跟欠了她100W似的，那个小眼翻的，入住后，发现墙壁很脏，都是黑色痕迹，电视没有机顶盒，可看的台不多。', 'star': 1}
{'descr': '前台MM跟欠了她100W似的，那个小眼翻的，入住后，发现墙壁很脏，都是黑色痕迹，电视没有机顶盒，可看的台不多。', 'star': 1}
{'descr': '酒店在扬子江大道上，周围有很多类似的快捷酒店。房间还算可以，都是不朝马路的，比较安静。但是毛巾用具比较旧，院子里的停车场不大，我们两天晚上回来都没有车位，要停到外面去，拿东西就不方便了，而且还有另交停车费。', 'star': 5}
{'descr': '酒店在扬子江大道上，周围有很多类似的快捷酒店。房间还算可以，都是不朝马路的，比较安静。但是毛巾用具比较旧，院子里的停车场不大，我们两天晚上回来都没有车位，要停到外面去，拿东西就不方便了，而且还有另交停车费。', 'star': 5}
