{'短评内容': '酒店门口能停车', '短评打分': 4}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。', '短评打分': 5}
{'短评内容': '无早饭 还可以', '短评打分': 4}
{'短评内容': '床太差了，床单下面就是弹簧，软的一晚上都睡不了！空调比较老旧，出风口脏，吹出来的风有霉味。窗户外面可以直通其他房间，不敢开窗户睡觉。', '短评打分': 3}
{'短评内容': '五楼商务房是阁楼，房间很低，空间比较狭隘。地摊比较脏。停车的话没有专用停车场，可以停马路对面人行道上。', '短评打分': 3}
{'短评内容': '在县城中心还是挺好找的，酒店比较干净，唯一缺点没有早饭，门口有停车位', '短评打分': 3}
{'短评内容': '在县城中心还是挺好找的，酒店比较干净，唯一缺点没有早饭，门口有停车位', '短评打分': 3}
{'短评内容': '浴室开关上面都是灰，凳子是破的，窗帘有个洞，枕头套黄色的，柜子二手货还要好点。我住过最差的酒店', '短评打分': 2}
{'短评内容': '将就住一晚还是可以的，不巧赶上旺季，马马虎虎', '短评打分': 3}
{'短评内容': '不怎么样，凑合！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '到了仙居就会住这里，家一样的感觉，很好', '短评打分': 5}
{'短评内容': '挺好的，房间挺有格调的，家里人都挺喜欢的。', '短评打分': 5}
{'短评内容': '太差了，一个晚上都没睡，整个房间都发霉味，让人无法睡，墙纸都一片一片要掉下来了，水龙头的水一点点，洗脸都无法睡，一大早外面车子也太吵，总之无语了，从没住过这么差的宾馆。', '短评打分': 3}
