{'短评内容': '相当好', '短评打分': 5}
{'短评内容': '周边修路，不太方便', '短评打分': 5}
{'短评内容': '很不错，下次还会来的', '短评打分': 5}
{'短评内容': '退房两天了钱还没到账', '短评打分': 2}
{'短评内容': '星级酒店 不错，早餐也很美味', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通便捷    价钱公道    非常满意的 .', '短评打分': 4}
{'短评内容': '住了多次了     很满意的  .', '短评打分': 4}
{'短评内容': '价钱合适   交通方便  .', '短评打分': 4}
{'短评内容': '不错，环境优美，服务好，。。。。。。。。。。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错。！！！ 经济实惠。。！', '短评打分': 5}
{'短评内容': '还不错，价格合适。环境不错', '短评打分': 5}
{'短评内容': '这种酒店挂三星相对于大城市相差很远，硬软件很一般。', '短评打分': 3}
{'短评内容': '无感的入住体验', '短评打分': 3}
{'短评内容': '我要投诉酒店，住的是五楼，8526和8530房间，KTV既然在3楼。凌晨一点半，KTV的慢摇既然在五楼吵得很，前台服务也差得很，开房遇到各种麻烦，不专业，我旁边其他客人还差点跟他吵起来。根本达不到挂3星标准。然后我要投诉携程，是看到携程评价四星我才选择这家酒店，到了才发现是挂三星，那应该注明挂三星。不然我也不会来这个酒店。', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通便利，服务态度很好！设施设备齐全，环境优雅！', '短评打分': 5}
{'短评内容': '在市中心，位置还不错，服务也还行，卫生也OK，但是酒店设施真心差，wifi连接不到，马桶是坏的，房间门是坏的，从来没住过这么闹心的星级酒店，还不如快捷酒店的设施，以后再也不会去住！！！', '短评打分': 3}
{'短评内容': '洗漱用品太差了', '短评打分': 5}
{'短评内容': '房间偏小，设施齐全、交通方便。', '短评打分': 5}
{'短评内容': '太吵了，而且前台人手严重不足', '短评打分': 4}
{'短评内容': '还不错，小孩不小心把水彩笔颜色弄床单上了，赔了120元。', '短评打分': 5}
{'短评内容': '9楼巨大的装修味道，好在经过与前台的沟通，换到了7楼，服务还不错，但是配套设施希望能够完善', '短评打分': 5}
{'短评内容': '单人间窗户几乎可以忽略不计，将近300元的房间，设施陈旧，性价比太低', '短评打分': 1}
{'短评内容': '有点陈旧，但是位置不错，沐足中心要过马路才可以', '短评打分': 5}
{'短评内容': '这个价位，房间感觉有些小，但是周边很方便', '短评打分': 5}
{'短评内容': '地处闹市区，交通很方便，他的主楼和副楼处在马路2边，去的时候一定要问清楚。', '短评打分': 5}
{'短评内容': '首先房间和图片上的不一致，其次该酒店的房间明显不值328这个价位，不过本身说来房间还是算干净整洁的，貌似这个价位在衡阳也没用更好的选择，只好凑合着住。', '短评打分': 5}
{'短评内容': '很不错，环境很好，服务到位，住着很舒服，地理位置也不错，吃饭很方便', '短评打分': 5}
{'短评内容': '酒店整体感觉非常好···只是下午吃饭时间太早结束了，过去时都没吃的了···酒店里的女装游泳超贵 推荐能自己带的就自己带吧···', '短评打分': 5}
{'短评内容': '你们说的是江景房，可是我入住的不是。', '短评打分': 3}
{'短评内容': '酒店地理位置不错，交通便利环境也好。设施也还行！', '短评打分': 3}
{'短评内容': '酒店还不错，特别是卫生间装修的比较好', '短评打分': 3}
{'短评内容': ' 房间还可以，停车不方便。', '短评打分': 3}
{'短评内容': '房间还挺干净,停车场较远,不方便;管理还有待加强,特别是前台的服务有待提高.', '短评打分': 3}
{'短评内容': '环境尚可，服务态度生硬，硬件不错，停车欠方便', '短评打分': 1}
{'短评内容': '环境还可以，服务态度生硬，硬件设施还行，停车不方便', '短评打分': 1}
{'短评内容': '酒店还是不错的！\n\n\n去soho挺方便的。\n\n哈哈', '短评打分': 5}
{'短评内容': '酒店位置好，设施不错，下次出差还会住，就是不提供早餐，到外面吃早餐有点麻烦。', '短评打分': 5}
{'短评内容': '位置在市中心，交通方便；商务楼新装修的，单间床很大，很舒服', '短评打分': 5}
{'短评内容': '这个酒店很一般，很普通的房间，不值这个价格。很吵，楼下也很乱七八糟。', '短评打分': 1}
{'短评内容': '位置不错，卫生一般，比较吵（汽车喇叭等），如果以100分为标准，可以打75分', '短评打分': 5}
{'短评内容': '如果喜欢热闹的人住这里是最佳选择，购物、吃饭非常方便，距离湘江也不远。房间装修还可以，有三星酒店的味道，可以选择住这里。', '短评打分': 5}
{'短评内容': '环境不错，打车方便，周边吃饭也方便，缺点是隔音不好。', '短评打分': 5}
{'短评内容': '房间很小,只有一个一半的一半的一半的窗户,连太阳都看不到.说换房间还不给.', '短评打分': 1}
{'短评内容': '卫生还可以，但毛巾太旧。', '短评打分': 3}
{'短评内容': '交通方便，好打的，周边吃的地方也比较多，旁边是医院经常有鸣笛声比较吵。', '短评打分': 5}
{'短评内容': '空调效果 交通 服务 都很好 就是隔音效果差 ', '短评打分': 5}
{'短评内容': '旺中带静，幸好还有沐浴套装，卫生干净，暖气给我们舒适感觉', '短评打分': 5}
