{'短评内容': '前台芭蕉水不错，亲子房环境很好，前台小凯和小周服务很好', '短评打分': 5}
{'短评内容': '下午入住得酒店但是由于行程有变提前退的房，前台小方帮忙交的出租车，小许也很棒，送了块儿自制肥皂', '短评打分': 5}
{'短评内容': '距离地铁站只有10分钟车程，很方便，房间风格古色古香，很容易给人一种舒适的感觉。', '短评打分': 5}
{'短评内容': '酒店位置方便，早餐不错！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '???', '短评打分': 5}
{'短评内容': '很有特色的酒店 古色古香 实木家具  就是目前轨道交通不方便 过几年会好一点', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '代人预定，反馈不错，去园区办事方便', '短评打分': 5}
{'短评内容': '代人预定，反馈不错，去园区办事方便', '短评打分': 5}
{'短评内容': '非常好，环境优雅', '短评打分': 5}
{'短评内容': '多次入住，各方面都不错，只是最近外面施工，有点影响休息', '短评打分': 5}
{'短评内容': '多次入住，各方面都不错', '短评打分': 5}
{'短评内容': '多次入住，各方面都不错', '短评打分': 5}
{'短评内容': '升级了套间，非常宽敞。', '短评打分': 4}
{'短评内容': '浴缸里有头发，床头柜全是灰，早上前台结账说信封用完了。酒店名叫书香世家，外观设计也不错，可惜金玉其外，里面无半点“知书达礼”', '短评打分': 3}
