{'descr': '价格实惠', 'star': 3}
{'descr': '只住了一晚，很不错了已经，房间虽小，但是设备很齐全', 'star': 4}
{'descr': '位置不错，靠近景区。', 'star': 5}
{'descr': '服务很不错，位置也很方便', 'star': 5}
{'descr': '1.在网上预定的是大床房，到酒店后大床房在没有征求我同意的情况下被换成了标准间.2.卫生间和房间没有有效隔离，因是雨天 房间内湿气重 ，蚊子猖狂  ，配有的蚊香不起作用，一夜未睡好。3.房间内配套设施简陋 ，沐浴露 洗发露 看上去长期未跟换过 ，没有洗脸毛巾 ，没有地巾.', 'star': 2}
{'descr': '一般', 'star': 3}
{'descr': '住着是挺舒服的 服务态度也非常好', 'star': 5}
{'descr': '32个赞，非常满意 并强烈推荐来无锡的朋友选择这家入住，宾馆装修的非常精致，客房温馨舒适，位置也很好，出行方便。', 'star': 5}
{'descr': '宾馆位置好，环境不错，房间也比较干净整洁，设施比较齐全，也很安静，出行很方便', 'star': 5}
{'descr': '非常好的宾馆，有家的感觉，家人也很喜欢，干净卫生，交通便利', 'star': 5}
{'descr': '宾馆环境不错，设施很新，看起来很干净，房屋风格独特，住起来非常舒适。', 'star': 5}
{'descr': '宾馆位置非常好，服务态度也热情，也周到，我和同事都很满意，给个好评，生意兴隆', 'star': 5}
{'descr': '还可以，毕竟地段在那里。但是明明写的是双早，只给了一张早餐券。', 'star': 4}
{'descr': '位置很不错 就在恒隆附近 交通便利 酒店楼很老了 但是房间装修的很不错', 'star': 5}
{'descr': '还行吧！', 'star': 3}
{'descr': '价格十分优惠，房间大床，有网，总体来说很好。98元间。', 'star': 4}
{'descr': '经济实惠', 'star': 4}
{'descr': '不推荐这家酒店，里面设施很陈旧，也比较脏。尤其是浴室，地板用的木头，下面很多污垢。', 'star': 1}
{'descr': '价钱合理。正因为这样，这些房子就有点吵，因为临街，而且，房子有点潮。但总体还好。', 'star': 5}
{'descr': '这个宾馆很不错，交通便利，房间干净卫生。', 'star': 5}
{'descr': '无窗有异味。房间小。其它一般，没什么好说的了。\n', 'star': 1}
{'descr': '还不错 就是离车站有点远  环境还行 就是隔音很不好', 'star': 5}
{'descr': '地方不那么明显，不过服务确实很不错。单间没有窗户，这间的排气扇坏了，所以有点闷，没有桌子这点有点小纠结，开放的卫浴显得空间还蛮大的，总的说还不错哈，又便宜。', 'star': 5}
{'descr': '装修很新。卫浴都是名牌并且是开放式的，需要拉布帘。大花洒热水很给力。干净无异味，很便宜很舒心的快捷酒店。', 'star': 5}
{'descr': '感觉真的很不错，房间挺干净利落的', 'star': 3}
{'descr': '酒店格局很温馨，感觉还不错，只是为何半夜空调会自动关闭呢，冻醒了。', 'star': 3}
{'descr': '酒店服务态度非常好，电话还可以免费使用。下次还要继续住这里\n', 'star': 5}
{'descr': '很不错价钱合适 服务也蛮好的。推荐  呵呵', 'star': 5}
{'descr': '  上海的张益钧已成功入住无锡解放西路宜家商务酒店  谢谢', 'star': 3}
{'descr': '现在才回来，评论稍微迟了点。总体说来很不错。虽然小小的，但是很干净，觉得很温馨。很满意。就是没窗，稍微闷了一些。', 'star': 5}
{'descr': '客房干净整洁，环境安静，交通便捷。价格合理。遗憾之处看书时没有桌子，笔记本也没地方放。酒店服务态度非常的好，可以刷信用卡。', 'star': 5}
{'descr': '典型的快捷酒店，地理位置不错，价格便宜，房间干净整洁。总的来说就是适合时间比较赶的商务人士睡个觉而已。', 'star': 5}
{'descr': '很不错 性价比高 距离后西溪站很近 去车站也很方便 就是去闹市区要走一段路', 'star': 5}
{'descr': '很干净，价格公道，交通方便，态度也好，下次去还会选择的。', 'star': 5}
{'descr': '房间小小的，感觉不错，有回家的感觉', 'star': 3}
{'descr': '还算比较满意就是位置不太好找.服务还算可以位置就在市区自己出差可以选择', 'star': 5}
{'descr': '便宜，适合一个人出差住。性价比较高。不足的就是房间隔音效果不是很好。', 'star': 5}
{'descr': '住的挺舒服，干净，洗澡很舒服，里面的东西很便宜', 'star': 5}
{'descr': '住的挺舒服，干净，洗澡很舒服，里面的东西很便宜', 'star': 5}
{'descr': '很干净，单人间床也很大，淋浴很给力，关键是还很便宜', 'star': 3}
{'descr': '很干净，单人间床也很大，淋浴很给力，关键是还很便宜', 'star': 3}
{'descr': '房间太小，洗手间门口的地板太简陋，附近也没什么吃饭的地方。以后不会再住了。', 'star': 1}
{'descr': '房间太小，洗手间门口的地板太简陋，附近也没什么吃饭的地方。以后不会再住了。', 'star': 1}
{'descr': '订的特价单人房，确实太小了，但是考虑到这个价格和酒店的位置，还可以吧。但是房间因为没有窗户，所以很憋闷，空气不好，尤其是很潮湿，建议酒店方面想办法解决一下。', 'star': 5}
{'descr': '订的特价单人房，确实太小了，但是考虑到这个价格和酒店的位置，还可以吧。但是房间因为没有窗户，所以很憋闷，空气不好，尤其是很潮湿，建议酒店方面想办法解决一下。', 'star': 5}
{'descr': '价格实惠，停车费可以报销，打电话不用钱，房间内的食品饮料都很便宜，跟大超市卖的价格差不多。地段在市中心，还不错。房间小了点，不过对得起这个价格。', 'star': 5}
{'descr': '价格实惠，停车费可以报销，打电话不用钱，房间内的食品饮料都很便宜，跟大超市卖的价格差不多。地段在市中心，还不错。房间小了点，不过对得起这个价格。', 'star': 5}
{'descr': ' 不错，环境好', 'star': 3}
{'descr': ' 不错，环境好', 'star': 3}
{'descr': '房间不是很合理，卫生间没有隔断，其他都蛮好', 'star': 3}
{'descr': '房间不是很合理，卫生间没有隔断，其他都蛮好', 'star': 3}
{'descr': '.挺方便', 'star': 3}
{'descr': '.挺方便', 'star': 3}
{'descr': '很经济，服务不错。唯一的不足就是热水不热。', 'star': 5}
{'descr': '很经济，服务不错。唯一的不足就是热水不热。', 'star': 5}
{'descr': '靠近市区，火车站比较方便．房间比较小．前台服务还可以．', 'star': 1}
{'descr': '靠近市区，火车站比较方便．房间比较小．前台服务还可以．', 'star': 1}
{'descr': '价格合理,环境不错,就是没有餐厅,吃饭不方便,不过还是很推荐', 'star': 5}
{'descr': '价格合理,环境不错,就是没有餐厅,吃饭不方便,不过还是很推荐', 'star': 5}
{'descr': '简洁，方便。一个人住很好，还有数字电视可以看。。。', 'star': 5}
{'descr': '简洁，方便。一个人住很好，还有数字电视可以看。。。', 'star': 5}
