{'短评内容': '早餐挺好的，房间设施有些陈旧', '短评打分': 4}
{'短评内容': '元', '短评打分': 5}
{'短评内容': '很好，出来玩，早餐很好。', '短评打分': 5}
{'短评内容': '冬天阴天千万别住，没大太阳没热水，因为天气的错，不是旅馆的错，所以洗冷水吧~欠奉热水！不可思议一', '短评打分': 3}
{'短评内容': '门上没有门镜没有安全锁，浴室和洗手间应该隔断，地面也不是很干净。床头的开关都不好用。', '短评打分': 3}
{'短评内容': '房间是婚房，几个大男人在里面，总感觉怪怪的，卧室的洗手间很冷，热水不热', '短评打分': 5}
{'短评内容': '没有热水洗澡，房门没有防盗链', '短评打分': 3}
{'短评内容': '不错，服务不怎么样！', '短评打分': 3}
{'短评内容': '不错不错不错不错舒服', '短评打分': 3}
{'短评内容': '还可以   就是墙纸发霉啦 房间是蛮大的 还有摇椅', '短评打分': 4}
{'短评内容': '没网络哎', '短评打分': 3}
{'短评内容': '感觉还是很不错的，也很方便', '短评打分': 3}
{'短评内容': '非常诚信的酒店。我与家人于6月23日入住该酒店的家庭房，24日10时50分结账后离店，26日晚突然想起，我的两台照相机遗忘在酒店的柜子里了，我马上与酒店前台联系，酒店前台热情耐心的帮我寻找，很快就告诉我房间相机在柜子里找到了，随时可以到酒店领取。我们非常感谢胶南千秋度假酒店，酒店员工拾金不昧的高尚品格令人敬佩。', '短评打分': 5}
{'短评内容': '酒店还可以啦！推荐入住，服务很不错！', '短评打分': 3}
{'短评内容': '好地方  就是隔音稍微不太好~~~~~~~~', '短评打分': 5}
{'短评内容': '不錯很好幹淨。', '短评打分': 3}
{'短评内容': '酒店环境一般。卫生间过于简陋，早餐种类太少。但是要特别赞扬一下前台服务员，态度很好，乐于助人。酒店值得嘉奖！', '短评打分': 3}
{'短评内容': '感觉不错，比较安静，服务态度挺好的', '短评打分': 3}
{'短评内容': '房间设施、布局尚可，但无可开式房间窗户，不利于房间自然通风换气，且卫生间较小。', '短评打分': 5}
{'短评内容': '不错hgkiugfiugiiuhgiugiuguigiugiiguigiuguigugjjgugfugiihoihigiugyguggugggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggddddddddddddddddddddddddddddddddoioiiiiiiiiiiiiiiiiiiiiiiiiiiiiii', '短评打分': 5}
{'短评内容': '还行，就是本来定的是标准间被换成大床房了，这也没什么，但就是大床太小了，两个人睡太挤了，弄得休息不好，其它的还行', '短评打分': 5}
{'短评内容': '这家酒店不错，服务比较好。胶南较小，离市中心2公里吧。', '短评打分': 5}
{'短评内容': '房子还可以，就是有点老旧，早餐比较难吃。', '短评打分': 5}
{'短评内容': '胶南这个酒店还不错，不过入住时接近月底，退房时没发票，后来酒店补给发票。', '短评打分': 5}
{'短评内容': '标房质量还行。对得起这个价格。早餐不太好。', '短评打分': 5}
{'短评内容': '千秋假日大酒店四方大酒店房间非常干净整洁，服务员态度热情，该酒店离长途汽车站较近，乘长途汽车的朋友可以选择。', '短评打分': 5}
{'短评内容': '房间非常干净整洁;星级酒店的享受.下次去还要入住.', '短评打分': 3}
{'短评内容': '房间位置一般，设施尚可，卫生不错，唯家居较旧！', '短评打分': 1}
{'短评内容': '   很好', '短评打分': 3}
{'短评内容': '酒店房间的装潢很好，隔音，采光，服务都不错，就是卫生间的装潢有点欠缺，卫生还可以。。。', '短评打分': 5}
{'短评内容': '胶南千秋假期大酒店不错，住宿条件好，档次高价格实惠。在这里吃饭也不错，厨师手艺超赞的！', '短评打分': 5}
{'短评内容': '价格不实', '短评打分': 5}
{'短评内容': '千秋的环境不错，房间也挺舒适。前台服务有待加强！', '短评打分': 5}
{'短评内容': '性价比很好，酒店挺新，最关键是酒店还会服务回访，说明酒店能致力于服务改进，值得表扬。不过前台服务员可能新来的，流程不太熟练，希望以后能提高^^', '短评打分': 5}
{'短评内容': '性价比很高的酒店,餐饮也不错,价格不贵,口味还好', '短评打分': 5}
{'短评内容': '房间很新！设备齐全。服务态度很好。但是外出不是很方便。打车很难打！', '短评打分': 5}
{'短评内容': '千秋假日服务瓿错，价格也适中。', '短评打分': 5}
{'短评内容': '酒店的条件还不错,房间比较干净卫生.而且距离我办事的地点很近.在胶南这家酒店还是很不错的.', '短评打分': 5}
{'短评内容': '房间还是比较干净，位置是稍微偏了一些，价格倒是挺适中。整体看起来还是很不错的一家酒店。', '短评打分': 5}
{'短评内容': '性价比很好的酒店，房间很干净，硬件设施齐全，很好的酒店，还会住的。', '短评打分': 5}
{'短评内容': '很好的酒店，适合家庭旅游住.', '短评打分': 5}
{'短评内容': '刚回来，很不错，大家都很满意！以后还去！', '短评打分': 5}
{'短评内容': '新开的酒店，设施好，服务好。是一家好的酒店。下次去还会入住。不会失望的。', '短评打分': 5}
{'短评内容': '新开的酒店，环境很好，装修豪华，适合出行需要，性价比也很高。不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '真的很不错！', '短评打分': 5}
{'短评内容': '很新的酒店，我住的是套房，价格只有220元，觉得太值了。干净明亮房间大，每层有个服务员总在那里。', '短评打分': 5}
