{'短评内容': '酒店位置还行，就是整体卫浴那个马桶设计不合理', '短评打分': 5}
{'短评内容': '物超所值。', '短评打分': 5}
{'短评内容': '干净舒服，可惜没有暖气，欠缺完美了。', '短评打分': 5}
{'短评内容': '下次还会住。性价比比如家好一些。', '短评打分': 5}
{'短评内容': '一如既往的干净卫生，性价比高！每次老外过来都很乐意住这里。旁边加油站有便利店，过路对面就有美宜佳。停车场免费，一般都有空余车位，很省心。', '短评打分': 5}
{'短评内容': '环境舒适，就是上楼需要刷卡有点麻烦！！！', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也很好', '短评打分': 5}
{'短评内容': '总体不错，就是插座离床远了', '短评打分': 5}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '服务员服务非常好，很周到。要的东西马上要的到，说话也非常客气', '短评打分': 3}
{'短评内容': '1122334455', '短评打分': 5}
{'短评内容': '一楼正在装修，有点脏乱，车子开出去时还被装修搭的铁杆刮蹭了，房间内部还比较干净', '短评打分': 3}
{'短评内容': '环境不错挺好', '短评打分': 5}
{'短评内容': '符合快捷酒店要求', '短评打分': 4}
{'短评内容': '房间不错，安静，早餐也不错，性价比高！', '短评打分': 5}
{'短评内容': '来住过好几次了，位置较好，交通挺方便的，很容易就可以拦个的士，服务和卫生也不错，但是还有改进的空间，打扫稍微有些不及时，有待改进。还有就是早餐的花样能更多点就更好了，去过几次都是同样的。，整体来说，推荐！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '房间相对太小了。其它都还可以', '短评打分': 5}
{'短评内容': '味道有点重，热水有点小，其他都挺好的', '短评打分': 3}
{'短评内容': '房间太小了。房间太小了。房间太小了。房间太小了。', '短评打分': 3}
{'短评内容': '这酒店真不咋的，跟七天差不多，还比七天贵，地理位置还没有东城中路的七天有优势，服务台在二楼，一楼是公共开放的，安全性不好，吓死人了', '短评打分': 1}
{'短评内容': '很干净、很舒服，交通便利，下次还会选择。', '短评打分': 5}
{'短评内容': '房间小点，早餐次点，服务也一般。但是价格便宜。', '短评打分': 5}
{'短评内容': '整体不错，IBISd的标准水平。东莞城区中心，服务热情。', '短评打分': 5}
{'短评内容': '不错的地方，下次还来住，也会推荐同事过来住。', '短评打分': 5}
{'短评内容': '不错的地方，环境还可以，下次还来住，也会推荐同事住。', '短评打分': 5}
{'短评内容': '很好，很温馨', '短评打分': 3}
{'短评内容': '房间很不错的，酒店位置很方便，周边很紫花。服务挺好的', '短评打分': 5}
{'短评内容': '位置很好找，在PULLMAN对面。房间挺温馨的。前台服务不错。', '短评打分': 5}
{'短评内容': '这个地段 在深圳 200 也可以了\n标准炮房。', '短评打分': 5}
{'短评内容': '189不含早 这价格就真心不值得了。。。', '短评打分': 1}
{'短评内容': '有活动的时候不错 2星\n没活动价格高了。。。', '短评打分': 5}
