{'短评内容': '非常适合家庭居住', '短评打分': 5}
{'短评内容': '除了没有紧靠海边，其他都不错。环境非常好，孩子喜欢无边泳池。美中不足，早餐种类偏少，特别是甜点。谢谢', '短评打分': 5}
{'短评内容': '早餐质量很差出乎意料！中餐厅的菜配不上这个价钱。大体来上外形看上去和东南亚的格调差不多，但服务水准有点差距了。', '短评打分': 4}
{'短评内容': '环境很好.东南亚风情..私密性也较强适合一家子悠闲度假..工作人员小凡特别点赞.非常热情帮我们解决了很多问题.感谢..', '短评打分': 4}
{'短评内容': '预定的小凡服务态度很好，酒店环境不错，下次还会再来！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，出行方便。预定的别墅，很适合几个朋友一起居住，出门步行至商业街也很方便。就是酒店早餐比较一般，室外不错，室内感觉就略微差些。品种还算丰富，就是咖啡真的，真的很淡啊。大堂吧赠送了饮品，这个天坐户外有点冷，问酒店有没有披肩，回复没有，不够人性化。房间打扫和递送物品都比较及时。', '短评打分': 4}
{'短评内容': '很好很舒服的', '短评打分': 5}
{'短评内容': '性价比高，动中带静，环境优雅', '短评打分': 5}
{'短评内容': '注德很满意服务态度好，很高兴，很怏乐，给五分好平。', '短评打分': 5}
{'短评内容': '注德很满意服务态度好，很高兴，很怏乐，给五分好平。', '短评打分': 5}
{'短评内容': '一分钟不到就确认成功了！非常给力！谢谢！', '短评打分': 5}
{'短评内容': '环境好，服务不错', '短评打分': 5}
{'短评内容': '非常的棒，下次一定在入住', '短评打分': 5}
{'短评内容': '都很好，价格也好', '短评打分': 5}
{'短评内容': '很好，以后还会入住', '短评打分': 5}
{'短评内容': '整体不错，服务好', '短评打分': 5}
{'短评内容': '虽然也是五星，但和其他酒店比还是有差距，价格便宜', '短评打分': 4}
{'短评内容': '池盼房超级爽，蓝天，泳池，一个字爽', '短评打分': 5}
{'短评内容': '订的会所房，空调不好，爸爸说好旧，房间没有厕所门，味道大，然后声音巨大上厕所，小孩睡不好', '短评打分': 4}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '好清净啊', '短评打分': 5}
{'短评内容': '环境不错，就是服务稍微欠缺一点，但是小别墅都这样吧，和酒店不同，这边的服务相对分散，所以不那么及时，但是对于喜欢私密安静的家庭来说却是不错的选择哦。游泳池赞一个。', '短评打分': 5}
{'短评内容': '之前和老公单独来过一次，当时留下很深的印象，现在有了宝宝就想着要一起来玩，果然小朋友超级喜欢，回来上海一直说还要再去', '短评打分': 5}
