{'短评内容': '环境还可以，离车站近，出差挺方便', '短评打分': 5}
{'短评内容': '酒店非常不错，我们三个人住，免费送了二张早餐票，因为三个人又多送了一张蛮不错的', '短评打分': 5}
{'短评内容': '还是可以的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '干净卫生，设施齐全，服务态度好！', '短评打分': 5}
{'短评内容': '态度好，热情', '短评打分': 5}
{'短评内容': '如果不是早上赶时间，不推荐', '短评打分': 5}
{'短评内容': '入住的1216', '短评打分': 3}
{'短评内容': '卫生条件极差，房间没有吹风机，设施陈旧，价格贵。前台服务倒是还可以。', '短评打分': 2}
{'短评内容': '积极六级领袖及救护归途题救护回来 急急急急急急了', '短评打分': 5}
{'短评内容': '一般般吧，房间太旧了，毛巾太旧了。', '短评打分': 3}
{'短评内容': '可以，下次还要去，已经在哪住了好几次了', '短评打分': 3}
{'短评内容': '环境不错，服务态度较好，前台比较亲切，下次出差还去这家', '短评打分': 5}
{'短评内容': ' 房间设施略显旧，但位置距离火车站，汽车站很近，方便。', '短评打分': 3}
{'短评内容': '还好，不错，就是附近什么都没有，太没意思了！要是周围设施齐全点就好了！', '短评打分': 5}
{'短评内容': '酒店还不错，比较舒适', '短评打分': 3}
{'短评内容': '交通便利，价格实惠。房间也是比较大的，卫生条件挺好，适合出差旅游的朋友。', '短评打分': 5}
{'短评内容': '总的来说还不错，靠在车站旁，一下车就找到了，房内设施很齐全，推介', '短评打分': 5}
{'短评内容': '环境好，房间整齐干净，住的房间有个很大的落地窗，很喜欢，下次还会去那住。', '短评打分': 5}
{'短评内容': '在汽车站旁 很方便 主要离我学校很近 打车十分钟就能到 房间也挺大的 总体感觉还不错', '短评打分': 5}
{'短评内容': '住的地方一般，住这边肯定是为了方便跟车的。比较靠近。', '短评打分': 5}
{'短评内容': '酒店环境还不错、交通也方便！', '短评打分': 3}
{'短评内容': '交通便利，就在车站旁，不过离市区还是有点路。如果晚上出去玩的住这不是很方便，只是住宿还是不错的，安全，卫生。', '短评打分': 5}
{'短评内容': '还可以，最主要是坐长途车很方便，不用起得那么早', '短评打分': 5}
{'短评内容': '第一次住在盐城，因明天要赶早的车打算在车站附近住，118元订的，貌似反10元，不错，酒店干净 整洁 非常满意', '短评打分': 5}
{'短评内容': '不错，还可以，就是早餐服务质量太差，八点多点去了就一张臭脸相迎，我好像不欠你们的吧！', '短评打分': 1}
{'短评内容': '卫生间的灯全部坏了，吹风机也没有，服务态度也差！', '短评打分': 3}
{'短评内容': '非常一般，宽带还有问题上不了，就是一家庭旅馆，不推荐', '短评打分': 1}
{'短评内容': '就在汽车站边上，交通挺方便的，但是不远有火车轨道，晚上间接有鸣笛声。', '短评打分': 5}
{'短评内容': '比我想象得好，在客运站边，对外交通便利，适合不逛街的同志们入住。', '短评打分': 3}
{'短评内容': '干净宽敞风景好', '短评打分': 3}
{'短评内容': '就入住与其他酒店的比较给予以下几点。1，服务员态度很不好。2，就我看见的卫生间镜面很不干净。3，吹风机也没有。4，电视机遥控器不好用。\n', '短评打分': 1}
{'短评内容': '酒店位置很好，楼层也很好。总之很满意。比经济型酒店更实惠。', '短评打分': 5}
{'短评内容': '很好很舒适！！', '短评打分': 3}
{'短评内容': '很好挺舒适的！不错，就是网线不怎么给力。', '短评打分': 3}
{'短评内容': '价格实惠，服务态度一般，结账刷卡时服务员态度差，一会说银行在调试，一会说电话线有问题，想着法子不给你刷卡。在客人多次催问下，才给刷，态度差。', '短评打分': 1}
{'短评内容': '靠近车站，位置很不错，价钱也还勉强够可以。设施感觉不是太好。', '短评打分': 5}
{'短评内容': '价钱便宜量又足  这里还不错  楼层高风景不错  也靠着车站', '短评打分': 5}
{'短评内容': '整体感觉还可以，离火车站、汽车站都很近，隔音差些。', '短评打分': 5}
{'短评内容': '旅店正好在火车站斜对面，交通便利。旅店环境比较干净，舒适。价钱经济，适合工薪族出差住宿。', '短评打分': 5}
{'短评内容': '很好，比我想象中好很多…交通便利，设施都很新，而且价格便宜…强烈推荐…', '短评打分': 3}
