{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '酒店设施不错，服务人员态度也很好。周边全是工地，灰尘很大，海景房望出去雾蒙蒙一片，不值那个价。也许夏天会好一点吧。', '短评打分': 5}
{'短评内容': '周围环境十分荒凉，根本打不到出租车，出行很不方便', '短评打分': 4}
{'短评内容': '其他都特别好，环境卫生，早餐丰富，房间视野很好，就是位置有点偏，出门打车不方便，叫车几乎不接单。', '短评打分': 5}
{'短评内容': '花园比酒店本身大得多，房间里的热水壶里有泡过水的茶叶没有清洗，早餐时，放糖的小甆盒外边有很多咖啡渍，五星级酒店，卫生细节有待提高。', '短评打分': 5}
{'短评内容': '干净，水上乐园还可以', '短评打分': 5}
{'短评内容': '空调制冷效果不太好，非常热', '短评打分': 5}
{'短评内容': '设施有点老旧，适合家庭休闲', '短评打分': 5}
{'短评内容': '晚上到，还没看清楚外面的，不过里面漂亮，宽敞。', '短评打分': 5}
{'短评内容': '干净，舒服，望海。', '短评打分': 5}
{'短评内容': 'Very good', '短评打分': 5}
{'短评内容': '环境好。安静卫生', '短评打分': 5}
{'短评内容': '环境好。安静卫生', '短评打分': 5}
{'短评内容': '环境好。安静卫生', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境优美，服务热情，下次还会入住。', '短评打分': 5}
{'短评内容': '环境优美，服务热情，下次还会入住。', '短评打分': 5}
{'短评内容': '环境优美，服务热情，下次还会入住。', '短评打分': 5}
{'短评内容': '环境优美，服务热情，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店的泳池很好，二楼牡丹厅早点比较便宜，四个人吃一百多元，房间的卫生间淋浴有点积水。度假好地方，人较少。', '短评打分': 5}
{'短评内容': '酒店环境不错，脱离闹市的宁静，假日欢度的首选，配套设施齐全，就是五星级的享受！', '短评打分': 5}
{'短评内容': '房间很大，设施很有档次，游泳池很给力，餐饮很丰富，推荐！', '短评打分': 5}
{'短评内容': '酒店几乎每个房间都可以看到海。酒店设施很好很漂亮，中西餐出品都不错。游泳池很给力，很大，适合不同人群, 包括儿童池，成人池，游泳池有香蕉船适合年纪较大小孩玩。在每年冬天11月至次年5月，酒店还会开放室内恒温泳池，此恒温池可直接通往一个室外池。', '短评打分': 5}
{'短评内容': '环境很好，酒店设施一流，有泳池、温泉池，玩得很开心！不过周边吃饭的地方不多，要迟海鲜的话得开车半小时去~', '短评打分': 5}
{'短评内容': '出差原因经常住，除了周边人气不足之外，酒店的环境超级棒。一流的海景，一流的空气，设施和管理水平感觉也接近国际连锁星级酒店的标准。\n推荐山景房，套件的感觉，比海景房的实用性要高。', '短评打分': 5}
