{'descr': '位置好，行驶方便，安全放心', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '酒店卫生不错，地理位置也方便，吃和玩的都多。', 'star': 5}
{'descr': '酒店卫生不错，地理位置也方便，吃和玩的都多。', 'star': 5}
{'descr': '冬天供暖很不好，不开空调很冷，开了特别干，卫生还行，没有备用发电机，竟然没有电，然后就冷没有热水', 'star': 3}
{'descr': '很不错                                                 ', 'star': 5}
{'descr': '很好，不错，值得推荐', 'star': 5}
{'descr': '服务态度很好，出行也很方便', 'star': 5}
{'descr': '早餐挺好，不能加床', 'star': 5}
{'descr': '12584578066358', 'star': 5}
{'descr': '每次出来玩都住如家快捷酒店，一进来就特别温暖，主要是卫生很好，很干净，服务也不错', 'star': 5}
{'descr': '很好，干净卫生，地理位置很好', 'star': 5}
{'descr': '火车站附近，环境不错，床太硬。', 'star': 4}
{'descr': '马桶高度偏高    临街早上微吵    保暖设施比较好    总体来说很不错', 'star': 4}
{'descr': '挺好', 'star': 5}
{'descr': '差', 'star': 1}
{'descr': '靠近火车站，性价比可以，下次还来', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '大雪高速封了，不错的酒店', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '还可以，早上后面的停车场比较吵。其他卫生还可以，房间比较大', 'star': 5}
{'descr': '还好吧，就是赶上停热水了，', 'star': 3}
{'descr': '不提供午餐和晚餐略显麻烦。周围吃饭的地方不少，档次参差不齐。离火车东站和汽车东站近，在订票点儿买票也近。外面环境晚上不吵，早上吵。停车不方便。', 'star': 5}
{'descr': '环境很好～很舒适，就是刚进门味道不好闻，离车站很近，服务态度也很好。', 'star': 3}
{'descr': '连着住了两个城市的如家都不提供中餐和晚餐的服务，这很让人头疼，选择这里就是为了省心又安心。这么一弄以后就不想再住了。', 'star': 1}
{'descr': '酒店位于长途车站，火车站附近，房间通风不好，气味差，尽量选择向阳的房间，服务和早餐比较好', 'star': 5}
{'descr': '卫生、干净、房间大', 'star': 3}
{'descr': '整洁、干净、舒适、房间也大，住得很舒心，以后还会选择如家', 'star': 5}
{'descr': '早餐非常丰富，中西合璧，而且餐厅服务员非常热情。', 'star': 5}
{'descr': '如家沧州火车站店有点冷，暖气不热，空调不好用。', 'star': 3}
{'descr': '整体不错，干净，舒服。位置还算是方便。\n就是房间的网速有点不给力', 'star': 5}
{'descr': '   可以，下次还会选择。', 'star': 3}
{'descr': ' 以入住  房间很大  卫生干净 ', 'star': 3}
{'descr': '价格相对要高，但是服务态度挺好\n价格相对要高，但是服务态度挺好', 'star': 5}
{'descr': '房间大干净，一贯的如家，但是暖气是间歇供暖，声音大', 'star': 5}
{'descr': '外楼看上去很旧，但进入房间后房间很大，设施很齐全，就是供暖是分时段的优点别扭，不过室温基本不受影响，服务态度一如既往的好。', 'star': 5}
{'descr': '一共住了两天，暖气订时供暖，没感觉暖和就是吵，一会暖气管进水一会出水，严重影响休息，每晚都要响到晚上11点多，而且暖气10点多就不热了，晚上要开空调吹暖风睡，噪音好大，吹的人口干舌燥，嗓子都起来了。第一天住的靠马路那面，还好点，第二天住的另外一面窗户外面是汽车客运站，大半夜的吵得人睡没法睡。第一天一早6点就没水了，直到退房7点还没来水，幸好我出门比较早，要不连脸都洗不了。第二天晚上6点多马桶有点下', 'star': 1}
{'descr': '一共住了两天，暖气订时供暖，没感觉暖和就是吵，一会暖气管进水一会出水，严重影响休息，每晚都要响到晚上11点多，而且暖气10点多就不热了，晚上要开空调吹暖风睡，噪音好大，吹的人口干舌燥，嗓子都起来了。第一天住的靠马路那面，还好点，第二天住的另外一面窗户外面是汽车客运站，大半夜的吵得人睡没法睡。第一天一早6点就没水了，直到退房7点还没来水，幸好我出门比较早，要不连脸都洗不了。第二天晚上6点多马桶有点下', 'star': 1}
{'descr': '位置不错，离火车站很近，一如既往的如家。', 'star': 5}
{'descr': '还不错~~去火车站比较方便，下次去沧州还会选~', 'star': 5}
{'descr': '\n房间比较大，感觉像新装修的。我住在阴面晚上睡觉也挺安静的·总体不错,挺！\n', 'star': 3}
{'descr': '还不错，比较干净，就是网速太慢，要解决一下', 'star': 5}
{'descr': '很干净，温馨……', 'star': 3}
{'descr': '.屋里很卡哇依活动地方也施展的开，总体来说还算合格，就是卫生要注意！', 'star': 3}
{'descr': '酒店服务态度非常好，需要什么东西他们都会尽量提供。酒店周边有小吃和超市，很方便。主要是沧州打车真是很便宜。', 'star': 5}
{'descr': '房间干净温馨。', 'star': 3}
{'descr': '非常好下次还住.', 'star': 3}
{'descr': '酒店地理位置不错，靠近徐州的商业区，步行就可以到达商圈。环境还不错，屋里还有吹风等设备，感觉很好。价格也还不错，下次还会去。', 'star': 5}
{'descr': '每次来徐州出差都会选择如家，服务也可以，环境干净，温馨，市中心，古彭广场，周围吃的地方也多，出行方便，去高铁站也近的', 'star': 5}
{'descr': '地理位置很好~走路到金鹰那块也就10分钟左右吧好像。火车站到酒店也是起步价差不多。然后打车到矿大新校区才15左右~很方便。', 'star': 5}
