{'短评内容': '入住顺利，环境不错，从沈阳转飞的好选择。', '短评打分': 5}
{'短评内容': '内部空间很大，也很暖和。服务态度很好，只是有点贵', '短评打分': 5}
{'短评内容': '环境挺好，干净卫生，感觉这家是机场附近最好的入住。二楼有餐厅。', '短评打分': 5}
{'短评内容': '服务很好，酒店也干净，给的房间是弧型的那种，空间很大！', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '离机场近，房间干净，服务态度一流。', '短评打分': 5}
{'短评内容': '离机场近，房间干净，服务态度一流。', '短评打分': 5}
{'短评内容': '还不错&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;^_^', '短评打分': 5}
{'短评内容': '预定还挺顺利，机场还送机服务。', '短评打分': 5}
{'短评内容': '不错，挺好的，还可以，住吧。', '短评打分': 5}
{'短评内容': '东西不错，下次还会光顾。', '短评打分': 5}
{'短评内容': '还行，整体过得去', '短评打分': 3}
{'短评内容': '离机场近，又不贵，很好。', '短评打分': 5}
{'短评内容': '宾馆环境还挺好。 服务也不错。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错，，，，，，，', '短评打分': 5}
{'短评内容': '11111111111111', '短评打分': 5}
{'短评内容': '不行', '短评打分': 3}
{'短评内容': '服务态度好 环境干净 离机场近 接送服务好', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '太差', '短评打分': 1}
{'短评内容': '位置很好，离机场很近。但是设施、卫生、服务很一般。很老旧的感觉', '短评打分': 3}
{'短评内容': '还算满意', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还行吧~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '因发票金额问题酒店客客服处理问题很慢，，还是京东给快速解决的，赞一个京东客服！', '短评打分': 4}
{'短评内容': '帮朋友预定的酒店，入住后说没有去过，不确认，无聊', '短评打分': 1}
{'短评内容': '设备差，价格高,服务坏', '短评打分': 3}
{'短评内容': '酒店很方便，以后还住', '短评打分': 3}
{'短评内容': '我怎么能住这里？？？？？？？除了离机场近，没有一点可取的地方，价格贵，环境差，太差了，宾馆设施太陈旧了。。。服了，真不舍得投钱装修啊~~~~~~~~~~就是附近没有宾馆，没有竞争，要不早关门了。。下次打死也不住了，这样的破环境还300呢。。。也就值50吧。。。。。。。。。。跟窝棚似的，居然。。。居然房间的门还是。。。还是老掉牙的钥匙门？？？？？？都什么年代了，。。还用钥匙开门。。。。天啊！！！！！', '短评打分': 1}
{'短评内容': '机场附近，很方便，也没有别的选择了。大厅很大，但是可能由于没有竞争，前台服务不是很热情和迅速。', '短评打分': 5}
{'短评内容': '实在让人难以忍受，客房的卫生太差，墙上的壁纸很大程度的脱落，房间虽然有一张店方提示函，说是在装修，抱歉。既然装修，为什么向外出售呢？冰箱就放在房屋的中央，电源插头甩在一旁。最恶劣是大堂的商品部的胖丫头态度极其蛮横，商品价格是酒店外小卖部的两倍，抢钱呐！', '短评打分': 1}
{'短评内容': '挺好的，房间巨大，都可以跳皮筋了\n', '短评打分': 3}
{'短评内容': '房间算满大的，赶飞机的第一选择，但是设施什么陈旧了一些', '短评打分': 1}
{'短评内容': '上早班飞机很方便，免费送机', '短评打分': 3}
{'短评内容': '这里环境不错，离机场侯机大厅很近哦，而且随时都可以免费接送', '短评打分': 3}
{'短评内容': '环境不错，有免费送机。', '短评打分': 3}
{'短评内容': '设施很旧，早餐也不行，不过就是交通便利，赶飞机很方便。', '短评打分': 5}
