{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '孩子第一可怜', '短评打分': 5}
{'短评内容': '环境不错，服务很好', '短评打分': 5}
{'短评内容': '酒店外面就是公路，比较吵', '短评打分': 5}
{'短评内容': '位置好 出门方便', '短评打分': 5}
{'短评内容': '酒店不错，满意', '短评打分': 5}
{'短评内容': '很好的房间，虽然不大，但是布置很用心，也挺干净的，给个好评！', '短评打分': 5}
{'短评内容': '一个人的确是否有些不能再说我们是否还是曾经沧海难为水的确是否有些不能再说我们是否还是曾经', '短评打分': 5}
{'短评内容': '非常好，真的非趁，住了，还想做。环境特别好。服务很热心。有停车位，有wifi，有早餐，厨师也很不错。很好吃。', '短评打分': 4}
{'短评内容': '非常好，真的非趁，住了，还想做。环境特别好。服务很热心。有停车位，有wifi，有早餐，厨师也很不错。很好吃。', '短评打分': 4}
{'短评内容': '早餐不够丰盛啊，不过总体还是蛮不错的', '短评打分': 3}
{'短评内容': '房间蛮大的挺干净住过好几次了', '短评打分': 3}
{'短评内容': '新装修的，住的双标，蓝、黄色调为主的房间看起来很舒服，床铺也干净，就是卫生间空间比较小', '短评打分': 3}
{'短评内容': '每一次来合肥都住这里，很好，携程定房很方便，随时丁随时有，给力', '短评打分': 4}
{'短评内容': '房间很好，住着很舒服。。', '短评打分': 3}
{'短评内容': '服务还可以，就是早餐结束太早。九点钟去餐厅已经全收干净了。啥也没吃到。', '短评打分': 5}
{'短评内容': '干净卫生，尤其是饭菜的味道不错。美中不足的是自助餐的品种有点少。', '短评打分': 5}
{'短评内容': '位置有点偏，但比较安静，卫生还比较干净~~~', '短评打分': 5}
{'短评内容': '太差了，五折差不多', '短评打分': 3}
{'短评内容': '环境可以，早餐挺可口！', '短评打分': 3}
{'短评内容': '挺好的，就是不在大路上，不太好找。', '短评打分': 3}
{'短评内容': '还不错，下次还回去，环境干净，卫生，周围挺安静的，合肥环境还可以。', '短评打分': 5}
{'短评内容': '不错，卫生挺好，挺安静的，二楼的饭店味道也不错，就是分量有点少。。', '短评打分': 5}
{'短评内容': '离安大西门很近 房间很干净 不错的 早餐丰富点就更好了', '短评打分': 5}
{'短评内容': '服务很好，房间设备新，整洁，不亚于三星级，是个非常不错的宾馆', '短评打分': 3}
{'短评内容': '房间不错   干净  旁边有超市挺方便的', '短评打分': 5}
{'短评内容': '  ok  ok  ok', '短评打分': 3}
{'短评内容': '还不错~ \n房间比较舒适~\n服务态度还可以 ', '短评打分': 5}
{'短评内容': '确实挺不错的酒店 性价比很高的 。总之是好 哈哈 ', '短评打分': 5}
{'短评内容': '这个服务很不错，我会继续选择的，支持支持，很好', '短评打分': 5}
{'短评内容': '酒店的服务人员很热情，周边有电影院，休闲娱乐交通都很方便，房间住宿条件也过得去', '短评打分': 5}
{'短评内容': '整体感觉还是不错的，住宿环境和卫生条件都很好，性价比高，房间舒适度很好', '短评打分': 5}
{'短评内容': '卫生蛮干净的，房间很大，门口打车或者做公交都方便，住宿环境不错', '短评打分': 5}
{'短评内容': '服务卫生还不错，价格挺实惠，出行也挺方便，停车也挺方便。', '短评打分': 3}
{'短评内容': '价格挺便宜的，服务人员也挺热情，位置也挺好，出行挺方便的。', '短评打分': 3}
{'短评内容': '酒店的位置还不错，去哪都挺方便，楼小有超市，购物也挺方便。', '短评打分': 3}
{'短评内容': '在安大西门对面，地理位置还行，条件一般化，服务不错。', '短评打分': 5}
